future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-01 00:00,1.8483181,1.411,2.042755927341086,1.8214117
25,12-01 00:15,2.0171463,1.514,2.222306107732825,1.9825855
25,12-01 00:30,2.1909728,1.643,2.4014633876452263,2.1460395
25,12-01 00:45,2.367085,1.757,2.5773318744581686,2.3145945
25,12-01 01:00,2.5445218,1.926,2.747608926553354,2.4823315
25,12-01 01:15,2.7197335,2.052,2.9105910357804445,2.6495833
25,12-01 01:30,2.8914242,2.203,3.0650798020327814,2.8142965
25,12-01 01:45,3.0539758,2.361,3.210207288856305,2.970993
25,12-01 02:00,3.20772,2.459,3.3452170382950364,3.119543
25,12-01 02:15,3.3480136,2.586,3.46924684837524,3.2563176
25,12-01 02:30,3.4760828,2.722,3.5811595648418635,3.383444
25,12-01 02:45,3.58792,2.8369999999999997,3.6794584273872193,3.4948199
25,12-01 03:00,3.6838229,2.93,3.76230606742269,3.5924613
25,12-01 03:15,3.7608714,3.0510000000000006,3.827644742537111,3.6717753
25,12-01 03:30,3.8188927,3.198,3.8733945652612936,3.7324407
25,12-01 03:45,3.856735,3.291,3.897690970834307,3.7744007
25,12-01 04:00,3.87349,3.4090000000000003,3.8991156965569833,3.7950501
25,12-01 04:15,3.8687177,3.49,3.876878523969854,3.7959805
25,12-01 04:30,3.8425488,3.549,3.8309190736264385,3.775147
25,12-01 04:45,3.7956765,3.597,3.7619160208472664,3.7342913
25,12-01 05:00,3.7275648,3.644000000000001,3.671211017299193,3.671979
25,12-01 05:15,3.6399615,3.628,3.5606717413245743,3.590833
25,12-01 05:30,3.5335958,3.622,3.432529056904267,3.491145
25,12-01 05:45,3.4106011,3.5819999999999994,3.2892251567408843,3.3760452
25,12-01 06:00,3.27244,3.519,3.133302657734527,3.2462742
25,12-01 06:15,3.1274729,3.480999999999999,2.967351011330351,3.0828173
25,12-01 06:30,2.95708,3.42,2.794009908781713,2.9213736
25,12-01 06:45,2.7812912,3.292,2.616013652435414,2.757005
25,12-01 07:00,2.6007981,3.222,2.4362496538973746,2.586678
25,12-01 07:15,2.4191496,3.101,2.257800832648602,2.4158192
25,12-01 07:30,2.2393603,2.971,2.083946160461252,2.2470315
25,12-01 07:45,2.0652459,2.827,1.91810471283824,2.082844
25,12-01 08:00,1.9004548,2.701,1.7637233828425054,1.9260377
25,12-01 08:15,1.7483099,2.543,1.6241229259142491,1.7805413
25,12-01 08:30,1.6117531,2.416,1.50232775909508,1.647716
25,12-01 08:45,1.4928982,2.289,1.4009093042416394,1.5282822
25,12-01 09:00,1.3951981,2.16,1.3218695757081906,1.4271224
25,12-01 09:15,1.3193121,2.067,1.266582273869204,1.3445126
25,12-01 09:30,1.2677592,1.972,1.2357953437272826,1.2826445
25,12-01 09:45,1.2402927,1.893,1.2296851831651914,1.2416047
25,12-01 10:00,1.2384504,1.823,1.2479420552558684,1.222606
25,12-01 10:15,1.2613865,1.786,1.2898613382823343,1.2270565
25,12-01 10:30,1.3086731,1.781,1.3544171490903616,1.2531431
25,12-01 10:45,1.3789278,1.767,1.4403029817044175,1.3015469
25,12-01 11:00,1.4698374,1.802,1.5459359717868455,1.3699367
25,12-01 11:15,1.5796354,1.84,1.6694340254624662,1.4581232
25,12-01 11:30,1.7073776,1.908,1.8085849029295,1.5646144
25,12-01 11:45,1.849036,1.976,1.9608306740863937,1.6860751
