future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,01-01 00:00,1.411,1.8214117,2.042755927341086
25,01-01 00:15,1.514,1.9825855,2.222306107732825
25,01-01 00:30,1.643,2.1460395,2.4014633876452263
25,01-01 00:45,1.757,2.3145945,2.5773318744581686
25,01-01 01:00,1.926,2.4823315,2.7476089265533536
25,01-01 01:15,2.052,2.6495833,2.9105910357804445
25,01-01 01:30,2.203,2.8142965,3.0650798020327814
25,01-01 01:45,2.361,2.970993,3.210207288856305
25,01-01 02:00,2.459,3.119543,3.3452170382950364
25,01-01 02:15,2.586,3.2563176,3.469246848375239
25,01-01 02:30,2.722,3.383444,3.581159564841864
25,01-01 02:45,2.8369999999999997,3.4948199,3.6794584273872193
25,01-01 03:00,2.93,3.5924613,3.76230606742269
25,01-01 03:15,3.0510000000000006,3.6717753,3.827644742537111
25,01-01 03:30,3.198,3.7324407,3.8733945652612936
25,01-01 03:45,3.291,3.7744007,3.8976909708343066
25,01-01 04:00,3.4090000000000003,3.7950501,3.8991156965569833
25,01-01 04:15,3.49,3.7959805,3.876878523969854
25,01-01 04:30,3.549,3.775147,3.830919073626438
25,01-01 04:45,3.597,3.7342913,3.761916020847266
25,01-01 05:00,3.644000000000001,3.671979,3.671211017299193
25,01-01 05:15,3.628,3.590833,3.5606717413245743
25,01-01 05:30,3.622,3.491145,3.4325290569042664
25,01-01 05:45,3.5819999999999994,3.3760452,3.2892251567408843
25,01-01 06:00,3.519,3.2462742,3.1333026577345264
25,01-01 06:15,3.480999999999999,3.0828173,2.9673510113303507
25,01-01 06:30,3.42,2.9213736,2.7940099087817134
25,01-01 06:45,3.292,2.757005,2.6160136524354134
25,01-01 07:00,3.222,2.586678,2.4362496538973746
25,01-01 07:15,3.101,2.4158192,2.257800832648602
25,01-01 07:30,2.971,2.2470315,2.083946160461252
25,01-01 07:45,2.827,2.082844,1.91810471283824
25,01-01 08:00,2.701,1.9260377,1.7637233828425054
25,01-01 08:15,2.543,1.7805413,1.6241229259142491
25,01-01 08:30,2.416,1.647716,1.50232775909508
25,01-01 08:45,2.289,1.5282822,1.4009093042416394
25,01-01 09:00,2.16,1.4271224,1.3218695757081906
25,01-01 09:15,2.067,1.3445126,1.266582273869204
25,01-01 09:30,1.972,1.2826445,1.2357953437272826
25,01-01 09:45,1.893,1.2416047,1.2296851831651914
25,01-01 10:00,1.823,1.222606,1.2479420552558684
25,01-01 10:15,1.786,1.2270565,1.2898613382823343
25,01-01 10:30,1.781,1.2531431,1.3544171490903616
25,01-01 10:45,1.767,1.3015469,1.4403029817044173
25,01-01 11:00,1.802,1.3699367,1.5459359717868455
25,01-01 11:15,1.84,1.4581232,1.6694340254624664
25,01-01 11:30,1.908,1.5646144,1.8085849029295
25,01-01 11:45,1.976,1.6860751,1.9608306740863937
25,01-01 12:00,2.084,1.8208238,2.123288629720507
25,01-01 12:15,2.198,1.9649633,2.292821156641847
25,01-01 12:30,2.322,2.0813348,2.466154361048406
25,01-01 12:45,2.446,2.23749,2.640031749922678
25,01-01 13:00,2.566,2.3932805,2.8113784432251774
25,01-01 13:15,2.729,2.551956,2.9774460780258782
25,01-01 13:30,2.868,2.7089112,3.135910500254558
25,01-01 13:45,3.022,2.8637776,3.2849031430831226
25,01-01 14:00,3.146,3.015153,3.422970727222516
25,01-01 14:15,3.278,3.15752,3.548973529625038
25,01-01 14:30,3.362,3.291363,3.661946098241384
25,01-01 14:45,3.478,3.4126983,3.760952702157838
25,01-01 15:00,3.561,3.5240364,3.844971070457025
25,01-01 15:15,3.658,3.6194754,3.912831628139288
25,01-01 15:30,3.755,3.7012272,3.963227000936981
25,01-01 15:45,3.821,3.7647564,3.994791021376174
25,01-01 16:00,3.887,3.8099675,4.006231347008358
25,01-01 16:15,3.948,3.8366816,3.996488612335463
25,01-01 16:30,3.984,3.8425877,3.9648902749170256
25,01-01 16:45,4.025,3.829245,3.911269804807227
25,01-01 17:00,4.036,3.7943964,3.836030796994518
25,01-01 17:15,4.025,3.7402303,3.740148554721123
25,01-01 17:30,4.001,3.6654944,3.625115420506672
25,01-01 17:45,3.951,3.5722568,3.4928473641841205
25,01-01 18:00,3.871999999999999,3.4619465,3.345575417927582
25,01-01 18:15,3.766,3.3367872,3.1857453385595265
25,01-01 18:30,3.695,3.1984417,3.015942875831155
25,01-01 18:45,3.598,3.0545237,2.838851995703842
25,01-01 19:00,3.4679999999999995,2.8887272,2.657242300463617
25,01-01 19:15,3.332,2.7205024,2.4739727569451606
25,01-01 19:30,3.179,2.545133,2.2919939226420567
25,01-01 19:45,3.021,2.369459,2.1143314780097584
25,01-01 20:00,2.867,2.1951218,1.944039711559152
25,01-01 20:15,2.678,2.0253365,1.7841227617758846
25,01-01 20:30,2.51,1.8625246,1.6374314333058306
25,01-01 20:45,2.366,1.710769,1.506551431166736
25,01-01 21:00,2.21,1.5709586,1.393702485847664
25,01-01 21:15,2.031,1.4440619,1.3006661754490731
25,01-01 21:30,1.891,1.3355743,1.228753655591297
25,01-01 21:45,1.801,1.2449201,1.178814662247158
25,01-01 22:00,1.651,1.1749172,1.1512788917348016
25,01-01 22:15,1.597,1.1257967,1.1462130035606244
25,01-01 22:30,1.516,1.098488,1.1633732712816025
25,01-01 22:45,1.478,1.0948596,1.2022364627800155
25,01-01 23:00,1.416,1.1130118,1.2619992922372711
25,01-01 23:15,1.437,1.1537793,1.3415478020819112
