future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,01-01 00:00,1.8483181,1.411,2.042755927341086
25,01-01 00:15,2.0171463,1.514,2.222306107732825
25,01-01 00:30,2.1909728,1.643,2.4014633876452263
25,01-01 00:45,2.367085,1.757,2.5773318744581686
25,01-01 01:00,2.5445218,1.926,2.747608926553354
25,01-01 01:15,2.7197335,2.052,2.9105910357804445
25,01-01 01:30,2.8914242,2.203,3.0650798020327814
25,01-01 01:45,3.0539758,2.361,3.210207288856305
25,01-01 02:00,3.20772,2.459,3.3452170382950364
25,01-01 02:15,3.3480136,2.586,3.46924684837524
25,01-01 02:30,3.4760828,2.722,3.5811595648418635
25,01-01 02:45,3.58792,2.8369999999999997,3.6794584273872193
25,01-01 03:00,3.6838229,2.93,3.76230606742269
25,01-01 03:15,3.7608714,3.0510000000000006,3.827644742537111
25,01-01 03:30,3.8188927,3.198,3.8733945652612936
25,01-01 03:45,3.856735,3.291,3.897690970834307
25,01-01 04:00,3.87349,3.4090000000000003,3.8991156965569833
25,01-01 04:15,3.8687177,3.49,3.876878523969854
25,01-01 04:30,3.8425488,3.549,3.8309190736264385
25,01-01 04:45,3.7956765,3.597,3.7619160208472664
25,01-01 05:00,3.7275648,3.644000000000001,3.671211017299193
25,01-01 05:15,3.6399615,3.628,3.5606717413245743
25,01-01 05:30,3.5335958,3.622,3.432529056904267
25,01-01 05:45,3.4106011,3.5819999999999994,3.2892251567408843
25,01-01 06:00,3.27244,3.519,3.133302657734527
25,01-01 06:15,3.1274729,3.480999999999999,2.967351011330351
25,01-01 06:30,2.95708,3.42,2.794009908781713
25,01-01 06:45,2.7812912,3.292,2.616013652435414
25,01-01 07:00,2.6007981,3.222,2.4362496538973746
25,01-01 07:15,2.4191496,3.101,2.257800832648602
25,01-01 07:30,2.2393603,2.971,2.083946160461252
25,01-01 07:45,2.0652459,2.827,1.91810471283824
25,01-01 08:00,1.9004548,2.701,1.7637233828425054
25,01-01 08:15,1.7483099,2.543,1.6241229259142491
25,01-01 08:30,1.6117531,2.416,1.50232775909508
25,01-01 08:45,1.4928982,2.289,1.4009093042416394
25,01-01 09:00,1.3951981,2.16,1.3218695757081906
25,01-01 09:15,1.3193121,2.067,1.266582273869204
25,01-01 09:30,1.2677592,1.972,1.2357953437272826
25,01-01 09:45,1.2402927,1.893,1.2296851831651914
25,01-01 10:00,1.2384504,1.823,1.2479420552558684
25,01-01 10:15,1.2613865,1.786,1.2898613382823343
25,01-01 10:30,1.3086731,1.781,1.3544171490903616
25,01-01 10:45,1.3789278,1.767,1.4403029817044175
25,01-01 11:00,1.4698374,1.802,1.5459359717868455
25,01-01 11:15,1.5796354,1.84,1.6694340254624662
25,01-01 11:30,1.7073776,1.908,1.8085849029295
25,01-01 11:45,1.849036,1.976,1.9608306740863937
25,01-01 12:00,2.002442,2.084,2.123288629720507
25,01-01 12:15,2.1635356,2.198,2.292821156641847
25,01-01 12:30,2.2905662,2.322,2.466154361048406
25,01-01 12:45,2.4566283,2.446,2.640031749922678
25,01-01 13:00,2.6226444,2.566,2.8113784432251774
25,01-01 13:15,2.7859945,2.729,2.9774460780258782
25,01-01 13:30,2.9468236,2.868,3.135910500254558
25,01-01 13:45,3.1010702,3.022,3.284903143083123
25,01-01 14:00,3.248325,3.146,3.4229707272225163
25,01-01 14:15,3.3828356,3.278,3.548973529625038
25,01-01 14:30,3.506168,3.362,3.661946098241384
25,01-01 14:45,3.613459,3.478,3.760952702157838
25,01-01 15:00,3.7062616,3.561,3.8449710704570257
25,01-01 15:15,3.781227,3.658,3.912831628139288
25,01-01 15:30,3.8391967,3.755,3.9632270009369814
25,01-01 15:45,3.877418,3.821,3.994791021376174
25,01-01 16:00,3.896906,3.887,4.006231347008358
25,01-01 16:15,3.896624,3.948,3.996488612335463
25,01-01 16:30,3.8764036,3.984,3.9648902749170256
25,01-01 16:45,3.8363855,4.025,3.911269804807227
25,01-01 17:00,3.7770066,4.036,3.836030796994518
25,01-01 17:15,3.6991007,4.025,3.7401485547211233
25,01-01 17:30,3.6033235,4.001,3.625115420506672
25,01-01 17:45,3.4911747,3.951,3.492847364184121
25,01-01 18:00,3.364347,3.871999999999999,3.345575417927582
25,01-01 18:15,3.2248104,3.766,3.1857453385595274
25,01-01 18:30,3.0744333,3.695,3.0159428758311555
25,01-01 18:45,2.9492142,3.598,2.838851995703842
25,01-01 19:00,2.7693553,3.4679999999999995,2.657242300463617
25,01-01 19:15,2.586317,3.332,2.473972756945161
25,01-01 19:30,2.4009728,3.179,2.2919939226420567
25,01-01 19:45,2.2169337,3.021,2.1143314780097584
25,01-01 20:00,2.0372398,2.867,1.944039711559152
25,01-01 20:15,1.8653926,2.678,1.7841227617758846
25,01-01 20:30,1.705013,2.51,1.6374314333058306
25,01-01 20:45,1.5586815,2.366,1.506551431166736
25,01-01 21:00,1.4292696,2.21,1.393702485847664
25,01-01 21:15,1.3183275,2.031,1.3006661754490731
25,01-01 21:30,1.2291384,1.891,1.228753655591297
25,01-01 21:45,1.1620932,1.801,1.178814662247158
25,01-01 22:00,1.1193163,1.651,1.1512788917348016
25,01-01 22:15,1.1004312,1.597,1.1462130035606244
25,01-01 22:30,1.1066227,1.516,1.1633732712816025
25,01-01 22:45,1.1375145,1.478,1.2022364627800155
25,01-01 23:00,1.1920685,1.416,1.2619992922372711
25,01-01 23:15,1.2692573,1.437,1.3415478020819112
25,01-01 23:30,1.3666396,1.412,1.4394093778635504
25,01-01 23:45,1.4824681,1.436,1.5537085256420315
25,01-02 00:00,1.6154763,1.122,1.6821505617600545
25,01-02 00:15,1.7617722,1.187,1.8220536989537623
25,01-02 00:30,1.9194114,1.194,1.9704400746152548
25,01-02 00:45,2.0841804,1.316,2.124182322266549
25,01-02 01:00,2.2583146,1.396,2.280187576982532
25,01-02 01:15,2.4179642,1.497,2.435589026843642
25,01-02 01:30,2.5768313,1.6350000000000002,2.5879096238250474
25,01-02 01:45,2.7332282,1.746,2.7351650446791793
25,01-02 02:00,2.886406,1.92,2.87588338834655
25,01-02 02:15,3.0332675,2.053,3.0090355566386804
25,01-02 02:30,3.1729987,2.183,3.1338891014551686
25,01-02 02:45,3.3002586,2.294,3.2498152776730445
25,01-02 03:00,3.41628,2.382,3.3560902383788984
25,01-02 03:15,3.5165415,2.4790000000000005,3.4517338466961403
25,01-02 03:30,3.602257,2.588,3.5354226452531328
25,01-02 03:45,3.6705806,2.696,3.605498548059248
25,01-02 04:00,3.7218006,2.786,3.660074909986816
25,01-02 04:15,3.75383,2.918,3.6972212087350504
25,01-02 04:30,3.7674394,3.009,3.71519125130508
25,01-02 04:45,3.7618706,3.122,3.712651128978915
25,01-02 05:00,3.7367854,3.176,3.68886401134828
25,01-02 05:15,3.6925676,3.238,3.643798986977661
25,01-02 05:30,3.6298838,3.268,3.578148034136568
25,01-02 05:45,3.5495439,3.3370000000000006,3.4932549373238224
25,01-02 06:00,3.4521487,3.3500000000000005,3.3909779618654334
25,01-02 06:15,3.33971,3.3330000000000006,3.2735203003807323
25,01-02 06:30,3.2135084,3.3330000000000006,3.143266153455297
25,01-02 06:45,3.0760968,3.273,3.002655118986896
25,01-02 07:00,2.9294364,3.2320000000000007,2.8541149594427315
25,01-02 07:15,2.7483764,3.1439999999999997,2.700056124005549
25,01-02 07:30,2.590489,3.066,2.542914677218498
25,01-02 07:45,2.4337232,2.966,2.385217710824519
25,01-02 08:00,2.2794092,2.848,2.2296398814285365
25,01-02 08:15,2.1300921,2.717,2.079022437463265
25,01-02 08:30,1.9885359,2.592,1.9363362291408743
25,01-02 08:45,1.857495,2.473,1.8045850530583087
25,01-02 09:00,1.7401077,2.342,1.686661338454482
25,01-02 09:15,1.6389167,2.216,1.5851788498225934
25,01-02 09:30,1.5555369,2.087,1.502313625155854
25,01-02 09:45,1.4916265,1.968,1.4396831447722611
25,01-02 10:00,1.4493824,1.8620000000000003,1.398285278700771
25,01-02 10:15,1.4285609,1.767,1.3785050521862905
25,01-02 10:30,1.4305267,1.698,1.3801820787742816
25,01-02 10:45,1.4533643,1.624,1.4027185276579908
25,01-02 11:00,1.4984176,1.585,1.4451998418852607
25,01-02 11:15,1.5636092,1.548,1.506499906312717
25,01-02 11:30,1.6480503,1.548,1.5853489870531812
25,01-02 11:45,1.7491856,1.556,1.6803546349364078
25,01-02 12:00,1.8639814,1.582,1.7899797789868983
25,01-02 12:15,1.990559,1.614,1.9124947539161403
25,01-02 12:30,2.1274562,1.678,2.045927719976208
25,01-02 12:45,2.2712026,1.7360000000000002,2.188038954479197
25,01-02 13:00,2.4194102,1.837,2.336338492554145
25,01-02 13:15,2.5687008,1.941,2.488155077049874
25,01-02 13:30,2.6934671,2.04,2.640750433779395
25,01-02 13:45,2.8459086,2.179,2.791460011116571
25,01-02 14:00,2.9930832,2.292,2.9378328502620694
25,01-02 14:15,3.1326482,2.4340000000000006,3.077741583017188
25,01-02 14:30,3.2650857,2.579,3.2094391235303985
25,01-02 14:45,3.3867393,2.699,3.331550187101393
25,01-02 15:00,3.4979007,2.832,3.4430006959847983
25,01-02 15:15,3.5932925,2.927,3.5429026701171527
25,01-02 15:30,3.675384,3.048,3.630422821764505
25,01-02 15:45,3.7400506,3.122,3.704667261187667
25,01-02 16:00,3.7887514,3.228,3.7646113067771214
25,01-02 16:15,3.8196607,3.345,3.80909319826779
25,01-02 16:30,3.8335884,3.427,3.8368760176651486
25,01-02 16:45,3.8285868,3.526,3.846766680329948
25,01-02 17:00,3.8065462,3.612,3.837768139538049
25,01-02 17:15,3.7665873,3.651,3.809233906415097
25,01-02 17:30,3.7091286,3.723,3.7609940872683714
25,01-02 17:45,3.6349113,3.769,3.693429210204582
25,01-02 18:00,3.5446775,3.799,3.6074802382568794
25,01-02 18:15,3.4396813,3.783,3.5045972807734502
25,01-02 18:30,3.3213935,3.785,3.386642235186196
25,01-02 18:45,3.1915286,3.746,3.255768860044762
25,01-02 19:00,3.0520194,3.703,3.1143058588028234
25,01-02 19:15,2.9050264,3.648,2.9646643122180723
25,01-02 19:30,2.752804,3.566,2.8092815282423373
25,01-02 19:45,2.6253886,3.48,2.65060179812735
25,01-02 20:00,2.4627762,3.366,2.4910838028312376
25,01-02 20:15,2.3025057,3.247,2.3332171575579346
25,01-02 20:30,2.1460414,3.138,2.1795287221492945
25,01-02 20:45,1.9959757,3.026,2.032563160203027
25,01-02 21:00,1.8549969,2.856,1.8948304434649408
25,01-02 21:15,1.7254899,2.749,1.7687233484146756
25,01-02 21:30,1.610109,2.6100000000000003,1.6564175704171824
25,01-02 21:45,1.5105599,2.474,1.5597731166634332
25,01-02 22:00,1.4285233,2.342,1.480256599214184
25,01-02 22:15,1.3645073,2.216,1.418899624408323
25,01-02 22:30,1.3208295,2.1,1.376299774963751
25,01-02 22:45,1.2970272,2.023,1.3526601865820431
25,01-02 23:00,1.2940485,1.95,1.3478542650041512
25,01-02 23:15,1.3105862,1.868,1.3614962683490066
25,01-02 23:30,1.3470978,1.7950000000000002,1.3929980383171736
25,01-02 23:45,1.4030696,1.804,1.4415972807935185
25,01-03 00:00,1.4770621,1.555,1.5063521964960578
25,01-03 00:15,1.5674443,1.7170000000000003,1.586108464194275
25,01-03 00:30,1.671909,1.875,1.6794544536755904
25,01-03 00:45,1.7889931,2.011,1.784686320328301
25,01-03 01:00,1.9170257,2.197,1.8998044480447809
25,01-03 01:15,2.0530274,2.344,2.0225562165281694
25,01-03 01:30,2.1954055,2.503,2.150528743776179
25,01-03 01:45,2.3406825,2.621,2.281281761226165
25,01-03 02:00,2.470951,2.74,2.4124985445693587
25,01-03 02:15,2.6112409,2.847,2.5421252758692927
25,01-03 02:30,2.7481763,2.961,2.6684685326606123
25,01-03 02:45,2.8808541,3.075,2.7902274300804426
25,01-03 03:00,3.0084915,3.196,2.9064501849028703
25,01-03 03:15,3.1286237,3.291,3.0164215356763324
25,01-03 03:30,3.2404714,3.4,3.1195036923068065
25,01-03 03:45,3.3395643,3.458,3.214965476900447
25,01-03 04:00,3.4275668,3.518,3.301838891515536
25,01-03 04:15,3.500229,3.578,3.378838138270844
25,01-03 04:30,3.5585203,3.593,3.4443638648332935
25,01-03 04:45,3.6005785,3.608,3.4965976004739288
25,01-03 05:00,3.6262412,3.568,3.5336719598932365
25,01-03 05:15,3.634127,3.544,3.553885680392343
25,01-03 05:30,3.625067,3.4639999999999995,3.5559226359390923
25,01-03 05:45,3.598573,3.418,3.539032977212591
25,01-03 06:00,3.5547166,3.33,3.5031427405187037
25,01-03 06:15,3.494069,3.213,3.448873707007708
25,01-03 06:30,3.4174318,3.086,3.377474454743058
25,01-03 06:45,3.3257616,2.983,3.2906819763795783
25,01-03 07:00,3.2203302,2.8160000000000003,3.190546715271071
25,01-03 07:15,3.102986,2.653,3.0792594456397366
25,01-03 07:30,2.9754813,2.503,2.9590148992071947
25,01-03 07:45,2.8403144,2.349,2.8319355274640703
25,01-03 08:00,2.699787,2.211,2.7000622630334936
25,01-03 08:15,2.5413058,2.038,2.565401583259825
25,01-03 08:30,2.4028327,1.911,2.430003937562612
