future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
1,0,1.1225833105147862,1.1100081,1.004748903915094
1,1,1.1765833105147863,1.168998,1.0640817271746144
1,2,1.2035833105147864,1.2093616,1.1044414104681382
1,3,1.2235833105147864,1.2306057,1.1256089976667225
1,4,1.2025833105147858,1.2323843,1.1277512311584923
1,5,1.1855833105147862,1.2145375,1.1113049087859248
1,6,1.1335833105147857,1.1774739,1.0768719729831502
1,7,1.0705833105147862,1.1215991,1.0251501072953335
1,8,0.9995833105147862,1.0479245,0.9569121215340544
1,9,0.8985833105147866,0.95948946,0.8730331124304809
1,10,0.774583310514786,0.8564248,0.7745510447668985
1,11,0.6485833105147863,0.7406844,0.6627374803379449
1,12,0.5065833105147862,0.61466396,0.5391529610667404
1,13,0.36058331051478665,0.479965,0.4056663656662767
1,14,0.2025833105147858,0.3394271,0.2644280174716785
1,15,0.0475833105147864,0.1956301,0.1177995289018769
1,16,-0.12141668948521367,0.050376933,-0.0317444432012381
1,17,-0.2684166894852136,-0.09318231,-0.1817194616473603
1,18,-0.438416689485214,-0.23234855,-0.3297151208111118
1,19,-0.5694166894852136,-0.36439753,-0.4734406423034991
1,20,-0.7044166894852136,-0.48726735,-0.6107247453648622
1,21,-0.8464166894852139,-0.5986256,-0.7394761146328966
1,22,-0.9344166894852136,-0.6958881,-0.8576235775377177
1,23,-1.037416689485214,-0.77765447,-0.9630631406926304
1,24,-1.1014166894852138,-0.84174985,-1.0536399038191764
1,25,-1.1614166894852138,-0.8872029,-1.1271860458511846
1,26,-1.1674166894852138,-0.9128318,-1.181622805507203
1,27,-1.199416689485214,-0.9181053,-1.2151177916730758
1,28,-1.1664166894852137,-0.90314704,-1.2262732016212556
1,29,-1.121416689485214,-0.8686766,-1.214309536968834
1,30,-1.0654166894852135,-0.8149618,-1.1792062415854048
1,31,-0.9854166894852138,-0.74361753,-1.1217665221398831
1,32,-0.8754166894852137,-0.6559946,-1.043587395944274
1,33,-0.7704166894852138,-0.5543965,-0.9469348401434816
1,34,-0.6424166894852137,-0.4408182,-0.834543472692037
1,35,-0.4924166894852137,-0.31740266,-0.7093759516027965
1,36,-0.3354166894852136,-0.18738012,-0.5743855735167412
1,37,-0.19841668948521385,-0.05217026,-0.4323242736546034
1,38,-0.029416689485213525,0.08494077,-0.285627674795963
1,39,0.11358331051478626,0.22233008,-0.1363914456577721
1,40,0.25758331051478617,0.35734048,0.0135671088561651
1,41,0.3865833105147861,0.4880163,0.1625867884025539
1,42,0.5145833105147865,0.612314,0.3090165241582761
1,43,0.6435833105147865,0.72907835,0.4510863234526597
1,44,0.753583310514786,0.8362578,0.5868299263870482
1,45,0.8685833105147867,0.9324777,0.714080206708292
1,46,0.9755833105147864,1.0162694,0.830540217890007
1,47,1.0505833105147862,1.0867063,0.9339145541507452
1,48,1.141583310514786,1.1426804,1.0220717089573264
1,49,1.2045833105147865,1.1831145,1.0932016785303795
1,50,1.2445833105147863,1.2075088,1.1459353604146734
1,51,1.270583310514786,1.215481,1.179402533238098
1,52,1.2635833105147862,1.2064556,1.193220689274707
1,53,1.2325833105147863,1.1803523,1.1874236795803463
1,54,1.1805833105147867,1.1375368,1.1623529363648484
1,55,1.1145833105147864,1.0777366,1.118541660768513
1,56,1.023583310514786,1.0022099,1.056622077946593
1,57,0.909583310514786,0.91140413,0.9772780616062982
1,58,0.7785833105147859,0.8063817,0.8812522921431417
1,59,0.6475833105147862,0.68913025,0.7694021426055602
1,60,0.4795833105147861,0.5606267,0.6427856092520797
1,61,0.3245833105147861,0.42317635,0.502750972770152
1,62,0.1355833105147864,0.2786377,0.3510033542010526
1,63,-0.047416689485213784,0.12940632,0.1896278903200123
1,64,-0.23641668948521405,-0.02207204,0.0210608621075175
1,65,-0.44841668948521374,-0.17352521,-0.1519863393067966
1,66,-0.6284166894852139,-0.32172322,-0.3266336603768739
1,67,-0.8034166894852137,-0.46481228,-0.4999456349788758
1,68,-0.9984166894852138,-0.6000065,-0.6690276318508007
1,69,-1.1564166894852137,-0.7249613,-0.8310877564025032
1,70,-1.300416689485214,-0.83737403,-0.9834585252098708
1,71,-1.4424166894852137,-0.9354393,-1.1235855622727124
1,72,-1.5534166894852135,-1.0172371,-1.2490017011139034
1,73,-1.6674166894852138,-1.0810441,-1.357310942476015
1,74,-1.741416689485214,-1.1261674,-1.4462056548959357
1,75,-1.7754166894852137,-1.1508592,-1.5135322111025749
1,76,-1.7964166894852138,-1.1553103,-1.5574069028216788
1,77,-1.7724166894852138,-1.1394047,-1.576368678830026
1,78,-1.7274166894852137,-1.1040995,-1.5695420547626615
1,79,-1.6694166894852138,-1.0494471,-1.536776111815211
1,80,-1.5934166894852138,-0.977135,-1.478726052673165
1,81,-1.477416689485214,-0.88889164,-1.3968527541869893
1,82,-1.342416689485214,-0.78623915,-1.2933313781224318
1,83,-1.1924166894852135,-0.67132026,-1.1708788870205469
1,84,-1.0164166894852138,-0.5464667,-1.032527954309076
1,85,-0.8484166894852139,-0.41402435,-0.8813869076830981
1,86,-0.6544166894852138,-0.2761407,-0.7204289988759567
1,87,-0.46041668948521364,-0.13552034,-0.5523484016949171
1,88,-0.2834166894852138,0.0061824294,-0.3795059097508408
1,89,-0.09041668948521367,0.14614153,-0.203967630866653
1,90,0.07558331051478608,0.2829202,-0.0276195486427813
1,91,0.2535833105147863,0.4145176,0.1476758251183539
1,92,0.4215833105147865,0.5394727,0.3199233823848601
1,93,0.5785833105147866,0.65599245,0.4868817287046583
1,94,0.7345833105147862,0.7628994,0.6460234138271033
1,95,0.8875833105147859,0.85850084,0.7945832967344514
1,96,1.0185833105147861,0.9419978,0.9296889299205496
1,97,1.1355833105147863,1.0120399,1.0485483806617582
1,98,1.2415833105147862,1.0678658,1.1486583623237725
1,99,1.319583310514786,1.1086708,1.227991707186071
1,100,1.3685833105147864,1.1339606,1.2851288313185758
1,101,1.390583310514786,1.1435795,1.3193111997037352
1,102,1.3875833105147861,1.1371969,1.330412580446399
1,103,1.3635833105147859,1.1149547,1.3188418161342526
1,104,1.2985833105147861,1.0771297,1.2854046375530166
1,105,1.236583310514786,1.0241863,1.2311586929022194
1,106,1.1545833105147862,0.9569318,1.1572942139052038
1,107,1.0355833105147862,0.87630343,1.0650634049716654
1,108,0.9115833105147862,0.7835121,0.9557674487441364
1,109,0.7655833105147861,0.68003035,0.8307946501125936
1,110,0.5895833105147862,0.56743246,0.6916905991577642
1,111,0.40258331051478613,0.44758683,0.5402343975253775
1,112,0.22858331051478636,0.32249722,0.3784952706963165
1,113,0.019583310514786182,0.19428273,0.2088508868599649
1,114,-0.16641668948521376,0.06513013,0.0339602548889529
1,115,-0.3564166894852136,-0.06261998,-0.1433032896057309
1,116,-0.5414166894852137,-0.18671294,-0.3199431733762242
1,117,-0.723416689485214,-0.30481675,-0.4929336627325113
1,118,-0.9014166894852137,-0.41475517,-0.6592971656948705
1,119,-1.054416689485214,-0.514393,-0.8161522461900252
1,120,-1.201416689485214,-0.6017988,-0.9607308557488742
1,121,-1.2964166894852138,-0.6752452,-1.090374984513362
1,122,-1.3994166894852138,-0.7332274,-1.2025316704281344
