Time_Step,Actual_Values,Predicted_Values,Utide_Values,R2_Scores,Utide_R2_Scores
0,1.2455833105147864,1.292152,1.2721683840752225,,
1,1.0935833105147859,1.1517768,1.1363570103137883,,
2,0.9375833105147865,0.9954033,0.9827833093912348,,
3,0.7365833105147863,0.82333124,0.8132659808445937,,
4,0.5335833105147861,0.63957787,0.6297216211996487,,
5,0.29858331051478626,0.44663045,0.43428060773985794,,
6,0.06758331051478633,0.2475328,0.22940550638825366,,
7,-0.15141668948521345,0.045864265,0.017978032556645564,,
8,-0.3874166894852137,-0.1550566,-0.1966712468793884,,
9,-0.6344166894852138,-0.35189208,-0.4108027597030409,,
10,-0.8644166894852139,-0.54138374,-0.6203740866490645,,
11,-1.0664166894852138,-0.72009444,-0.8211954718475303,,
12,-1.262416689485214,-0.88441473,-1.009109157153327,,
13,-1.4424166894852135,-1.0315212,-1.1801651126540813,,
14,-1.5874166894852133,-1.1588911,-1.330770431467763,,
15,-1.7244166894852138,-1.2636122,-1.4577993370474651,,
16,-1.8364166894852134,-1.3442383,-1.558662247902182,,
17,-1.9074166894852136,-1.3992354,-1.6313424006499628,,
18,-1.9574166894852136,-1.4281642,-1.6744145145445228,,
19,-1.9554166894852136,-1.4305524,-1.6870602481375485,,
20,-1.9364166894852135,-1.4072506,-1.6690900197352,0.9011497803932977,0.9629365804274347
21,-1.8534166894852133,-1.3594449,-1.6209719578049722,0.8970963593649337,0.9628099724829428
22,-1.7724166894852136,-1.2879939,-1.543859083927858,0.892665964124753,0.9623735647145574
23,-1.6454166894852138,-1.1954601,-1.4395985593391862,0.888438855537653,0.9618880307528013
24,-1.5154166894852137,-1.0832393,-1.3107044621245663,0.8839503979683734,0.9611042336478334
25,-1.340416689485214,-0.95456576,-1.1602793266037588,0.8799108170067836,0.9603423528751505
26,-1.157416689485214,-0.8112291,-0.9918791706212512,0.8762434713460621,0.9595429971667779
27,-0.9594166894852141,-0.6568535,-0.8093296897414628,0.8731926318211753,0.9587958404618804
28,-0.7364166894852137,-0.49320582,-0.6165144970021796,0.8712557907638543,0.9583301682675028
29,-0.5104166894852136,-0.32384348,-0.41716619646658215,0.8705801174722749,0.9581980151812641
30,-0.2664166894852138,-0.15113914,-0.21469454892290535,0.8715243478342671,0.9585568444501555
31,-0.050416689485213516,0.022737795,-0.012081642081990404,0.8737854981020724,0.9592946234965082
32,0.1535833105147861,0.19450957,0.18813776070758115,0.8772680679306643,0.9603970247362357
33,0.34958331051478647,0.3628498,0.38380954252746113,0.8818381920784719,0.9618376326595011
34,0.5245833105147863,0.5255588,0.5730244742142451,0.8871820546138406,0.9634950453651767
35,0.6885833105147864,0.6805756,0.7539461206288062,0.8930511241571916,0.9652764929238182
36,1.0895833105147859,0.8262173,0.924644139025935,0.8994522603739482,0.967235057436393
37,1.2285833105147865,0.96069163,1.0829745998248241,0.9056114593518565,0.9692935751662661
38,1.350583310514786,1.0825331,1.2265394815735993,0.9114026018791023,0.9713510638524158
39,1.4435833105147862,1.1906235,1.3527406569692608,0.9167971459248881,0.9733452927506231
40,1.525583310514786,1.2819418,1.4589229792577032,0.921711129983059,0.9751910592338568
41,1.5325833105147864,1.3569955,1.542581165868473,0.9262549252275881,0.9767994234723759
42,1.5485833105147864,1.4141141,1.6015906989588296,0.9303241922216358,0.9781268252022597
43,1.5205833105147861,1.4518243,1.6344171092883977,0.933872854231235,0.9790625502590317
44,1.458583310514786,1.4700382,1.6402622108856812,0.9367987249584199,0.9794993643380404
