Time_Step,Actual_Values,Predicted_Values,Utide_Values,R2_Scores,Utide_R2_Scores
0,1.2455833105147864,1.2089052,1.2721683840752225,,
1,1.0935833105147859,1.0519857,1.136357010313788,,
2,0.9375833105147865,0.87696946,0.982783309391235,,
3,0.7365833105147863,0.68669957,0.8132659808445936,,
4,0.5335833105147861,0.48431116,0.6297216211996488,,
5,0.29858331051478626,0.2733062,0.4342806077398579,,
6,0.06758331051478633,0.05753141,0.2294055063882535,,
7,-0.15141668948521345,-0.15903741,0.0179780325566456,,
8,-0.3874166894852137,-0.37242243,-0.1966712468793883,,
9,-0.6344166894852138,-0.5787562,-0.410802759703041,,
10,-0.8644166894852139,-0.7743587,-0.6203740866490645,,
11,-1.0664166894852138,-0.9557101,-0.8211954718475303,,
12,-1.262416689485214,-1.1195242,-1.009109157153327,,
13,-1.4424166894852135,-1.2627497,-1.1801651126540813,,
14,-1.5874166894852133,-1.3827056,-1.330770431467763,,
15,-1.7244166894852138,-1.4770888,-1.4577993370474651,,
16,-1.8364166894852134,-1.5441263,-1.558662247902182,,
17,-1.9074166894852136,-1.5826349,-1.6313424006499628,,
18,-1.9574166894852136,-1.5920122,-1.6744145145445228,,
19,-1.9554166894852136,-1.5723776,-1.6870602481375483,,
20,-1.9364166894852135,-1.5244989,-1.6690900197352,0.9673697100285688,0.9629365804274347
21,-1.8534166894852133,-1.4498132,-1.6209719578049722,0.9629689075676161,0.9628099724829428
22,-1.7724166894852136,-1.3503578,-1.543859083927858,0.9580242687579233,0.9623735647145574
23,-1.6454166894852138,-1.2287426,-1.4395985593391862,0.953082721971974,0.9618880307528013
24,-1.5154166894852137,-1.0879725,-1.3107044621245665,0.9476301435580838,0.9611042336478334
25,-1.340416689485214,-0.931401,-1.1602793266037588,0.9424107587291052,0.9603423528751505
26,-1.157416689485214,-0.76257837,-0.9918791706212512,0.9373234686064147,0.9595429971667779
27,-0.9594166894852141,-0.5850562,-0.8093296897414628,0.9326078734302153,0.9587958404618804
28,-0.7364166894852137,-0.4023465,-0.6165144970021798,0.92886968603171,0.9583301682675028
29,-0.5104166894852136,-0.21777487,-0.4171661964665821,0.9262611136814701,0.9581980151812641
30,-0.2664166894852138,-0.034401692,-0.2146945489229054,0.9252586945845739,0.9585568444501555
31,-0.050416689485213516,0.14500898,-0.0120816420819906,0.9254282055814307,0.9592946234965082
32,0.1535833105147861,0.31798878,0.188137760707581,0.9266589967708383,0.9603970247362357
33,0.34958331051478647,0.48230156,0.3838095425274613,0.9288547363850131,0.9618376326595011
34,0.5245833105147863,0.6359468,0.573024474214245,0.9317103276539574,0.9634950453651767
35,0.6885833105147864,0.77706057,0.7539461206288063,0.9350474104147438,0.9652764929238182
36,1.0895833105147859,0.90388787,0.9246441390259352,0.9391302549233155,0.967235057436393
37,1.2285833105147865,1.0147736,1.082974599824824,0.9428054710807618,0.9692935751662661
38,1.350583310514786,1.1081222,1.226539481573599,0.945983332062035,0.9713510638524158
39,1.4435833105147862,1.1824524,1.352740656969261,0.9486862947106262,0.9733452927506231
40,1.525583310514786,1.2364242,1.458922979257703,0.9508411232594455,0.9751910592338568
41,1.5325833105147864,1.26893,1.5425811658684725,0.9528204192799398,0.9767994234723759
42,1.5485833105147864,1.2791352,1.6015906989588296,0.954423353926934,0.9781268252022597
43,1.5205833105147861,1.2665302,1.6344171092883972,0.9557897149814989,0.9790625502590317
44,1.458583310514786,1.2310035,1.640262210885681,0.9569779589775346,0.9794993643380404
45,1.379583310514786,1.1728504,1.6191192299828656,0.9579625980838887,0.9794392689463188
46,1.288583310514786,1.0928096,1.5717281853847156,0.9587178920245105,0.9789571636990531
