Time_Step,Actual_Values,Predicted_Values,Utide_Values
0,1.2455833105147864,1.2888521,1.3169118317972417
1,1.0935833105147859,1.1366491,1.211702639282865
2,0.9375833105147865,0.9727174,1.0877154596767185
3,0.7365833105147863,0.7883009,0.9465333528825198
4,0.5335833105147861,0.6110395,0.7897745183903999
5,0.29858331051478626,0.40219364,0.6191732286597883
6,0.06758331051478633,0.16811404,0.4366865259934789
7,-0.15141668948521345,0.0045926645,0.2445949236860687
8,-0.3874166894852137,-0.2254513,0.0455682017040228
9,-0.6344166894852138,-0.4192204,-0.1573230310838232
10,-0.8644166894852139,-0.5971366,-0.3606559428800084
11,-1.0664166894852138,-0.788437,-0.5607563933455938
12,-1.262416689485214,-0.9644129,-0.7538335478458992
13,-1.4424166894852135,-1.1306418,-0.9361245600219968
14,-1.5874166894852133,-1.2494956,-1.1040270980646312
15,-1.7244166894852138,-1.3720758,-1.2542044677604116
16,-1.8364166894852134,-1.4432799,-1.3836584632082392
17,-1.9074166894852136,-1.5027001,-1.4897755041609215
18,-1.9574166894852136,-1.5334057,-1.5703590527750522
19,-1.9554166894852136,-1.5677702,-1.6236636893136365
20,-1.9364166894852135,-1.5586126,-1.648442733181274
21,-1.8534166894852133,-1.498325,-1.6440130189406807
22,-1.7724166894852136,-1.4429466,-1.6103298811470517
23,-1.6454166894852138,-1.3288953,-1.5480556830292138
24,-1.5154166894852137,-1.2230738,-1.4585995409395032
25,-1.340416689485214,-1.1194303,-1.3441063523884302
26,-1.157416689485214,-0.94226336,-1.2073803402074907
27,-0.9594166894852141,-0.78747094,-1.0517408810717894
28,-0.7364166894852137,-0.5948613,-0.8808234344321727
29,-0.5104166894852136,-0.4181835,-0.6983522596706405
30,-0.2664166894852138,-0.22152026,-0.5079206914410173
31,-0.050416689485213516,-0.038494766,-0.3128161888486677
32,0.1535833105147861,0.16038784,-0.1159203723048669
33,0.34958331051478647,0.38921285,0.0803000449521024
34,0.5245833105147863,0.5537811,0.2737143537729645
35,0.6885833105147864,0.73680574,0.4623828994755939
36,1.0895833105147859,0.92851216,0.6443827724662459
37,1.2285833105147865,1.0531597,0.8176479553623025
38,1.350583310514786,1.201156,0.9798651909666012
39,1.4435833105147862,1.3067548,1.1284549565754451
40,1.525583310514786,1.403944,1.2606483903503232
41,1.5325833105147864,1.5136842,1.3736497529869112
42,1.5485833105147864,1.5446812,1.464854836234207
43,1.5205833105147861,1.5423002,1.532083105653448
44,1.458583310514786,1.589642,1.5737779941377164
45,1.379583310514786,1.5526608,1.5891364302149096
46,1.288583310514786,1.4996163,1.578143879646016
47,1.1735833105147857,1.4417437,1.5415112865968383
48,1.0425833105147861,1.3021268,1.4805308027896389
49,0.8835833105147859,1.2224559,1.3968834687922074
50,0.7125833105147861,1.0971413,1.2924404725865597
51,0.5095833105147859,0.915755,1.1690986539431156
52,0.3135833105147861,0.7764597,1.0286810030498854
53,0.08658331051478625,0.58570653,0.8729166282089131
54,-0.15641668948521378,0.387218,0.7034960529284985
55,-0.3714166894852138,0.16722134,0.5221809610969035
56,-0.599416689485214,-0.019030819,0.3309364471519218
57,-0.8054166894852136,-0.19207945,0.1320507012440819
58,-0.9864166894852138,-0.40850988,-0.0717880632564836
59,-1.1644166894852137,-0.5828047,-0.2774763043045105
60,-1.3414166894852135,-0.76807374,-0.4815456620180267
61,-1.4744166894852135,-0.9211681,-0.6802693992259522
62,-1.5774166894852135,-1.0804965,-0.8698045902973948
63,-1.6814166894852138,-1.1942302,-1.0463455473926349
64,-1.741416689485214,-1.3248037,-1.2062662912750255
65,-1.7674166894852137,-1.4033335,-1.3462373871729831
66,-1.7784166894852138,-1.4780784,-1.463312613057033
67,-1.7604166894852138,-1.5207794,-1.5549906826628364
68,-1.6814166894852138,-1.4985137,-1.6192635372625677
69,-1.600416689485214,-1.5029012,-1.6546638102085254
70,-1.491416689485214,-1.4641014,-1.6603198196237894
71,-1.360416689485214,-1.4216503,-1.6360181266735778
72,-1.2204166894852138,-1.3331805,-1.582264042556363
73,-1.0384166894852138,-1.2290767,-1.500322642724549
74,-0.8454166894852138,-1.0867846,-1.392219575984437
75,-0.6414166894852138,-0.96257746,-1.2606839438510322
76,-0.42641668948521383,-0.82997715,-1.109024625396013
77,-0.1864166894852138,-0.6384926,-0.9409448463743936
78,0.03958331051478604,-0.43711162,-0.7603144568385564
79,0.23958331051478646,-0.2564833,-0.5709313979714704
80,0.4135833105147866,-0.047482774,-0.3763099467544198
81,0.5835833105147862,0.14489733,-0.179531478533173
82,0.7415833105147861,0.33614856,0.0168167282774409
83,0.8975833105147861,0.5294011,0.2106057411782241
84,1.0545833105147864,0.71815383,0.4000429092626104
85,1.1915833105147864,0.8801329,0.5834923955319393
86,1.3205833105147864,1.0207304,0.7592798216722872
87,1.4155833105147866,1.1746355,0.9255264131053356
88,1.5035833105147869,1.2927537,1.0800522004443287
89,1.5775833105147865,1.3996415,1.220373219609352
90,1.6055833105147856,1.4817907,1.3437974173330132
91,1.595583310514786,1.5214473,1.4476027207457896
92,1.5795833105147865,1.5748421,1.52926306210598
93,1.5095833105147858,1.5323757,1.5866780548307209
94,1.4275833105147862,1.579186,1.6183618054481994
95,1.330583310514786,1.4900022,1.6235558388147109
96,1.2165833105147863,1.443637,1.6022480994670183
97,1.080583310514786,1.3643143,1.5551005339160966
98,0.918583310514786,1.2644376,1.4833070592563105
99,0.7375833105147861,1.1272261,1.3884175084577377
100,0.5305833105147865,0.9986805,1.2721683840752225
101,0.31658331051478644,0.81878,1.136357010313788
102,0.08458331051478622,0.6840014,0.982783309391235
103,-0.15141668948521345,0.47563642,0.8132659808445936
104,-0.38641668948521396,0.28953937,0.6297216211996488
105,-0.6204166894852137,0.09111699,0.4342806077398579
106,-0.8464166894852138,-0.09987429,0.2294055063882535
107,-1.0734166894852135,-0.29111385,0.0179780325566456
108,-1.2614166894852137,-0.4723275,-0.1966712468793883
109,-1.4584166894852135,-0.6504477,-0.410802759703041
110,-1.598416689485214,-0.83188856,-0.6203740866490645
111,-1.741416689485214,-0.98483604,-0.8211954718475303
112,-1.8474166894852135,-1.118728,-1.009109157153327
113,-1.9274166894852136,-1.2272347,-1.1801651126540813
114,-1.9744166894852135,-1.3227392,-1.330770431467763
115,-1.9944166894852136,-1.4062929,-1.4577993370474651
116,-1.9714166894852134,-1.4299477,-1.558662247902182
117,-1.9204166894852135,-1.4481386,-1.6313424006499628
