Time_Step,Actual_Values,Predicted_Values,Utide_Values,R2_Scores,Utide_R2_Scores
0,0.3285833105147867,0.3518132,0.0537140881480576,,
1,0.4685833105147862,0.49027225,0.1939901123020195,,
2,0.6075833105147866,0.6248059,0.3318498802906213,,
3,0.7545833105147863,0.7543191,0.4656123919746527,,
4,0.8985833105147862,0.877428,0.5938987100524904,,
5,1.0555833105147863,0.9926205,0.7154932634596467,,
6,1.1745833105147863,1.0981786,0.8291865366653153,,
7,1.266583310514786,1.1926123,0.9336403334784624,,
8,1.4095833105147861,1.274503,1.0273110308601976,,
9,1.471583310514787,1.3425667,1.1084522717301293,,
10,1.5495833105147863,1.3957312,1.1751997454258851,,
11,1.6155833105147863,1.4329815,1.2257216087138672,,
12,1.6525833105147858,1.4535681,1.2584030849468506,,
13,1.6485833105147865,1.4569619,1.272026327234025,,
14,1.6455833105147861,1.4430704,1.265908381199823,,
15,1.6345833105147862,1.4119207,1.2399703270855642,,
16,1.5565833105147868,1.364117,1.1947268206212582,,
17,1.477583310514786,1.3002213,1.1312032794873903,,
18,1.3815833105147866,1.2209677,1.05080348977875,,
19,1.2555833105147864,1.1273409,0.9551598577380048,,
20,1.1355833105147861,1.0203495,0.8459997988077843,0.8817398902751963,0.27519667073984744
21,1.0015833105147862,0.9012213,0.7250548773789127,0.8806377338883605,0.2641514873735684
22,0.8365833105147864,0.7716226,0.5940263598366599,0.8843163630615436,0.2776627170700656
23,0.6645833105147865,0.6334122,0.4546051935348942,0.8925940819741207,0.31951173073522166
24,0.4975833105147864,0.4885775,0.3085301853413307,0.9039208759637367,0.3831231523094516
25,0.30558331051478604,0.3392382,0.1576589211902786,0.9171093631949154,0.464891378413929
26,0.13458331051478614,0.18751189,0.0040238048102557,0.9297997089271618,0.5469891866054528
27,-0.06841668948521375,0.035549454,-0.1501490851096616,0.9408157276653594,0.6267586523458144
28,-0.23341668948521385,-0.11463668,-0.3024694307177276,0.9498324081263447,0.6931347795659809
29,-0.4164166894852136,-0.2609806,-0.4504577187984723,0.9566581417646196,0.7484588715705365
30,-0.5884166894852139,-0.40151048,-0.5916504355004716,0.9616333064005341,0.792791649525491
31,-0.7314166894852139,-0.5340957,-0.7237116353748773,0.9655059662675058,0.8270833385600311
32,-0.8774166894852138,-0.65668434,-0.8445255821203393,0.9682854787284089,0.8540695167387322
33,-1.0084166894852136,-0.76718587,-0.952250672206252,0.9702501709187171,0.8752391301504829
34,-1.113416689485214,-0.8637111,-1.0453259180497585,0.971759338103238,0.8917648263043996
35,-1.1804166894852135,-0.94444376,-1.1224349799727935,0.9731950337064498,0.9046075640085726
36,-1.2594166894852137,-1.0077626,-1.1824452221740531,0.9741668179297103,0.9148930421818756
37,-1.3064166894852138,-1.0523793,-1.224347089337244,0.9749027768161955,0.923091226826022
38,-1.346416689485214,-1.0773509,-1.2472200369956352,0.9752842609954104,0.9296774205403676
39,-1.3514166894852138,-1.0820204,-1.2502447098227674,0.9755096288471943,0.9349406950961838
40,-1.342416689485214,-1.0661994,-1.2327685810818148,0.9755174371177143,0.939143402127593
41,-1.2964166894852136,-1.0299411,-1.19441696862895,0.9754797995526876,0.9424805629359951
42,-1.2024166894852135,-0.97381765,-1.1352271224821633,0.9756086194347462,0.945106295712143
43,-1.1234166894852138,-0.8985754,-1.0557737966956282,0.9756023158352723,0.9471573439438516
44,-1.0014166894852135,-0.8055506,-0.957253001636558,0.9756341494460498,0.948714633205527
45,-0.9024166894852136,-0.69632876,-0.8414972895628479,0.9754566140186104,0.9498750463788105
46,-0.7474166894852137,-0.57292813,-0.7109097278215432,0.9753336646533781,0.9506950269629604
47,-0.6074166894852139,-0.43752116,-0.5683214392055842,0.9751190544834089,0.951243229788943
48,-0.42341668948521377,-0.29242548,-0.4167950723457346,0.9749875936014099,0.9515659556173889
49,-0.2584166894852139,-0.14020118,-0.2594095699425507,0.9748317245040081,0.9517301967153007
50,-0.08741668948521401,0.016718946,-0.0990666952350287,0.9746757272906963,0.9517864546677097
51,0.08558331051478607,0.17585465,0.0616443944055455,0.9745390265557958,0.9517831886118514
52,0.25858331051478617,0.33501077,0.2205008864440133,0.9744416528900817,0.9517640851064794
53,0.44858331051478584,0.49176162,0.3756131689909692,0.9744417687848606,0.9517332823506801
54,0.6035833105147862,0.6438469,0.5253194464941193,0.9744909165298054,0.9517736331896971
55,0.7925833105147864,0.7890198,0.6680393300388133,0.9746464513899299,0.9518040854847254
56,0.9615833105147865,0.9250706,0.8021271210088818,0.9748681392111113,0.9518396300762411
57,1.1245833105147862,1.0501028,0.9257655186101068,0.9751176159704515,0.9518372126063667
58,1.242583310514786,1.1623987,1.0369309674427452,0.9754241162841059,0.9519424096848049
