future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,0,1.8483181,1.411,2.0427559273410854
25,1,2.0171463,1.514,2.222306107732825
25,2,2.1909728,1.643,2.4014633876452263
25,3,2.367085,1.757,2.5773318744581686
25,4,2.5445218,1.926,2.747608926553354
25,5,2.7197335,2.052,2.9105910357804445
25,6,2.8914242,2.203,3.0650798020327814
25,7,3.0539758,2.361,3.210207288856305
25,8,3.20772,2.459,3.3452170382950364
25,9,3.3480136,2.586,3.46924684837524
25,10,3.4760828,2.722,3.5811595648418635
25,11,3.58792,2.8369999999999997,3.6794584273872193
25,12,3.6838229,2.93,3.76230606742269
25,13,3.7608714,3.0510000000000006,3.827644742537111
25,14,3.8188927,3.198,3.8733945652612936
25,15,3.856735,3.291,3.897690970834307
25,16,3.87349,3.4090000000000003,3.8991156965569833
25,17,3.8687177,3.49,3.876878523969854
25,18,3.8425488,3.549,3.8309190736264385
25,19,3.7956765,3.597,3.7619160208472664
25,20,3.7275648,3.6440000000000006,3.671211017299193
25,21,3.6399615,3.628,3.5606717413245743
25,22,3.5335958,3.622,3.432529056904267
25,23,3.4106011,3.5819999999999994,3.2892251567408843
25,24,3.27244,3.519,3.133302657734527
25,25,3.1274729,3.4809999999999994,2.967351011330351
25,26,2.95708,3.42,2.794009908781713
25,27,2.7812912,3.292,2.616013652435414
25,28,2.6007981,3.222,2.4362496538973746
25,29,2.4191496,3.101,2.257800832648602
25,30,2.2393603,2.971,2.083946160461252
25,31,2.0652459,2.827,1.91810471283824
25,32,1.9004548,2.701,1.7637233828425054
25,33,1.7483099,2.543,1.6241229259142491
25,34,1.6117531,2.416,1.50232775909508
25,35,1.4928982,2.289,1.4009093042416394
25,36,1.3951981,2.16,1.3218695757081906
25,37,1.3193121,2.067,1.266582273869204
25,38,1.2677592,1.972,1.2357953437272826
25,39,1.2402927,1.893,1.2296851831651914
25,40,1.2384504,1.823,1.2479420552558684
25,41,1.2613865,1.786,1.2898613382823343
25,42,1.3086731,1.781,1.3544171490903616
25,43,1.3789278,1.767,1.4403029817044175
25,44,1.4698374,1.802,1.5459359717868455
25,45,1.5796354,1.84,1.6694340254624662
25,46,1.7073776,1.908,1.8085849029295
25,47,1.849036,1.9759999999999998,1.9608306740863937
25,48,2.002442,2.084,2.123288629720507
25,49,2.1635356,2.198,2.292821156641847
25,50,2.2905662,2.322,2.4661543610484054
25,51,2.4566283,2.446,2.640031749922678
25,52,2.6226444,2.566,2.8113784432251774
25,53,2.7859945,2.729,2.9774460780258782
