future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
27,0,1.411,1.8104542,2.0427559273410854
27,1,1.514,1.9714856,2.222306107732825
27,2,1.643,2.1412017,2.4014633876452263
27,3,1.757,2.313098,2.5773318744581686
27,4,1.926,2.4850996,2.7476089265533536
27,5,2.052,2.6551275,2.9105910357804445
27,6,2.203,2.8239202,3.0650798020327814
27,7,2.361,2.9852493,3.210207288856305
27,8,2.459,3.1383996,3.3452170382950364
27,9,2.586,3.2800229,3.4692468483752394
27,10,2.722,3.4083586,3.581159564841864
27,11,2.8369999999999997,3.5237355,3.6794584273872193
27,12,2.93,3.6235332,3.76230606742269
27,13,3.0510000000000006,3.7037196,3.827644742537111
27,14,3.198,3.7660193,3.8733945652612936
27,15,3.291,3.8088484,3.8976909708343066
27,16,3.4090000000000003,3.8314326,3.8991156965569833
27,17,3.49,3.8344595,3.876878523969854
27,18,3.549,3.8164892,3.830919073626438
27,19,3.597,3.7760804,3.761916020847266
27,20,3.6440000000000006,3.7163255,3.671211017299193
27,21,3.628,3.6390946,3.5606717413245743
27,22,3.622,3.541697,3.4325290569042664
27,23,3.5819999999999994,3.4279368,3.2892251567408843
27,24,3.519,3.2983804,3.1333026577345264
27,25,3.4809999999999994,3.1543581,2.9673510113303507
27,26,3.42,3.0008435,2.7940099087817134
27,27,3.292,2.8355505,2.6160136524354134
27,28,3.222,2.6684034,2.4362496538973746
27,29,3.101,2.4986477,2.257800832648602
27,30,2.971,2.3304014,2.083946160461252
27,31,2.827,2.168499,1.91810471283824
27,32,2.701,2.0129387,1.7637233828425054
27,33,2.543,1.8671564,1.6241229259142491
27,34,2.416,1.7342529,1.50232775909508
27,35,2.289,1.6171418,1.4009093042416394
27,36,2.16,1.5180795,1.3218695757081906
27,37,2.067,1.438079,1.266582273869204
27,38,1.972,1.3772639,1.2357953437272826
27,39,1.893,1.3381289,1.2296851831651914
27,40,1.823,1.3216085,1.2479420552558684
27,41,1.786,1.3263547,1.2898613382823343
