future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
23,0,1.614,1.6247988,1.7907617014734416
23,1,1.6199999999999999,1.5929649,1.7617143588775876
23,2,1.5659999999999998,1.5535252,1.7295357178384263
23,3,1.508,1.5143248,1.6984410339832838
23,4,1.451,1.4791021,1.6730410437400995
23,5,1.419,1.4550995,1.6576048055688068
23,6,1.3950000000000002,1.4479568,1.655294129849446
23,7,1.419,1.4604974,1.6675070056491634
23,8,1.4710000000000003,1.4941459,1.6934549857131391
23,9,1.5659999999999998,1.5417157,1.7300631630434076
23,10,1.643,1.6002554,1.7722276360466966
23,11,1.67,1.6573492,1.8134041443917803
23,12,1.706,1.7052349,1.846444393497858
23,13,1.7469999999999999,1.7325939,1.8645541129693533
23,14,1.7590000000000001,1.7333217,1.8622267859657604
23,15,1.7300000000000002,1.7021364,1.836012513293292
23,16,1.706,1.6419964,1.785010794952374
23,17,1.607,1.5512542,1.7110229141310038
23,18,1.5000000000000002,1.4379435,1.618354798442115
23,19,1.361,1.3124435,1.5133143826062558
23,20,1.226,1.185777,1.4034894826703046
23,21,1.083,1.070602,1.2969165840486758
23,22,0.9750000000000001,0.9728968,1.2012553726578787
23,23,0.894,0.8785621,1.123069936185083
23,24,0.842,0.8301722,1.0672900885556578
23,25,0.796,0.81468123,1.036892119567465
23,26,0.7880000000000001,0.83129007,1.032804416050719
23,27,0.797,0.87900776,1.0540154859357391
23,28,0.886,0.95441854,1.0978434213109174
23,29,0.951,1.0497533,1.1603173735753602
23,30,1.04,1.1579418,1.2366215600194677
23,31,1.17,1.270684,1.32155762377561
23,32,1.272,1.3808469,1.4099883993934883
23,33,1.372,1.4806701,1.4972328074275123
23,34,1.454,1.5670514,1.5793865601992358
23,35,1.537,1.6341648,1.653547089538944
23,36,1.612,1.6832374,1.7179253893559665
23,37,1.641,1.7153436,1.7718342429877223
23,38,1.651,1.7347294,1.8155529992787007
23,39,1.673,1.7455549,1.8500837216699528
23,40,1.699,1.7500893,1.8768302845366327
23,41,1.705,1.7524556,1.897247505378284
23,42,1.731,1.7561898,1.912517560797112
23,43,1.728,1.7618684,1.923311891994839
23,44,1.724,1.769466,1.9296863289406416
23,45,1.733,1.7727661,1.931135465384121
23,46,1.729,1.7726524,1.9268023967585624
23,47,1.69,1.7646708,1.915807274534865
