future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,0,2.118,2.0924878,2.189648123513276
25,1,2.232,2.2194698,2.3177484901709007
25,2,2.353,2.3456492,2.4459727936801747
25,3,2.477,2.470249,2.572907090825997
25,4,2.597,2.5898535,2.6965144817104654
25,5,2.71,2.7038596,2.814247384439774
25,6,2.809,2.8103137,2.9232182495468377
25,7,2.906,2.9043787,3.020403621636867
25,8,2.99,2.9836924,3.102856829657352
25,9,3.056,3.0446928,3.167908074607044
25,10,3.113,3.0908458,3.213335749726855
25,11,3.1529999999999996,3.114177,3.237498189996739
25,12,3.159,3.1159472,3.239419858643303
25,13,3.144,3.0966654,3.2188297811510016
25,14,3.106,3.0544105,3.1761530392660315
25,15,3.045,2.9925876,3.1124587950625253
25,16,2.959,2.9086294,3.029371051556393
25,17,2.857,2.8083847,2.928951452094872
25,18,2.731,2.6896517,2.813566597552942
25,19,2.5990000000000006,2.5588694,2.6857549869898576
25,20,2.457,2.4173255,2.5481098993403384
25,21,2.306,2.265607,2.403193313828355
25,22,2.152,2.11051,2.2534918512899424
25,23,2.006,1.9548011,2.1014188405329444
25,24,1.847,1.7984375,1.949357697834661
25,25,1.688,1.646734,1.799732540027744
25,26,1.543,1.4971657,1.6550843242720372
25,27,1.401,1.3499243,1.5181266293800744
25,28,1.269,1.2153676,1.3917560491805072
25,29,1.15,1.0934539,1.2789985607848586
25,30,1.039,0.990149,1.182884363829269
25,31,0.952,0.90761226,1.1062578977970308
25,32,0.892,0.8507657,1.0515443374961757
25,33,0.862,0.81749654,1.020505752472122
25,34,0.864,0.8111463,1.0140267301931398
25,35,0.889,0.8306843,1.0319687681969894
25,36,0.939,0.8746435,1.0731246814665316
25,37,1.011,0.93979406,1.1352898189375935
25,38,1.105,1.0265107,1.2154484131694063
25,39,1.209,1.125924,1.31005428895187
25,40,1.326,1.2374448,1.4153690095882745
25,41,1.443,1.355351,1.5278103577501485
25,42,1.5559999999999998,1.4771595,1.6442618771882074
25,43,1.673,1.6015185,1.7623003962605075
25,44,1.784,1.722173,1.8803117986180529
25,45,1.89,1.8433571,1.9974833902624467
25,46,1.98,1.958878,2.113680593066818
25,47,2.082,2.075157,2.229232905885955
25,48,2.179,2.186941,2.344666329165888
25,49,2.283,2.2965074,2.4604248489010616
25,50,2.386,2.4360378,2.5766217267060925
25,51,2.508,2.564495,2.6928533195445983
25,52,2.6259999999999994,2.688609,2.8080958854384823
25,53,2.738,2.8091319,2.920691909262114
25,54,2.856,2.9223776,3.0284195776140828
25,55,2.959,3.027297,3.128629060090637
25,56,3.056,3.1190217,3.2184233578739034
25,57,3.144,3.196826,3.294859909337717
25,58,3.209,3.2564974,3.3551510709095025
25,59,3.258,3.2954645,3.396845788428956
25,60,3.285,3.316121,3.417979921827775
25,61,3.282,3.3108594,3.4171875228509774
25,62,3.256,3.2827017,3.3937692705680167
25,63,3.203,3.2318685,3.347717159872978
25,64,3.123,3.1571476,3.2796966998439068
25,65,3.023,3.0622542,3.19098993850438
25,66,2.9000000000000004,2.9470375,3.0834050202393826
25,67,2.762,2.814637,2.959160841406615
25,68,2.603,2.6682901,2.820758445742987
25,69,2.437,2.5091422,2.670853252895008
25,70,2.274,2.3435297,2.5121431593811465
25,71,2.109,2.1719184,2.3472861942105565
25,72,1.94,1.9976608,2.178857181285952
25,73,1.784,1.8259397,2.009346119175287
25,74,1.62,1.6574762,1.8411927429140973
25,75,1.462,1.552288,1.6768434095762774
25,76,1.307,1.4010487,1.518810078587666
