future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
27,0,2.445,2.4712644,2.6921653682697158
27,1,2.559,2.5956454,2.798297318032438
27,2,2.676,2.711692,2.902166067411676
27,3,2.792,2.8221066,3.001585369636261
27,4,2.902,2.9202664,3.0939572626997784
27,5,3.004,3.0067222,3.1764792729842752
27,6,3.097,3.0845044,3.24636473087981
27,7,3.1699999999999995,3.1454067,3.3010537818775
27,8,3.226,3.1844044,3.338396142624736
27,9,3.265,3.2178483,3.356791022332524
27,10,3.276,3.2193007,3.355274410648613
27,11,3.257,3.2090006,3.333549041928523
27,12,3.214,3.169633,3.2919578064683
27,13,3.152,3.1142554,3.231407070151938
27,14,3.0760000000000005,3.0299199,3.153252035836401
27,15,2.974,2.9346058,3.0591612575574
27,16,2.855,2.8101358,2.950980799756508
27,17,2.722,2.6800246,2.830619398310391
27,18,2.581,2.5277748,2.699973469153262
27,19,2.434,2.3719869,2.5609047247204533
27,20,2.283,2.2002695,2.415274010317938
27,21,2.132,2.028659,2.2650238932910565
27,22,1.973,1.8551978,2.112291534937029
27,23,1.816,1.6903399,1.9595246944269893
27,24,1.666,1.5308416,1.8095692867233015
27,25,1.518,1.38587,1.6656983113598944
27,26,1.381,1.2484187,1.5315595915452458
27,27,1.259,1.0227137,1.4110326234116424
27,28,1.158,0.9391386,1.3080010511597178
27,29,1.085,0.8709068,1.2260639481024218
27,30,1.036,0.8380096,1.168222873610193
27,31,1.018,0.82972103,1.1365898681040043
27,32,1.031,0.84838,1.132162167764221
27,33,1.078,0.8923748,1.154701876250023
27,34,1.151,0.95901024,1.202744248219817
27,35,1.251,1.0535196,1.2737389602344804
27,36,1.369,1.158967,1.3643081592525763
27,37,1.495,1.2864861,1.4705868794764645
27,38,1.6199999999999999,1.416454,1.588598765459203
27,39,1.749,1.5607964,1.7146152109802006
27,40,1.876,1.702234,1.8454496837973744
27,41,2.001,1.8518426,1.978650255000307
27,42,2.118,1.9879415,2.1125701043961995
27,43,2.231,2.126867,2.246314836290413
27,44,2.3410000000000006,2.2573476,2.379583467640132
27,45,2.452,2.3872616,2.5124341487911277
27,46,2.562,2.5087216,2.645013933340325
27,47,2.676,2.6260595,2.7772934698153287
27,48,2.797,2.7362285,2.908842958426554
27,49,2.9239999999999995,2.8365147,3.038676491108079
27,50,3.055,2.934511,3.1651800788180275
27,51,3.184,3.0276847,3.2861265934290067
27,52,3.312,3.1070602,3.3987702478705617
27,53,3.423,3.1811893,3.500005315989547
27,54,3.5270000000000006,3.3137362,3.586569108819347
27,55,3.614,3.3614776,3.6552674190025622
27,56,3.682,3.3992143,3.70320108127315
27,57,3.724,3.4205961,3.7279742682945054
27,58,3.7379999999999995,3.420055,3.727867885278355
27,59,3.721,3.3975754,3.7019646604041614
27,60,3.667,3.363693,3.650216271642459
27,61,3.59,3.3058295,3.573447229100635
27,62,3.485,3.2227218,3.473295506902806
27,63,3.362,3.1288278,3.3520959862347137
27,64,3.213,3.0115457,3.2127191738719976
27,65,3.052,2.8807213,3.058383593770353
27,66,2.8740000000000006,2.7308698,2.892464423295808
27,67,2.698,2.5739913,2.718322248002601
27,68,2.523,2.397482,2.539173432982374
27,69,2.352,2.225931,2.358017174699189
27,70,2.178,2.0430794,2.1776245679532096
27,71,1.998,1.87087,2.0005834996616403
27,72,1.8250000000000002,1.697353,1.8293818027959452
27,73,1.653,1.5369452,1.6665023834179524
27,74,1.494,1.380328,1.5145000368198025
27,75,1.342,1.2430202,1.3760315203912974
27,76,1.211,1.1245986,1.2538184607873106
27,77,1.091,1.0262421,1.150535666676199
27,78,0.993,0.9510747,1.0686329718843794
27,79,0.915,0.89742714,1.0101139871863631
27,80,0.872,0.8622751,0.9763069008261048
27,81,0.853,0.850175,0.9676680582062028
27,82,0.867,0.8735291,0.9836571122657544
27,83,0.909,0.91196686,1.022713000298478
27,84,0.975,0.9800691,1.082344401773605
27,85,1.065,1.0648153,1.1593295205962553
27,86,1.166,1.1624374,1.250001449861469
27,87,1.275,1.2673044,1.3505805944383258
27,88,1.393,1.3826208,1.4575074262102403
27,89,1.507,1.5001965,1.5677286968308053
27,90,1.622,1.6192578,1.6788981831418264
27,91,1.73,1.7433374,1.789467414467019
27,92,1.841,1.8590794,1.898659827915927
27,93,1.9450000000000003,1.9760369,2.006340151939907
27,94,2.043,2.0947628,2.112806152125517
27,95,2.138,2.2153656,2.2185396615878488
27,96,2.235,2.3197238,2.3239568392364074
27,97,2.328,2.4336138,2.4291938197384497
27,98,2.4230000000000005,2.5478258,2.5339546777817965
27,99,2.526,2.6603372,2.637436245057444
27,100,2.6280000000000006,2.772693,2.738331273659965
27,101,2.734,2.8784866,2.8349001018465017
27,102,2.831,2.9782562,2.925093137436113
27,103,2.9239999999999995,3.0720496,3.0067027861767963
27,104,3.0059999999999993,3.1512547,3.0775237193669343
27,105,3.08,3.224589,3.135503714004345
27,106,3.138,3.270206,3.178872234117632
27,107,3.182,3.3062558,3.2062390965591714
27,108,3.207,3.2657166,3.2166599956638477
27,109,3.209,3.2480767,3.2096687708308407
