future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
27,0,2.4566455,2.42,2.5463791624901733
27,1,2.2913396,2.247,2.382226982249651
27,2,2.1311567,2.081,2.220466330511948
27,3,1.9764714,1.92,2.0641708066077062
27,4,1.8326042,1.7849999999999997,1.9164719891664213
27,5,1.7007242,1.654,1.780471866250265
27,6,1.583034,1.5369999999999997,1.659166930829706
27,7,1.4834161,1.454,1.5553788022469175
27,8,1.404062,1.387,1.471684955288498
27,9,1.3451097,1.33,1.4103448034455293
27,10,1.3123287,1.314,1.373220352993029
27,11,1.3033174,1.308,1.3616954715618432
27,12,1.3227793,1.3169999999999997,1.3766018463548133
27,13,1.3670074,1.368,1.41816171054327
27,14,1.4370255,1.444,1.4859566127841335
27,15,1.5331602,1.5369999999999997,1.5789280224568736
27,16,1.6516566,1.667,1.695410342531839
27,17,1.7918248,1.805,1.8331912960048409
27,18,1.9488826,1.949,1.989590314559684
27,19,2.1217158,2.124,2.1615437038076952
27,20,2.304513,2.315,2.3456864955567718
27,21,2.4950907,2.502,2.5384248980398887
27,22,2.6899443,2.683,2.7359989196846857
27,23,2.882523,2.875,2.934540396478049
27,24,3.0730133,3.062,3.1301357479176253
27,25,3.2547069,3.2509999999999994,3.318903781139754
27,26,3.424761,3.436,3.497096128340255
27,27,3.5456238,3.599,3.661221986905192
27,28,3.6686475,3.7390000000000003,3.808190838879527
27,29,3.7757106,3.871,3.935458726808952
27,30,3.8609438,3.975,4.041157761826479
27,31,3.9278653,4.043,4.124186452622618
27,32,3.9738173,4.079,4.184241208713087
27,33,4.0003114,4.104,4.221776965085209
27,34,4.010658,4.102,4.237895895350616
27,35,3.9967268,4.079,4.234175540792521
27,36,3.9674888,4.05,4.21245883340273
27,37,3.9251993,4.008,4.174635934376768
27,38,3.8634691,3.952,4.122449908434574
27,39,3.7916496,3.8899999999999997,4.057354402540216
27,40,3.7009263,3.811,3.98044237733258
27,41,3.6020555,3.724,3.8924524215287626
27,42,3.4913192,3.643,3.7938457420472442
27,43,3.369331,3.546,3.6849353004228336
27,44,3.2390392,3.438,3.5660410453463025
27,45,3.0994883,3.311,3.437642990850596
27,46,2.9563446,3.19,3.3005071868632974
27,47,2.807219,3.054,3.155767375015434
27,48,2.6556969,2.9,3.0049552230976966
27,49,2.5040834,2.744,2.849982206725453
27,50,2.355181,2.584,2.693084267430248
27,51,2.2090394,2.417,2.536744637791559
27,52,2.0760908,2.264,2.383610272014928
27,53,1.9446408,2.117,2.2364136947156603
27,54,1.7826657,1.977,2.097906037090275
27,55,1.6690332,1.8610000000000002,1.9708005995315427
27,56,1.5677828,1.748,1.8577213061903024
27,57,1.4825987,1.6410000000000002,1.7611481145391132
27,58,1.4152935,1.5720000000000003,1.6833524737721546
27,59,1.3683767,1.513,1.6263198286456857
27,60,1.3425342,1.459,1.5916616276281126
27,61,1.3374307,1.444,1.5805247798020114
27,62,1.3583375,1.4419999999999997,1.5935103137458868
27,63,1.3993603,1.478,1.630613913736919
27,64,1.4601705,1.552,1.6911987342693662
27,65,1.544968,1.629,1.774005856460934
27,66,1.648699,1.726,1.8772012507147673
27,67,1.7692318,1.858,1.9984518476335265
27,68,1.906443,1.99,2.135018875772438
27,69,2.0560865,2.142,2.28385527256948
27,70,2.2115433,2.3,2.44169601559705
27,71,2.377557,2.463,2.605135036238045
27,72,2.5448399,2.623,2.77068875473372
27,73,2.7119577,2.796,2.9348522871998157
27,74,2.8707902,2.97,3.094158211901967
27,75,3.027311,3.124,3.245248331078083
27,76,3.1743507,3.27,3.3849655690651166
27,77,3.307177,3.405,3.510466630213276
27,78,3.4293861,3.508,3.6193479767447294
27,79,3.5354931,3.5919999999999996,3.709770001018979
27,80,3.6235075,3.648,3.7805591290269334
27,81,3.5364308,3.675,3.831266749430934
27,82,3.5772445,3.693,3.8621678901561673
27,83,3.6044545,3.6949999999999994,3.874191072742116
27,84,3.6147835,3.676,3.8687822584984177
27,85,3.6137447,3.6400000000000006,3.8477178404130647
27,86,3.593537,3.599,3.8128916946932065
27,87,3.5609345,3.546,3.766107112238392
27,88,3.5174794,3.49,3.708904561716997
27,89,3.455019,3.4240000000000004,3.642450546949071
27,90,3.3822079,3.347,3.5675023332241884
27,91,3.2961318,3.275,3.484450156951559
27,92,3.196263,3.189,3.393425398734668
27,93,3.0870492,3.1,3.294452648940116
27,94,2.9654832,2.999,3.1876176879333693
27,95,2.8384233,2.885,3.0732231174190856
27,96,2.7027285,2.758,2.951908337702751
27,97,2.5614166,2.632,2.824719426453379
27,98,2.4204128,2.502,2.693125082334264
27,99,2.2786334,2.37,2.5589846311705395
27,100,2.1388383,2.239,2.424481184125748
27,101,2.004143,2.093,2.2920361437983563
27,102,1.8763933,1.961,2.16422004722774
27,103,1.7595431,1.855,2.0436701834710504
27,104,1.6567436,1.752,1.9330191512409467
27,105,1.568743,1.652,1.834832352121842
27,106,1.5006857,1.567,1.7515482321982392
27,107,1.4471262,1.499,1.6854139795581762
27,108,1.393738,1.4769999999999999,1.638411464114876
27,109,1.3947245,1.469,1.6121728575659229
27,110,1.4162364,1.4660000000000002,1.6078911051870712
27,111,1.4577767,1.482,1.626235439642803
27,112,1.5197759,1.523,1.6672849346361716
27,113,1.6019858,1.601,1.7304926568499746
27,114,1.7025844,1.69,1.8146892035622209
27,115,1.8205129,1.787,1.9181281470770075
27,116,1.9521334,1.899,2.038568589390901
27,117,2.099395,2.054,2.1733835670647634
27,118,2.2558656,2.213,2.3196790530897493
27,119,2.4207153,2.375,2.474407767309721
27,120,2.5907757,2.53,2.634465212144665
27,121,2.7607896,2.6899999999999995,2.7967613925570025
27,122,2.9278855,2.8499999999999996,2.9582689613614175
27,123,3.0915956,3.0,3.1160552768701635
27,124,3.2461355,3.162,3.2673101263990167
27,125,3.3894684,3.297,3.409381447225423
27,126,3.518407,3.419,3.5398281471097643
27,127,3.632636,3.5450000000000004,3.656492685549289
27,128,3.7266665,3.647,3.7575880599713596
27,129,3.8045328,3.724,3.841786460427612
27,130,3.8604531,3.785,3.9082920109951425
27,131,3.897149,3.822,3.95687922870487
27,132,3.9126549,3.8379999999999996,3.987882705718044
27,133,3.9065497,3.839,4.002131355940923
27,134,3.8853447,3.823,4.000830816668572
27,135,3.7822223,3.7910000000000004,3.985408037037588
27,136,3.7757866,3.7560000000000002,3.9573402846363575
27,137,3.7559512,3.727,3.9179948769508046
27,138,3.7182055,3.679,3.8685048443326533
27,139,3.6707728,3.61,3.809699572462066
27,140,3.6047585,3.548,3.742099554873272
27,141,3.5271835,3.492,3.6659727670081983
27,142,3.4381638,3.434,3.581439342007329
27,143,3.3354092,3.354,3.488603459594472
27,144,3.226088,3.25,3.387688097324386
27,145,3.1104627,3.1610000000000005,3.2791500423137436
27,146,2.9837134,3.081,3.1637586572331267
27,147,2.853967,2.966,3.042630611782008
27,148,2.7210746,2.839,2.917222049523536
27,149,2.591091,2.726,2.789287335868313
27,150,2.459735,2.575,2.6608178906656725
27,151,2.3344543,2.46,2.5339750275036823
27,152,2.2158823,2.348,2.411027528467299
27,153,2.1078176,2.224,2.2942989858775342
27,154,2.0107214,2.13,2.186123655366716
27,155,1.9268829,2.044,2.0888045571411538
27,156,1.8559741,1.953,2.004565184246344
27,157,1.800909,1.8909999999999998,1.9354872215020873
27,158,1.7654264,1.852,1.8834308369294512
27,159,1.7466207,1.8090000000000002,1.849940141797328
27,160,1.7467049,1.779,1.8361427219411666
27,161,1.7622831,1.787,1.8426568651035216
27,162,1.7917557,1.813,1.8695217890407652
27,163,1.8548782,1.857,1.9161642253428544
27,164,1.9302478,1.927,1.981409372802798
27,165,2.0208855,2.008,2.0635367157646534
27,166,2.1213756,2.095,2.160373304921403
27,167,2.2328868,2.195,2.2694106853907945
27,168,2.3540304,2.303,2.38792838239904
27,169,2.474715,2.417,2.5131074794245993
27,170,2.6041362,2.547,2.642122128324658
27,171,2.7324872,2.678,2.7722038076922715
27,172,2.8577828,2.804,2.900680900228598
27,173,2.9814503,2.939,3.025002651376674
27,174,3.0959423,3.064,3.142760202810436
27,175,3.2034943,3.17,3.2517170630516583
27,176,3.3004053,3.28,3.3498571201070004
27,177,3.385246,3.364,3.435451286139719
27,178,3.4574254,3.4240000000000004,3.507135800529749
27,179,3.5141659,3.483,3.563988291758669
27,180,3.5585005,3.511,3.6055839393868174
27,181,3.5858889,3.529,3.632014613544053
27,182,3.5987587,3.534,3.643858932579678
27,183,3.598212,3.5179999999999993,3.6420998729079974
27,184,3.5827909,3.489,3.627996962118479
27,185,3.5541453,3.457,3.602929875635596
27,186,3.5114994,3.422,3.568237136492713
27,187,3.4563134,3.36,3.5250758809193217
27,188,3.3918493,3.311,3.4743256752697973
27,189,3.3695154,3.266,3.4165516457364395
27,190,3.3005414,3.206,3.352031334435712
27,191,3.222122,3.145,3.2808380630900373
27,192,3.1363342,3.0739999999999994,3.202963593819576
27,193,3.04129,2.9879999999999995,3.1184566373955014
27,194,2.9415343,2.913,3.0275524834353
27,195,2.836414,2.826,2.9307726916825203
27,196,2.7222726,2.73,2.8289813705926505
27,197,2.6115267,2.628,2.7233941829737334
27,198,2.497471,2.535,2.615545491209377
27,199,2.383434,2.429,2.507225980968093
27,200,2.2723634,2.339,2.400406301582854
27,201,2.1642015,2.252,2.2971612334499607
27,202,2.0676947,2.154,2.199604395079263
27,203,1.9807138,2.064,2.1098370460731704
27,204,1.9022986,2.001,2.029907972357796
27,205,1.8401039,1.938,1.9617767275839546
27,206,1.7926493,1.886,1.907270936647337
27,207,1.7662383,1.854,1.8680302767283303
27,208,1.7529596,1.836,1.8454346594005535
27,209,1.7588723,1.829,1.8405206095408968
27,210,1.7826995,1.854,1.853895985726736
27,211,1.8246719,1.885,1.885667276268874
27,212,1.8828425,1.92,1.9353944025148528
27,213,1.9566693,1.98,2.002084863432057
27,214,2.0404196,2.055,2.0842327620998238
27,215,2.137796,2.142,2.179900140469002
27,216,2.2584932,2.242,2.286830109371104
27,217,2.381315,2.362,2.402575408827926
27,218,2.5102468,2.472,2.524623681150891
27,219,2.6416757,2.5960000000000005,2.6505025894127874
27,220,2.775139,2.728,2.7778534601703817
27,221,2.9065042,2.854,2.904469991385914
27,222,3.0354977,2.983,3.028306918155496
27,223,3.156238,3.108,3.1474701987278264
27,224,3.2721717,3.225,3.260203614334669
27,225,3.3779356,3.3289999999999997,3.3648859630820325
27,226,3.4752874,3.434,3.4600483645352385
27,227,3.5600402,3.5229999999999997,3.544413804172713
27,228,3.632126,3.589,3.616952947482683
27,229,3.6927645,3.647,3.6769434650047352
27,230,3.73944,3.6880000000000006,3.7240164874942825
27,231,3.7725601,3.717,3.7581744760459053
27,232,3.7929595,3.732,3.77976966057374
27,233,3.7973537,3.725,3.7894402518641113
27,234,3.7913609,3.719,3.788011024327573
27,235,3.7701495,3.699,3.77637330536946
27,236,3.7381246,3.677,3.755364874580072
27,237,3.6928601,3.646,3.7256713924400335
27,238,3.6346452,3.6010000000000004,3.6877673742862527
27,239,3.567168,3.561,3.6419071898651607
27,240,3.4870336,3.522,3.5881667593933853
27,241,3.3975892,3.471,3.5265267544454755
27,242,3.2993565,3.418,3.4569804210733364
27,243,3.2638137,3.352,3.379645237188279
27,244,3.1663365,3.291,3.294858267573889
27,245,3.0613499,3.231,3.2032399633713844
27,246,2.951611,3.1610000000000005,3.1057188687018438
27,247,2.8359854,3.0779999999999994,3.003518338653476
27,248,2.721351,2.9840000000000004,2.898113862658698
27,249,2.606091,2.883,2.791174116107645
27,250,2.490436,2.793,2.6844995923815973
27,251,2.3824472,2.695,2.579969702544527
27,252,2.280123,2.594,2.4795035175346576
27,253,2.1883273,2.496,2.385032684348304
27,254,2.1054654,2.42,2.298479400782248
27,255,2.0356421,2.359,2.2217292179709744
27,256,1.9807998,2.291,2.1565888693574
27,257,1.9427949,2.24,2.104723231389218
27,258,1.9183972,2.207,2.0675718327320105
27,259,1.9119793,2.183,2.0462524505965467
27,260,1.9214933,2.172,2.041465288752696
27,261,1.9499692,2.189,2.053414296527459
27,262,1.9919388,2.199,2.081761433323033
27,263,2.0481546,2.238,2.125625034667416
27,264,2.117926,2.307,2.1836258676222884
27,265,2.200363,2.376,2.2539757223488275
27,266,2.2921803,2.458,2.33459548596446
27,267,2.392681,2.55,2.4232445286102102
27,268,2.4984305,2.639,2.5176421049832984
27,269,2.6077228,2.7380000000000004,2.6155645658985174
27,270,2.6953888,2.8319999999999994,2.7149087966299725
27,271,2.779389,2.922,2.8137207500979367
27,272,2.8622913,3.009,2.910196120758562
27,273,2.9409418,3.11,3.002666187868116
27,274,3.0182996,3.206,3.089584103953768
27,275,3.088954,3.289,3.1695249051629246
27,276,3.1540196,3.356,3.241206920315108
27,277,3.2125611,3.423,3.3035344492894017
27,278,3.2629502,3.469,3.355653638954057
27,279,3.3034565,3.504,3.3970075785558094
