future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,0,2.42,2.4258633,2.5463791624901733
25,1,2.247,2.2653103,2.382226982249651
25,2,2.081,2.1080875,2.220466330511948
25,3,1.92,1.9555649,2.0641708066077062
25,4,1.7849999999999997,1.8127068,1.9164719891664213
25,5,1.654,1.6815987,1.780471866250265
25,6,1.5369999999999997,1.5640016,1.659166930829706
25,7,1.454,1.4627894,1.5553788022469175
25,8,1.387,1.3816965,1.471684955288498
25,9,1.33,1.3226175,1.410344803445529
25,10,1.314,1.2849306,1.373220352993029
25,11,1.308,1.2738311,1.3616954715618432
25,12,1.3169999999999997,1.2863823,1.376601846354813
25,13,1.368,1.3264266,1.4181617105432702
25,14,1.444,1.3924289,1.4859566127841335
25,15,1.5369999999999997,1.4810954,1.5789280224568736
25,16,1.667,1.5943451,1.695410342531839
25,17,1.805,1.728605,1.8331912960048409
25,18,1.949,1.8821952,1.989590314559684
25,19,2.124,2.0506146,2.1615437038076952
25,20,2.315,2.230841,2.3456864955567718
25,21,2.502,2.421126,2.5384248980398887
25,22,2.683,2.613961,2.7359989196846857
25,23,2.875,2.8070533,2.934540396478049
25,24,3.062,2.9975595,3.1301357479176253
25,25,3.2509999999999994,3.2333412,3.318903781139754
25,26,3.436,3.3851314,3.497096128340255
25,27,3.599,3.523805,3.661221986905192
25,28,3.7390000000000003,3.6480207,3.808190838879527
25,29,3.871,3.7545836,3.935458726808952
25,30,3.975,3.84286,4.041157761826479
25,31,4.043,3.9132195,4.124186452622618
25,32,4.079,3.963378,4.184241208713087
25,33,4.104,3.9940615,4.221776965085209
25,34,4.102,4.005188,4.237895895350616
25,35,4.079,3.9982147,4.234175540792521
25,36,4.05,3.9735487,4.21245883340273
25,37,4.008,3.9320028,4.174635934376768
25,38,3.952,3.8748484,4.122449908434574
25,39,3.8899999999999997,3.8034682,4.057354402540216
25,40,3.811,3.7192147,3.98044237733258
25,41,3.724,3.622255,3.8924524215287626
25,42,3.643,3.5156782,3.7938457420472447
25,43,3.546,3.3991003,3.6849353004228336
25,44,3.438,3.2747924,3.5660410453463025
25,45,3.311,3.1438594,3.437642990850596
25,46,3.19,3.0066779,3.3005071868632974
25,47,3.054,2.866623,3.155767375015434
25,48,2.9,2.7256331,3.0049552230976966
25,49,2.744,2.5828714,2.8499822067254525
25,50,2.584,2.3953273,2.693084267430248
25,51,2.417,2.2496624,2.5367446377915583
25,52,2.264,2.1088486,2.383610272014928
25,53,2.117,1.973514,2.2364136947156603
25,54,1.977,1.8484172,2.097906037090275
25,55,1.8610000000000002,1.7356225,1.970800599531543
25,56,1.748,1.6354351,1.8577213061903024
25,57,1.6410000000000002,1.5516616,1.7611481145391132
25,58,1.5720000000000003,1.4871074,1.6833524737721548
25,59,1.513,1.4443696,1.6263198286456857
25,60,1.459,1.4198015,1.5916616276281124
25,61,1.444,1.4217829,1.5805247798020114
25,62,1.4419999999999997,1.4433001,1.5935103137458868
25,63,1.478,1.4917202,1.630613913736919
25,64,1.552,1.5623083,1.6911987342693662
25,65,1.629,1.6521872,1.7740058564609342
25,66,1.726,1.7656056,1.8772012507147675
25,67,1.858,1.8961186,1.9984518476335265
25,68,1.99,2.0446198,2.135018875772438
25,69,2.142,2.2047868,2.28385527256948
25,70,2.3,2.3741689,2.44169601559705
25,71,2.463,2.5533867,2.6051350362380457
25,72,2.623,2.7324893,2.77068875473372
25,73,2.796,2.9092827,2.9348522871998157
25,74,2.97,3.0832028,3.094158211901967
25,75,3.124,3.276188,3.245248331078083
25,76,3.27,3.4058177,3.3849655690651166
25,77,3.405,3.5220823,3.510466630213276
25,78,3.508,3.6246817,3.6193479767447294
25,79,3.5919999999999996,3.7108805,3.709770001018979
25,80,3.648,3.7798169,3.780559129026934
25,81,3.675,3.8329759,3.831266749430934
25,82,3.693,3.8681927,3.8621678901561673
25,83,3.6949999999999994,3.8860908,3.874191072742116
25,84,3.676,3.8866763,3.8687822584984177
25,85,3.6400000000000006,3.8721495,3.8477178404130647
25,86,3.599,3.8416197,3.812891694693207
25,87,3.546,3.797249,3.766107112238392
25,88,3.49,3.738893,3.708904561716997
25,89,3.4240000000000004,3.6680608,3.642450546949071
25,90,3.347,3.5867705,3.5675023332241884
25,91,3.275,3.493736,3.484450156951559
25,92,3.189,3.3926153,3.393425398734668
25,93,3.1,3.2824543,3.294452648940116
25,94,2.999,3.1653602,3.1876176879333693
25,95,2.885,3.0428302,3.073223117419086
25,96,2.758,2.914702,2.951908337702751
25,97,2.632,2.784556,2.824719426453379
25,98,2.502,2.6543255,2.693125082334264
25,99,2.37,2.5229263,2.5589846311705395
25,100,2.239,2.3335357,2.424481184125748
25,101,2.093,2.1982672,2.2920361437983563
25,102,1.961,2.067856,2.16422004722774
25,103,1.855,1.9441041,2.0436701834710504
25,104,1.752,1.8310179,1.9330191512409467
25,105,1.652,1.7305017,1.834832352121842
25,106,1.567,1.6436095,1.7515482321982392
25,107,1.499,1.5738707,1.6854139795581762
25,108,1.4769999999999999,1.523237,1.638411464114876
25,109,1.469,1.4939388,1.6121728575659229
25,110,1.4660000000000002,1.4840266,1.607891105187071
25,111,1.482,1.4989184,1.6262354396428031
25,112,1.523,1.5340676,1.6672849346361716
25,113,1.601,1.5937591,1.7304926568499746
25,114,1.69,1.674426,1.8146892035622209
25,115,1.787,1.7735951,1.9181281470770075
25,116,1.899,1.8929738,2.038568589390901
25,117,2.054,2.0277345,2.1733835670647634
25,118,2.213,2.176931,2.3196790530897493
25,119,2.375,2.335084,2.474407767309721
25,120,2.53,2.5001395,2.634465212144665
25,121,2.6899999999999995,2.670879,2.7967613925570025
25,122,2.8499999999999996,2.8391201,2.958268961361418
25,123,3.0,3.00383,3.1160552768701635
25,124,3.162,3.1622353,3.2673101263990167
25,125,3.297,3.325261,3.409381447225423
25,126,3.419,3.439846,3.5398281471097643
25,127,3.5450000000000004,3.541212,3.656492685549289
25,128,3.647,3.628865,3.757588059971359
25,129,3.724,3.7007577,3.841786460427612
25,130,3.785,3.7564218,3.908292010995142
25,131,3.822,3.7974057,3.95687922870487
25,132,3.8379999999999996,3.8215482,3.987882705718044
25,133,3.839,3.8302484,4.002131355940923
25,134,3.823,3.8229687,4.000830816668572
25,135,3.7910000000000004,3.8024075,3.985408037037588
25,136,3.7560000000000002,3.767193,3.9573402846363575
25,137,3.727,3.7200234,3.9179948769508046
25,138,3.679,3.6598957,3.868504844332653
25,139,3.61,3.588893,3.809699572462066
25,140,3.548,3.5085957,3.742099554873272
25,141,3.492,3.4173331,3.6659727670081983
25,142,3.434,3.3190594,3.581439342007329
25,143,3.354,3.2121787,3.488603459594472
25,144,3.25,3.0992434,3.387688097324386
25,145,3.1610000000000005,2.9815178,3.279150042313744
25,146,3.081,2.858323,3.1637586572331267
25,147,2.966,2.734033,3.042630611782008
25,148,2.839,2.6100333,2.917222049523536
25,149,2.726,2.485547,2.789287335868313
25,150,2.575,2.3129013,2.6608178906656725
25,151,2.46,2.1894326,2.5339750275036823
25,152,2.348,2.0713565,2.411027528467299
25,153,2.224,1.9605808,2.2942989858775342
25,154,2.13,1.860596,2.186123655366716
25,155,2.044,1.773096,2.0888045571411538
25,156,1.953,1.6988682,2.004565184246344
25,157,1.8909999999999998,1.6414834,1.9354872215020875
25,158,1.852,1.6021976,1.8834308369294512
25,159,1.8090000000000002,1.5831952,1.849940141797328
25,160,1.779,1.5821728,1.8361427219411663
25,161,1.787,1.6044406,1.8426568651035216
25,162,1.813,1.6450315,1.8695217890407652
25,163,1.857,1.7082613,1.9161642253428544
25,164,1.927,1.7899635,1.981409372802798
25,165,2.008,1.8882079,2.0635367157646534
25,166,2.095,2.0045826,2.160373304921403
25,167,2.195,2.1340387,2.2694106853907945
25,168,2.303,2.2759728,2.38792838239904
25,169,2.417,2.4248133,2.513107479424599
25,170,2.547,2.5790873,2.642122128324658
25,171,2.678,2.737683,2.7722038076922715
25,172,2.804,2.8926036,2.900680900228598
25,173,2.939,3.0432363,3.025002651376674
25,174,3.064,3.186897,3.142760202810436
25,175,3.17,3.315964,3.2517170630516583
25,176,3.28,3.4181325,3.3498571201070004
25,177,3.364,3.5079226,3.435451286139719
25,178,3.4240000000000004,3.5850015,3.507135800529749
25,179,3.483,3.6477683,3.5639882917586685
25,180,3.511,3.6955633,3.605583939386817
25,181,3.529,3.7303882,3.6320146135440528
25,182,3.534,3.749866,3.643858932579678
25,183,3.5179999999999993,3.7555883,3.642099872907997
25,184,3.489,3.7466118,3.627996962118479
25,185,3.457,3.7260191,3.602929875635596
25,186,3.422,3.6916232,3.568237136492713
25,187,3.36,3.6466818,3.5250758809193217
25,188,3.311,3.5891697,3.4743256752697973
25,189,3.266,3.5215461,3.4165516457364395
25,190,3.206,3.445356,3.352031334435712
25,191,3.145,3.3581889,3.280838063090037
25,192,3.0739999999999994,3.2643933,3.202963593819576
25,193,2.9879999999999995,3.1619256,3.1184566373955014
25,194,2.913,3.0533545,3.0275524834353
25,195,2.826,2.94031,2.9307726916825203
25,196,2.73,2.8215332,2.8289813705926505
25,197,2.628,2.7020059,2.7233941829737334
25,198,2.535,2.5828266,2.615545491209377
25,199,2.429,2.4634356,2.507225980968093
25,200,2.339,2.290417,2.400406301582854
25,201,2.252,2.17451,2.2971612334499607
25,202,2.154,2.0644248,2.199604395079263
25,203,2.064,1.9622546,2.1098370460731704
25,204,2.001,1.8712158,2.029907972357796
25,205,1.938,1.7928065,1.9617767275839544
25,206,1.886,1.72805,1.9072709366473373
25,207,1.854,1.6801537,1.8680302767283303
25,208,1.836,1.650147,1.8454346594005535
25,209,1.829,1.6397101,1.8405206095408968
25,210,1.854,1.6471941,1.853895985726736
25,211,1.885,1.6766855,1.885667276268874
25,212,1.92,1.7240177,1.9353944025148528
25,213,1.98,1.7921501,2.002084863432057
25,214,2.055,1.8774898,2.0842327620998238
25,215,2.142,1.9781861,2.179900140469002
25,216,2.242,2.0948153,2.286830109371104
25,217,2.362,2.2230697,2.402575408827926
25,218,2.472,2.361561,2.524623681150891
25,219,2.5960000000000005,2.5052853,2.6505025894127874
25,220,2.728,2.653063,2.7778534601703817
25,221,2.854,2.803021,2.904469991385914
25,222,2.983,2.9482868,3.028306918155496
25,223,3.108,3.0885146,3.1474701987278264
25,224,3.225,3.2205374,3.260203614334669
25,225,3.3289999999999997,3.3276937,3.3648859630820325
25,226,3.434,3.4217095,3.4600483645352385
25,227,3.5229999999999997,3.5040832,3.544413804172713
25,228,3.589,3.574131,3.616952947482683
25,229,3.647,3.6307573,3.6769434650047352
25,230,3.6880000000000006,3.6733534,3.7240164874942825
25,231,3.717,3.7038174,3.758174476045905
25,232,3.732,3.7197337,3.77976966057374
25,233,3.725,3.7230406,3.7894402518641113
25,234,3.719,3.7124634,3.788011024327573
25,235,3.699,3.691015,3.77637330536946
25,236,3.677,3.6564307,3.755364874580072
25,237,3.646,3.6119082,3.7256713924400335
25,238,3.6010000000000004,3.5552144,3.6877673742862527
25,239,3.561,3.4888804,3.6419071898651607
25,240,3.522,3.4141853,3.588166759393385
25,241,3.471,3.3287685,3.5265267544454755
25,242,3.418,3.236876,3.4569804210733364
25,243,3.352,3.1364365,3.379645237188279
25,244,3.291,3.030062,3.294858267573889
25,245,3.231,2.9193823,3.2032399633713844
25,246,3.1610000000000005,2.8031187,3.1057188687018438
25,247,3.0779999999999994,2.6864681,3.003518338653476
25,248,2.9840000000000004,2.5701332,2.898113862658698
25,249,2.883,2.4541807,2.791174116107645
25,250,2.793,2.2918856,2.684499592381597
25,251,2.695,2.182077,2.579969702544527
25,252,2.594,2.0783553,2.4795035175346576
25,253,2.496,1.9828798,2.385032684348304
25,254,2.42,1.8985182,2.298479400782248
25,255,2.359,1.8266534,2.2217292179709744
25,256,2.291,1.7682173,2.1565888693574
25,257,2.24,1.726251,2.104723231389218
25,258,2.207,1.7014521,2.0675718327320105
25,259,2.183,1.6952074,2.0462524505965467
25,260,2.172,1.7062104,2.041465288752696
25,261,2.189,1.7378258,2.053414296527459
25,262,2.199,1.7863644,2.081761433323033
25,263,2.238,1.8541019,2.125625034667416
25,264,2.307,1.9376612,2.1836258676222884
25,265,2.376,2.035592,2.2539757223488275
25,266,2.458,2.1479769,2.33459548596446
25,267,2.55,2.270938,2.4232445286102102
25,268,2.639,2.4028842,2.5176421049832984
25,269,2.7380000000000004,2.5393076,2.6155645658985174
25,270,2.8319999999999994,2.6793468,2.7149087966299725
25,271,2.922,2.820756,2.8137207500979367
25,272,3.009,2.9574897,2.910196120758562
25,273,3.11,3.0894253,3.002666187868116
25,274,3.206,3.2131257,3.0895841039537686
25,275,3.289,3.304601,3.1695249051629246
25,276,3.356,3.394577,3.241206920315108
25,277,3.423,3.47385,3.303534449289401
25,278,3.469,3.5415885,3.355653638954057
25,279,3.504,3.5969515,3.3970075785558094
25,280,3.5179999999999993,3.639039,3.427374304679736
25,281,3.533,3.6699607,3.446873406688028
25,282,3.548,3.6869013,3.4559329363550693
25,283,3.552,3.6919389,3.455216920880628
25,284,3.551,3.683409,3.445522937063356
25,285,3.5320000000000005,3.6644626,3.4276666966460185
25,286,3.509,3.632311,3.4023745227459004
25,287,3.49,3.590417,3.370203955278838
25,288,3.448,3.535915,3.3315075393090305
25,289,3.396,3.471684,3.2864462600301967
25,290,3.3510000000000004,3.3988824,3.235049060499476
25,291,3.309,3.3148336,3.1773056647918136
25,292,3.258,3.224085,3.1132736323738026
25,293,3.205,3.1243818,3.0431785793024515
25,294,3.145,3.0183804,2.967489103999414
25,295,3.0779999999999994,2.9081087,2.886954428768899
25,296,3.008,2.791872,2.802601471858599
25,297,2.934,2.6754916,2.715696788761776
25,298,2.855,2.5593119,2.627685539777821
25,299,2.771,2.443856,2.540122848650595
25,300,2.695,2.280476,2.4546119434203986
25,301,2.623,2.1737764,2.372758864076479
25,302,2.544,2.0736253,2.296146677015861
25,303,2.477,1.9821385,2.226324913400619
25,304,2.413,1.9020963,2.1648044215519366
25,305,2.369,1.8347305,2.113045502406125
25,306,2.337,1.7810746,2.072428678446967
25,307,2.317,1.7437909,2.044202446762496
25,308,2.311,1.7236103,2.0294095616251897
25,309,2.313,1.7214385,2.0288008385673404
25,310,2.33,1.7364218,2.042751214025349
25,311,2.364,1.7711627,2.0711951790406884
25,312,2.401,1.8224913,2.113596938962552
25,313,2.451,1.891811,2.168965008067468
25,314,2.514,1.9762731,2.2359126196689565
25,315,2.585,2.074403,2.3127562889877327
25,316,2.666,2.185754,2.397637243010957
25,317,2.758,2.3069983,2.48864602580525
25,318,2.8460000000000005,2.4360497,2.583930541575461
25,319,2.9320000000000004,2.5689323,2.681772084501383
25,320,3.024,2.704952,2.780621477238263
25,321,3.124,2.841365,2.8790965690392896
25,322,3.222,2.973016,2.975950769559927
25,323,3.3199999999999994,3.0997517,3.0700280125152024
25,324,3.413,3.2180276,3.1602213241471397
25,325,3.496,3.3006847,3.2454495918249724
25,326,3.5699999999999994,3.3890584,3.324660932970068
25,327,3.634,3.467405,3.3968629594731903
25,328,3.685,3.5344646,3.461172217353544
25,329,3.737,3.5897098,3.5168692120500418
25,330,3.768,3.632164,3.563443255045021
25,331,3.7950000000000004,3.6637475,3.600613359248962
25,332,3.824,3.6815355,3.628317085420244
25,333,3.8379999999999996,3.6877782,3.6466672043631183
25,334,3.839,3.6806297,3.6558842235476288
25,335,3.844,3.6629207,3.656219191891816
25,336,3.819,3.6320536,3.6478841430044713
25,337,3.7950000000000004,3.5911517,3.631006272329202
25,338,3.77,3.5375283,3.605616779974575
25,339,3.72,3.4739432,3.571677492814965
25,340,3.6920000000000006,3.4013476,3.52913980356838
25,341,3.659,3.3174062,3.4780232372020867
