future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
23,0,1.5903195,1.62,1.7034690848941287
23,1,1.537273,1.559,1.641138872521574
23,2,1.5131496,1.523,1.6108912857865745
23,3,1.5225378,1.5339999999999998,1.613283203491734
23,4,1.5640438,1.5600000000000003,1.6482305133222264
23,5,1.639214,1.6279999999999997,1.7150526232765766
23,6,1.7443261,1.725,1.8124970679060501
23,7,1.8802286,1.8609999999999998,1.9387390351197409
23,8,2.0389514,2.009,2.0913658946517657
23,9,2.2270715,2.177,2.267368814551369
23,10,2.433167,2.368,2.463168389210592
23,11,2.6543715,2.5840000000000005,2.6746969098750686
23,12,2.8888447,2.82,2.8975473513998526
23,13,3.134221,3.0559999999999996,3.127181339310021
23,14,3.3843682,3.314,3.359170022269132
23,15,3.6350598,3.556,3.589428310825684
23,16,3.8836095,3.776,3.814398362960621
23,17,4.124242,3.9910000000000005,4.031144522421635
23,18,4.3539147,4.198,4.237338622166067
23,19,4.5689187,4.371,4.431137961438616
23,20,4.7639346,4.551,4.610982952982137
23,21,4.9382243,4.704,4.775361555414211
23,22,5.088095,4.857,4.922597752029707
23,23,5.1269226,4.994,5.050718556040539
23,24,5.2100134,5.114,5.15743849696669
23,25,5.265194,5.219,5.240275234283784
23,26,5.294893,5.268,5.296780488190713
23,27,5.2963777,5.288,5.324843707427566
23,28,5.2688565,5.267,5.323007952269791
23,29,5.214807,5.247,5.290732748834298
23,30,5.134968,5.175,5.228548492855184
23,31,5.030001,5.073,5.138069181030987
23,32,4.9023395,4.944,5.02185992699299
23,33,4.7535872,4.815,4.88318607893286
23,34,4.5851893,4.652,4.725694901585207
23,35,4.4018984,4.481,4.55309337304346
23,36,4.207039,4.305,4.368883849211657
23,37,3.999236,4.116,4.176203919922806
23,38,3.7830412,3.916,3.9777916030275997
23,39,3.569315,3.7139999999999995,3.7760679530845596
23,40,3.3505058,3.516,3.5733031372988084
23,41,3.136218,3.3130000000000006,3.371814983711155
23,42,2.9295356,3.133,3.1741443828861904
23,43,2.7365284,2.927,2.983160461515642
23,44,2.555142,2.7730000000000006,2.802067566081159
23,45,2.3929858,2.608,2.634310602424445
23,46,2.2432792,2.4660000000000006,2.483399221199297
23,47,2.134873,2.352,2.3526889547496483
23,48,2.0446281,2.2440000000000007,2.245164595948753
23,49,1.9861196,2.18,2.163266836972557
23,50,1.9510034,2.13,2.108789134964314
23,51,1.9469322,2.104,2.082851986694115
23,52,1.9699973,2.112,2.085941863204011
23,53,2.0228293,2.148,2.117987194520561
23,54,2.1035242,2.2250000000000005,2.178437757788974
23,55,2.2165432,2.318,2.266317995944203
23,56,2.3494523,2.4340000000000006,2.3802376172445743
23,57,2.5044806,2.5710000000000006,2.51836053262176
23,58,2.6805563,2.754,2.678350634449536
