future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
1000,0,1.6685624,1.62,1.7034690848941287
1000,1,1.6201067,1.559,1.641138872521574
1000,2,1.6025075,1.523,1.6108912857865745
1000,3,1.6168847,1.5339999999999998,1.613283203491734
1000,4,1.6625636,1.5600000000000003,1.6482305133222264
1000,5,1.7396328,1.6279999999999997,1.7150526232765766
1000,6,1.8478256,1.725,1.8124970679060501
1000,7,1.9836735,1.8609999999999998,1.9387390351197409
1000,8,2.147345,2.009,2.0913658946517657
1000,9,2.3347902,2.177,2.267368814551369
1000,10,2.543677,2.368,2.463168389210592
1000,11,2.768541,2.5840000000000005,2.6746969098750686
1000,12,3.0036998,2.82,2.8975473513998526
1000,13,3.2479668,3.0559999999999996,3.127181339310021
1000,14,3.4928823,3.314,3.359170022269132
1000,15,3.7391558,3.556,3.589428310825684
1000,16,3.979004,3.776,3.814398362960621
1000,17,4.211053,3.9910000000000005,4.031144522421635
1000,18,4.4296484,4.198,4.237338622166067
1000,19,4.6319203,4.371,4.431137961438616
1000,20,4.8164945,4.551,4.610982952982137
1000,21,4.980232,4.704,4.775361555414211
1000,22,5.12001,4.857,4.922597752029707
1000,23,5.2345147,4.994,5.050718556040539
1000,24,5.324741,5.114,5.15743849696669
1000,25,5.3882303,5.219,5.240275234283784
1000,26,5.423362,5.268,5.296780488190713
1000,27,5.4300413,5.288,5.324843707427566
1000,28,5.4082665,5.267,5.323007952269791
1000,29,5.35722,5.247,5.290732748834298
1000,30,5.2810063,5.175,5.228548492855184
1000,31,5.1788034,5.073,5.138069181030987
1000,32,5.0522995,4.944,5.02185992699299
1000,33,4.9038715,4.815,4.88318607893286
1000,34,4.738209,4.652,4.725694901585207
1000,35,4.5555954,4.481,4.55309337304346
1000,36,4.3602657,4.305,4.368883849211657
1000,37,4.153939,4.116,4.176203919922806
1000,38,3.9419668,3.916,3.9777916030275997
1000,39,3.7267675,3.7139999999999995,3.7760679530845596
1000,40,3.5108197,3.516,3.5733031372988084
1000,41,3.2980154,3.3130000000000006,3.371814983711155
1000,42,3.0928252,3.133,3.1741443828861904
1000,43,2.8972096,2.927,2.983160461515642
1000,44,2.7125628,2.7730000000000006,2.802067566081159
1000,45,2.5447772,2.608,2.634310602424445
1000,46,2.3940532,2.4660000000000006,2.483399221199297
1000,47,2.2633955,2.352,2.3526889547496483
1000,48,2.1583574,2.2440000000000007,2.245164595948753
1000,49,2.077607,2.18,2.163266836972557
1000,50,2.0253477,2.13,2.108789134964314
1000,51,2.0002446,2.104,2.082851986694115
1000,52,2.0058448,2.112,2.085941863204011
1000,53,2.0378418,2.148,2.117987194520561
1000,54,2.0994973,2.2250000000000005,2.178437757788974
1000,55,2.1877794,2.318,2.266317995944203
1000,56,2.3054368,2.4340000000000006,2.3802376172445743
1000,57,2.446434,2.5710000000000006,2.51836053262176
1000,58,2.6080883,2.754,2.678350634449536
1000,59,2.7903605,2.931,2.8573249462129477
1000,60,2.9878683,3.137,3.051847764205688
1000,61,3.1972687,3.3480000000000003,3.2579922632434464
