future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,0,1.62,1.6227514,1.7034690848941287
25,1,1.559,1.5664184,1.641138872521574
25,2,1.523,1.5390425,1.6108912857865745
25,3,1.5339999999999998,1.5514293,1.6132832034917342
25,4,1.5600000000000003,1.5902971,1.6482305133222266
25,5,1.6279999999999997,1.6638501,1.7150526232765766
25,6,1.725,1.769515,1.81249706790605
25,7,1.8609999999999998,1.902329,1.9387390351197409
25,8,2.009,2.0632381,2.0913658946517657
25,9,2.177,2.2484903,2.267368814551369
25,10,2.368,2.4514947,2.463168389210592
25,11,2.5840000000000005,2.6738625,2.6746969098750686
25,12,2.82,2.9077108,2.8975473513998526
25,13,3.0559999999999996,3.1522107,3.127181339310021
25,14,3.314,3.3992167,3.359170022269132
25,15,3.556,3.6493766,3.589428310825684
25,16,3.776,3.891466,3.814398362960621
25,17,3.9910000000000005,4.130189,4.031144522421635
25,18,4.198,4.3534756,4.237338622166067
25,19,4.371,4.563265,4.431137961438616
25,20,4.551,4.754523,4.610982952982137
25,21,4.704,4.9240766,4.775361555414211
25,22,4.857,5.0720677,4.922597752029707
25,23,4.994,5.192997,5.050718556040539
25,24,5.114,5.285829,5.15743849696669
25,25,5.219,5.336411,5.240275234283784
25,26,5.268,5.3772454,5.296780488190713
25,27,5.288,5.3889637,5.324843707427566
25,28,5.267,5.375814,5.323007952269791
25,29,5.247,5.332665,5.290732748834298
25,30,5.175,5.262718,5.228548492855184
25,31,5.073,5.166768,5.138069181030987
25,32,4.944,5.046901,5.02185992699299
25,33,4.815,4.9090004,4.88318607893286
25,34,4.652,4.746346,4.725694901585207
25,35,4.481,4.565898,4.55309337304346
25,36,4.305,4.3740735,4.368883849211657
25,37,4.116,4.1672025,4.176203919922806
25,38,3.916,3.9519992,3.9777916030276
25,39,3.7139999999999995,3.7300823,3.776067953084559
25,40,3.516,3.5073044,3.5733031372988084
25,41,3.3130000000000006,3.2830772,3.371814983711155
25,42,3.133,3.0626745,3.174144382886191
25,43,2.927,2.849912,2.983160461515642
25,44,2.7730000000000006,2.6501667,2.802067566081159
25,45,2.608,2.466235,2.634310602424445
25,46,2.4660000000000006,2.297212,2.483399221199297
25,47,2.352,2.1491737,2.3526889547496483
25,48,2.2440000000000007,2.0280035,2.245164595948753
25,49,2.18,1.9283996,2.163266836972557
25,50,2.13,1.8388667,2.108789134964314
25,51,2.104,1.8084106,2.082851986694115
25,52,2.112,1.805196,2.085941863204011
25,53,2.148,1.8385704,2.117987194520561
25,54,2.2250000000000005,1.8983283,2.178437757788974
25,55,2.318,1.9895827,2.266317995944203
25,56,2.4340000000000006,2.1090348,2.3802376172445743
25,57,2.5710000000000006,2.2547116,2.51836053262176
25,58,2.754,2.4248185,2.678350634449536
25,59,2.931,2.6156135,2.8573249462129477
25,60,3.137,2.821582,3.051847764205688
25,61,3.3480000000000003,3.0423148,3.2579922632434464
25,62,3.565,3.272837,3.4714801475700865
25,63,3.7999999999999994,3.508752,3.687889473952089
25,64,4.008,3.746422,3.902901005816816
25,65,4.214,3.9823046,4.112539766007801
25,66,4.394,4.2098427,4.313365070914368
25,67,4.564,4.429483,4.502570567657355
25,68,4.717,4.632298,4.677974209604398
25,69,4.85,4.820594,4.837902740779282
25,70,4.971,4.9897037,4.98100004688611
25,71,5.083,5.1345625,5.106007556742089
25,72,5.18,5.252283,5.211572998207845
25,73,5.269,5.348964,5.296138664473089
25,74,5.329,5.414432,5.357942766957683
25,75,5.37,5.4364347,5.39514137473294
25,76,5.397,5.4593506,5.406029745387593
25,77,5.371,5.4540377,5.389317371510431
25,78,5.325,5.420494,5.344396728025975
25,79,5.245,5.3594456,5.271544996290635
25,80,5.144,5.2726445,5.172011407425477
25,81,5.025,5.1595764,5.047967283593652
25,82,4.875,5.024472,4.902325737561334
25,83,4.721,4.869826,4.738466472727001
25,84,4.539,4.6939197,4.559921485492574
25,85,4.357,4.501742,4.370085081142636
25,86,4.154,4.2957196,4.172004854039161
25,87,3.956,4.0783863,3.968290693850852
25,88,3.7460000000000004,3.854105,3.7611512881047
25,89,3.54,3.6235518,3.552538543646547
25,90,3.352,3.3932219,3.3443564190634563
25,91,3.1579999999999995,3.163062,3.138677438240473
25,92,2.9729999999999994,2.937151,2.937910439625509
25,93,2.783,2.7190065,2.744876260579294
25,94,2.601,2.5152533,2.5627707443295806
25,95,2.44,2.327048,2.3950210226499107
25,96,2.2910000000000004,2.157001,2.245064902482949
25,97,2.183,2.0088954,2.1160990189760627
25,98,2.075,1.8866135,2.0108457923473604
25,99,2.018,1.7886949,1.9313815369650809
25,100,1.971,1.737824,1.8790509831579447
25,101,1.946,1.7000003,1.854471645178839
25,102,1.943,1.6932688,1.857610532854384
25,103,1.97,1.7251216,1.8879010094662496
25,104,2.0,1.7815027,1.944362487689527
25,105,2.086,1.8699267,2.025690938859691
25,106,2.184,1.988181,2.130301962882445
25,107,2.309,2.132059,2.256326204481676
25,108,2.4540000000000006,2.3012028,2.401574096692939
25,109,2.613,2.4920409,2.5634983855483005
25,110,2.786,2.6963904,2.739185350170983
25,111,2.976,2.9175618,2.925398482564009
25,112,3.152,3.1469798,3.1186834724199715
25,113,3.339,3.3825347,3.315524712546416
25,114,3.524,3.617054,3.5125265734696383
25,115,3.707,3.8538542,3.706582131215901
25,116,3.8760000000000003,4.0804024,3.894991132721622
25,117,4.037,4.2996106,4.075498695859449
25,118,4.2,4.5048227,4.246244350514837
25,119,4.339,4.6942673,4.4056331797909865
25,120,4.47,4.865357,4.552161569165835
25,121,4.586,5.0142617,4.684243777746574
25,122,4.708,5.137901,4.800088362471345
25,123,4.821,5.2389927,4.897664283031796
25,124,4.913,5.3103504,4.974776881594383
25,125,4.953,5.324145,5.029248312936232
25,126,4.973,5.3451896,5.059171518737053
25,127,4.98,5.3363204,5.063187558608563
25,128,4.935,5.3039026,5.040727924486214
25,129,4.88,5.2433524,4.99216865824983
25,130,4.785,5.1576734,4.918860666971007
25,131,4.704,5.04758,4.823026743858118
25,132,4.586,4.9160495,4.70754440056342
25,133,4.453,4.767928,4.575658030653956
25,134,4.292,4.5981336,4.430678512640859
25,135,4.15,4.4124274,4.275729618791145
25,136,3.97,4.21634,4.113588354413297
25,137,3.814,4.008926,3.94664362261458
25,138,3.6430000000000002,3.7953525,3.776969685505973
25,139,3.48,3.5777857,3.6064845096002496
