future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-01 00:00,1.6442703,1.614,1.7907617014734416,1.6207192
25,12-01 00:15,1.6302419,1.62,1.7617143588775876,1.593602
25,12-01 00:30,1.6061071,1.5659999999999998,1.7295357178384263,1.5561194
25,12-01 00:45,1.5793691,1.508,1.6984410339832845,1.5163766
25,12-01 01:00,1.5538368,1.451,1.673041043740099,1.4773096
25,12-01 01:15,1.5368686,1.419,1.657604805568807,1.4499638
25,12-01 01:30,1.5309181,1.3950000000000002,1.655294129849446,1.4385662
25,12-01 01:45,1.5426451,1.419,1.6675070056491637,1.4496181
25,12-01 02:00,1.5707307,1.4710000000000003,1.6934549857131391,1.4798108
25,12-01 02:15,1.6140507,1.5659999999999998,1.7300631630434078,1.529986
25,12-01 02:30,1.6656692,1.643,1.7722276360466966,1.5890435
25,12-01 02:45,1.7173344,1.67,1.8134041443917803,1.6517781
25,12-01 03:00,1.761109,1.706,1.846444393497858,1.703585
25,12-01 03:15,1.7875845,1.747,1.8645541129693537,1.7355385
25,12-01 03:30,1.7902136,1.759,1.8622267859657609,1.7384361
25,12-01 03:45,1.7624614,1.7300000000000002,1.8360125132932923,1.709218
25,12-01 04:00,1.7045125,1.706,1.785010794952374,1.6479579
25,12-01 04:15,1.6169713,1.607,1.711022914131004,1.5531882
25,12-01 04:30,1.5056977,1.5000000000000002,1.618354798442115,1.4366827
25,12-01 04:45,1.3795404,1.361,1.513314382606256,1.3062773
25,12-01 05:00,1.2467935,1.226,1.4034894826703046,1.1737124
25,12-01 05:15,1.1198325,1.083,1.2969165840486758,1.0517262
25,12-01 05:30,1.0067606,0.975,1.201255372657879,0.9514225
25,12-01 05:45,0.9173217,0.894,1.123069936185083,0.88161695
25,12-01 06:00,0.8584446,0.842,1.0672900885556578,0.8475501
25,12-01 06:15,0.85157645,0.796,1.036892119567465,0.80392635
25,12-01 06:30,0.8656422,0.7880000000000001,1.032804416050719,0.828099
25,12-01 06:45,0.9061965,0.797,1.0540154859357391,0.88186526
25,12-01 07:00,0.9727706,0.886,1.0978434213109174,0.9597389
25,12-01 07:15,1.0591397,0.951,1.1603173735753602,1.057809
25,12-01 07:30,1.1604637,1.04,1.2366215600194677,1.1677892
25,12-01 07:45,1.2665702,1.17,1.32155762377561,1.2813514
25,12-01 08:00,1.3736224,1.272,1.4099883993934883,1.3913981
25,12-01 08:15,1.473851,1.372,1.4972328074275123,1.4926003
25,12-01 08:30,1.5631181,1.454,1.5793865601992363,1.5790764
25,12-01 08:45,1.6369092,1.537,1.6535470895389444,1.6482211
25,12-01 09:00,1.6944848,1.612,1.7179253893559665,1.7017773
25,12-01 09:15,1.7364599,1.641,1.7718342429877223,1.7399037
25,12-01 09:30,1.7655169,1.651,1.815552999278701,1.7664225
25,12-01 09:45,1.7838061,1.673,1.850083721669953,1.7834176
25,12-01 10:00,1.7943729,1.699,1.876830284536633,1.7956171
25,12-01 10:15,1.8011004,1.705,1.897247505378284,1.8046446
25,12-01 10:30,1.8047518,1.731,1.9125175607971123,1.811771
25,12-01 10:45,1.8070267,1.728,1.923311891994839,1.8170816
25,12-01 11:00,1.8082857,1.724,1.9296863289406416,1.8202382
25,12-01 11:15,1.8065361,1.733,1.9311354653841213,1.8197846
25,12-01 11:30,1.8020667,1.729,1.926802396758562,1.813818
25,12-01 11:45,1.7905568,1.69,1.915807274534865,1.8005717
25,12-01 12:00,1.7725111,1.66,1.897629611264973,1.7795498
25,12-01 12:15,1.7474791,1.635,1.8724616423322151,1.7513398
25,12-01 12:30,1.6593944,1.6,1.8414483473064645,1.6742454
25,12-01 12:45,1.6153991,1.5659999999999998,1.8067458541455423,1.627851
25,12-01 13:00,1.5725602,1.53,1.771361991322722,1.5813345
25,12-01 13:15,1.5389767,1.497,1.7387851518771609,1.5426582
25,12-01 13:30,1.5172589,1.462,1.7124520941571812,1.5140074
25,12-01 13:45,1.5121331,1.425,1.6951426143389383,1.5005352
25,12-01 14:00,1.520436,1.4239999999999997,1.688410958916834,1.5015906
25,12-01 14:15,1.5435021,1.426,1.6921650118083238,1.518952
25,12-01 14:30,1.5755701,1.462,1.7044835360342994,1.5459996
25,12-01 14:45,1.6113933,1.536,1.7217224049756272,1.578288
25,12-01 15:00,1.6416498,1.582,1.738910136921286,1.6067798
25,12-01 15:15,1.6610359,1.597,1.7503809418517942,1.6273788
25,12-01 15:30,1.6620766,1.606,1.7505500775680745,1.629783
25,12-01 15:45,1.6405615,1.595,1.7347100984328234,1.6093605
25,12-01 16:00,1.5936581,1.5760000000000003,1.6997225082483485,1.5627121
25,12-01 16:15,1.5211983,1.538,1.6444978809235102,1.4912258
25,12-01 16:30,1.4277651,1.432,1.570194627102004,1.396731
25,12-01 16:45,1.3166065,1.301,1.4801146085479646,1.2829709
25,12-01 17:00,1.1964316,1.179,1.3793233022252689,1.1593322
25,12-01 17:15,1.0755762,1.046,1.2740638203498855,1.0342671
25,12-01 17:30,0.9612765,0.929,1.171060652702078,0.91540813
25,12-01 17:45,0.8623336,0.8160000000000001,1.0768168722416267,0.8118108
25,12-01 18:00,0.784013,0.727,0.9969979678971236,0.73172206
25,12-01 18:15,0.731973,0.664,0.9359705469087348,0.68048805
25,12-01 18:30,0.7081345,0.604,0.8965313710563607,0.66048956
25,12-01 18:45,0.6674034,0.578,0.8798288085116671,0.69476753
25,12-01 19:00,0.7063022,0.584,0.8854513928967438,0.73324275
25,12-01 19:15,0.76810884,0.6340000000000001,0.9116409923227464,0.79570806
25,12-01 19:30,0.85054576,0.7,0.955582415762094,0.8768514
25,12-01 19:45,0.94454694,0.764,1.0137256379777992,0.9705271
25,12-01 20:00,1.0448033,0.859,1.08210748601633,1.0699024
25,12-01 20:15,1.1416358,0.953,1.1566521177727305,1.1697928
25,12-01 20:30,1.2315153,1.059,1.2334398555078294,1.262688
25,12-01 20:45,1.3113066,1.171,1.3089393641950515,1.34518
25,12-01 21:00,1.3776447,1.264,1.3801984896148174,1.4139915
25,12-01 21:15,1.4275769,1.335,1.4449858883601916,1.467725
25,12-01 21:30,1.464596,1.377,1.501871886656111,1.5084201
25,12-01 21:45,1.490016,1.409,1.5502361326252592,1.5369927
25,12-01 22:00,1.507583,1.435,1.5901938457667022,1.557218
25,12-01 22:15,1.5190749,1.4459999999999995,1.6224424274468188,1.5700496
25,12-01 22:30,1.5283232,1.464,1.6480443812400674,1.5807731
25,12-01 22:45,1.5380828,1.473,1.6681774576702124,1.5893606
25,12-01 23:00,1.5478908,1.482,1.6838943589162143,1.5962555
25,12-01 23:15,1.5593234,1.492,1.6959381446745323,1.6025766
25,12-01 23:30,1.5704486,1.506,1.7046530610065358,1.605606
25,12-01 23:45,1.5803611,1.509,1.710013750936937,1.6053401
25,12-02 00:00,1.5887109,1.4899999999999998,1.71177133532436,1.6018602
25,12-02 00:15,1.591407,1.485,1.7096876484855936,1.5941616
25,12-02 00:30,1.5907598,1.484,1.7038052693304364,1.5817859
25,12-02 00:45,1.584885,1.482,1.69468699283559,1.5665164
25,12-02 01:00,1.5580146,1.4780000000000002,1.683558365245496,1.5357207
25,12-02 01:15,1.5490322,1.467,1.6723022363890954,1.5138984
25,12-02 01:30,1.5382416,1.447,1.6632827885821837,1.4957958
25,12-02 01:45,1.5325899,1.441,1.6590127647317143,1.4874865
25,12-02 02:00,1.5354872,1.447,1.661714041914047,1.4904084
25,12-02 02:15,1.5516765,1.487,1.6728501405629863,1.5089818
25,12-02 02:30,1.5798212,1.514,1.6927229508521249,1.5423651
25,12-02 02:45,1.6211302,1.565,1.7202210460806555,1.5874877
25,12-02 03:00,1.6701343,1.643,1.7527835508779397,1.6377968
25,12-02 03:15,1.7224376,1.728,1.7866058075356217,1.6885481
25,12-02 03:30,1.7687286,1.787,1.8170684048633137,1.7297829
25,12-02 03:45,1.8026155,1.804,1.8393285939885824,1.7574914
25,12-02 04:00,1.8174597,1.8249999999999995,1.8489814354830447,1.7623563
25,12-02 04:15,1.8084247,1.831,1.8426837187991103,1.7417327
25,12-02 04:30,1.7724756,1.801,1.8186396703713552,1.6932831
25,12-02 04:45,1.7088029,1.768,1.7768722844432778,1.6207812
25,12-02 05:00,1.6241072,1.6910000000000005,1.7192425132551967,1.5296456
25,12-02 05:15,1.5214704,1.603,1.6492225422558495,1.4228272
25,12-02 05:30,1.4105792,1.497,1.5714700630758704,1.3128681
25,12-02 05:45,1.3006227,1.403,1.4912800792934455,1.2065415
25,12-02 06:00,1.1998305,1.299,1.414004158667053,1.1131765
25,12-02 06:15,1.1168191,1.197,1.3445228220233951,1.039508
25,12-02 06:30,1.0559804,1.141,1.2868373541209557,0.9905728
25,12-02 06:45,1.0215622,1.091,1.2438180920292865,0.96850896
25,12-02 07:00,1.0156399,1.052,1.2171143438201344,0.9740647
25,12-02 07:15,0.9986138,1.034,1.207203462682794,0.962855
25,12-02 07:30,1.0456437,1.037,1.2135384805726597,1.0161521
25,12-02 07:45,1.1107783,1.07,1.2347476596805422,1.0881407
25,12-02 08:00,1.1912898,1.138,1.268844658396278,1.1717294
25,12-02 08:15,1.2789903,1.213,1.3134214002523703,1.2627028
25,12-02 08:30,1.3686228,1.316,1.3658122482410644,1.3530349
25,12-02 08:45,1.4515516,1.397,1.423232531577995,1.4376577
25,12-02 09:00,1.5263468,1.501,1.4829029418411694,1.5113046
25,12-02 09:15,1.5886376,1.559,1.542172010060175,1.5733498
25,12-02 09:30,1.6378611,1.614,1.5986425280860848,1.6205206
25,12-02 09:45,1.672983,1.642,1.6502973777665684,1.6541182
25,12-02 10:00,1.6963273,1.668,1.6956098723081845,1.6777222
25,12-02 10:15,1.709771,1.6760000000000002,1.7336174956055352,1.6919302
25,12-02 10:30,1.7168667,1.697,1.7639387098262456,1.701039
25,12-02 10:45,1.7200365,1.714,1.786720883884381,1.7053969
25,12-02 11:00,1.7218326,1.727,1.802521638472024,1.7077458
25,12-02 11:15,1.7230492,1.725,1.812142299729947,1.7084669
25,12-02 11:30,1.723638,1.724,1.8164459500127776,1.7075332
25,12-02 11:45,1.7239537,1.715,1.8161994135113413,1.7037227
25,12-02 12:00,1.7229682,1.7099999999999995,1.811975664952079,1.6967392
25,12-02 12:15,1.718567,1.694,1.8041403187635048,1.6856089
25,12-02 12:30,1.7116456,1.678,1.792925529552243,1.6701787
25,12-02 12:45,1.6983008,1.668,1.7785715183038726,1.649871
25,12-02 13:00,1.6802704,1.654,1.761495870820706,1.6262681
25,12-02 13:15,1.6588277,1.6370000000000002,1.7424392451655215,1.6018257
25,12-02 13:30,1.6238743,1.628,1.7225368598824562,1.5558175
25,12-02 13:45,1.6156933,1.601,1.7032789621878557,1.5323594
25,12-02 14:00,1.6108487,1.567,1.6863479995009858,1.515575
25,12-02 14:15,1.6145145,1.5659999999999998,1.6733501900982175,1.5107522
25,12-02 14:30,1.6254592,1.558,1.6654877262319798,1.5153357
25,12-02 14:45,1.6450565,1.57,1.6632379765470209,1.5312122
25,12-02 15:00,1.6688677,1.602,1.6661124267254603,1.5548307
