future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,01-01 00:00,1.6442703,1.614,1.7907617014734416
25,01-01 00:15,1.6302419,1.62,1.7617143588775876
25,01-01 00:30,1.6061071,1.5659999999999998,1.7295357178384263
25,01-01 00:45,1.5793691,1.508,1.6984410339832845
25,01-01 01:00,1.5538368,1.451,1.673041043740099
25,01-01 01:15,1.5368686,1.419,1.657604805568807
25,01-01 01:30,1.5309181,1.3950000000000002,1.655294129849446
25,01-01 01:45,1.5426451,1.419,1.6675070056491637
25,01-01 02:00,1.5707307,1.4710000000000003,1.6934549857131391
25,01-01 02:15,1.6140507,1.5659999999999998,1.7300631630434078
25,01-01 02:30,1.6656692,1.643,1.7722276360466966
25,01-01 02:45,1.7173344,1.67,1.8134041443917803
25,01-01 03:00,1.761109,1.706,1.846444393497858
25,01-01 03:15,1.7875845,1.747,1.8645541129693537
25,01-01 03:30,1.7902136,1.759,1.8622267859657609
25,01-01 03:45,1.7624614,1.7300000000000002,1.8360125132932923
25,01-01 04:00,1.7045125,1.706,1.785010794952374
25,01-01 04:15,1.6169713,1.607,1.711022914131004
25,01-01 04:30,1.5056977,1.5000000000000002,1.618354798442115
25,01-01 04:45,1.3795404,1.361,1.513314382606256
25,01-01 05:00,1.2467935,1.226,1.4034894826703046
25,01-01 05:15,1.1198325,1.083,1.2969165840486758
25,01-01 05:30,1.0067606,0.975,1.201255372657879
25,01-01 05:45,0.9173217,0.894,1.123069936185083
25,01-01 06:00,0.8584446,0.842,1.0672900885556578
25,01-01 06:15,0.85157645,0.796,1.036892119567465
25,01-01 06:30,0.8656422,0.7880000000000001,1.032804416050719
25,01-01 06:45,0.9061965,0.797,1.0540154859357391
25,01-01 07:00,0.9727706,0.886,1.0978434213109174
25,01-01 07:15,1.0591397,0.951,1.1603173735753602
25,01-01 07:30,1.1604637,1.04,1.2366215600194677
25,01-01 07:45,1.2665702,1.17,1.32155762377561
25,01-01 08:00,1.3736224,1.272,1.4099883993934883
25,01-01 08:15,1.473851,1.372,1.4972328074275123
25,01-01 08:30,1.5631181,1.454,1.5793865601992363
25,01-01 08:45,1.6369092,1.537,1.6535470895389444
25,01-01 09:00,1.6944848,1.612,1.7179253893559665
25,01-01 09:15,1.7364599,1.641,1.7718342429877223
25,01-01 09:30,1.7655169,1.651,1.815552999278701
25,01-01 09:45,1.7838061,1.673,1.850083721669953
25,01-01 10:00,1.7943729,1.699,1.876830284536633
25,01-01 10:15,1.8011004,1.705,1.897247505378284
25,01-01 10:30,1.8047518,1.731,1.9125175607971123
25,01-01 10:45,1.8070267,1.728,1.923311891994839
25,01-01 11:00,1.8082857,1.724,1.9296863289406416
25,01-01 11:15,1.8065361,1.733,1.9311354653841213
25,01-01 11:30,1.8020667,1.729,1.926802396758562
25,01-01 11:45,1.7905568,1.69,1.915807274534865
25,01-01 12:00,1.7725111,1.66,1.897629611264973
25,01-01 12:15,1.7474791,1.635,1.8724616423322151
25,01-01 12:30,1.6593944,1.6,1.8414483473064645
25,01-01 12:45,1.6153991,1.5659999999999998,1.8067458541455423
25,01-01 13:00,1.5725602,1.53,1.771361991322722
25,01-01 13:15,1.5389767,1.497,1.7387851518771609
25,01-01 13:30,1.5172589,1.462,1.7124520941571812
25,01-01 13:45,1.5121331,1.425,1.6951426143389383
