future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,0,2.1195018,2.118,2.189648123513276
25,1,2.2508087,2.232,2.3177484901709007
25,2,2.3756537,2.353,2.4459727936801747
25,3,2.502053,2.477,2.572907090825997
25,4,2.6226687,2.597,2.6965144817104654
25,5,2.736692,2.71,2.814247384439774
25,6,2.840934,2.809,2.9232182495468377
25,7,2.93341,2.906,3.020403621636867
25,8,3.0110989,2.99,3.102856829657352
25,9,3.0718157,3.056,3.167908074607044
25,10,3.1153555,3.113,3.213335749726855
25,11,3.1375353,3.1529999999999996,3.237498189996739
25,12,3.138172,3.159,3.239419858643303
25,13,3.118314,3.144,3.2188297811510016
25,14,3.076751,3.106,3.1761530392660315
25,15,3.0128486,3.045,3.1124587950625253
25,16,2.9300718,2.959,3.029371051556393
25,17,2.8316965,2.857,2.928951452094872
25,18,2.7186027,2.731,2.813566597552942
25,19,2.591045,2.5990000000000006,2.6857549869898576
25,20,2.4505022,2.457,2.5481098993403384
25,21,2.3082929,2.306,2.403193313828355
25,22,2.158444,2.152,2.2534918512899424
25,23,2.0076287,2.006,2.1014188405329444
25,24,1.8591306,1.847,1.9493576978346612
25,25,1.649098,1.688,1.799732540027744
25,26,1.49829,1.543,1.6550843242720372
25,27,1.3545978,1.401,1.5181266293800744
25,28,1.2257888,1.269,1.3917560491805072
25,29,1.1087165,1.15,1.2789985607848586
25,30,1.0154421,1.039,1.182884363829269
25,31,0.94434434,0.952,1.1062578977970308
25,32,0.8995005,0.892,1.0515443374961757
25,33,0.8812141,0.862,1.020505752472122
25,34,0.8893459,0.864,1.0140267301931398
25,35,0.92198205,0.889,1.0319687681969894
25,36,0.97928905,0.939,1.0731246814665316
25,37,1.056007,1.011,1.1352898189375935
25,38,1.1512905,1.105,1.2154484131694063
25,39,1.2592504,1.209,1.31005428895187
25,40,1.3778098,1.326,1.4153690095882745
25,41,1.499163,1.443,1.5278103577501485
25,42,1.6242307,1.5559999999999998,1.6442618771882074
25,43,1.749414,1.673,1.7623003962605075
25,44,1.8724746,1.784,1.880311798618053
25,45,1.9938656,1.89,1.9974833902624467
25,46,2.1120543,1.98,2.113680593066818
25,47,2.2271924,2.082,2.229232905885955
25,48,2.3344202,2.179,2.344666329165888
25,49,2.438774,2.283,2.4604248489010616
25,50,2.48075,2.386,2.5766217267060925
25,51,2.5996287,2.508,2.6928533195445983
25,52,2.7110405,2.6259999999999994,2.8080958854384823
25,53,2.816667,2.738,2.920691909262114
25,54,2.9148564,2.856,3.0284195776140828
25,55,3.0058005,2.959,3.128629060090637
25,56,3.0849283,3.056,3.2184233578739034
25,57,3.1518939,3.144,3.294859909337717
25,58,3.204679,3.209,3.3551510709095025
25,59,3.2426798,3.258,3.396845788428956
25,60,3.2638881,3.285,3.417979921827775
25,61,3.2657926,3.282,3.4171875228509774
25,62,3.2465694,3.256,3.3937692705680167
25,63,3.207241,3.203,3.347717159872978
25,64,3.1480312,3.123,3.2796966998439068
25,65,3.065821,3.023,3.19098993850438
25,66,2.9652338,2.9000000000000004,3.0834050202393826
25,67,2.846262,2.762,2.959160841406615
25,68,2.7118351,2.603,2.820758445742987
25,69,2.5623825,2.437,2.670853252895008
25,70,2.4034805,2.274,2.5121431593811465
25,71,2.2372222,2.109,2.3472861942105565
25,72,2.0658581,1.94,2.178857181285952
25,73,1.8978264,1.784,2.009346119175287
25,74,1.7322326,1.62,1.8411927429140973
25,75,1.6119546,1.462,1.6768434095762774
25,76,1.4394851,1.307,1.518810078587666
25,77,1.2793115,1.157,1.3697084661734629
25,78,1.1299491,1.019,1.2322543981073175
25,79,0.9975522,0.899,1.1092042839696998
25,80,0.88657206,0.792,1.0032365157292258
25,81,0.80135274,0.711,0.916783371694594
25,82,0.7375401,0.6540000000000001,0.8518352501571678
25,83,0.7049432,0.611,0.8097480373745645
25,84,0.6941304,0.614,0.7910878673591768
25,85,0.7107768,0.626,0.795544424234166
25,86,0.7495705,0.667,0.8219343953713822
25,87,0.8087797,0.729,0.868302249748832
25,88,0.88706315,0.804,0.9321089080090216
25,89,0.98019654,0.884,1.010483234915248
25,90,1.0840228,0.98,1.1004997792120963
25,91,1.196389,1.076,1.1994411385202313
25,92,1.31581,1.167,1.3050057468927967
25,93,1.4389057,1.267,1.4154314184062446
25,94,1.5653769,1.352,1.5295197087870829
25,95,1.6945343,1.446,1.6465631796115094
25,96,1.8205866,1.526,1.7661937989604888
25,97,1.9514518,1.627,1.8881829052653853
25,98,2.0785055,1.718,2.0122292922516043
25,99,2.2082996,1.822,2.137771352260415
25,100,2.3085656,1.926,2.2638523353393785
25,101,2.4292939,2.038,2.38905642623439
25,102,2.5403957,2.15,2.51152015983094
25,103,2.6478927,2.269,2.6290112599268056
25,104,2.744653,2.382,2.73905754942485
25,105,2.8302784,2.485,2.839103633348134
25,106,2.9045053,2.59,2.9266727610987515
25,107,2.9649785,2.675,2.99951489280124
25,108,3.0095112,2.75,3.0557281260926983
25,109,3.0358164,2.8110000000000004,3.0938473705156717
25,110,3.045676,2.856,3.112899902146029
25,111,3.037194,2.87,3.1124311829579536
25,112,3.0100036,2.8760000000000003,3.092505700853556
25,113,2.965923,2.858,3.0536870731239394
25,114,2.9046278,2.81,2.997000217466159
25,115,2.825983,2.749,2.923877114485949
25,116,2.731349,2.675,2.836087525210573
25,117,2.627637,2.57,2.7356573140334817
25,118,2.512916,2.459,2.624779515728669
25,119,2.3879778,2.334,2.50572618215944
25,120,2.254046,2.2,2.380771088536141
25,121,2.1216846,2.066,2.2521335289718327
25,122,1.986154,1.936,2.121951029787116
25,123,1.8503752,1.801,1.992283749367109
25,124,1.718905,1.667,1.865146525314064
25,125,1.5595001,1.534,1.7425574490134046
25,126,1.4459872,1.408,1.6265861628116016
25,127,1.3419951,1.2959999999999998,1.5193825810655248
25,128,1.2523941,1.1949999999999998,1.4231685162466587
25,129,1.1759012,1.113,1.3401808004449034
25,130,1.1237234,1.041,1.2725641581670253
25,131,1.0912747,0.998,1.2222234485218793
25,132,1.0800143,0.9729999999999999,1.1906554677493888
25,133,1.0909568,0.971,1.1787879423054712
25,134,1.1233898,1.01,1.1868556821278673
25,135,1.1748582,1.051,1.214340158139913
25,136,1.2442528,1.122,1.259989444874004
25,137,1.3266857,1.216,1.3219220819694997
25,138,1.4232609,1.315,1.3978035455866102
25,139,1.527734,1.424,1.485070666116524
25,140,1.6381477,1.536,1.5811701739354411
25,141,1.7499336,1.6449999999999998,1.6837745967224418
25,142,1.8642105,1.749,1.7909425884332069
25,143,1.9766372,1.863,1.9012006699355557
25,144,2.0886838,1.967,2.013537426052753
25,145,2.198731,2.076,2.127316556932697
25,146,2.3053257,2.181,2.2421288127970374
25,147,2.4086359,2.283,2.357612292272404
25,148,2.5065868,2.389,2.473274155001993
25,149,2.6011026,2.501,2.588344145181872
25,150,2.6761117,2.618,2.70168248608626
25,151,2.7819371,2.73,2.8117535216440848
25,152,2.877124,2.84,2.9166644148688605
25,153,2.964257,2.948,3.014257789021701
25,154,3.0419292,3.042,3.1022401572386458
25,155,3.1085775,3.124,3.178325261420597
25,156,3.1595986,3.196,3.240372999427908
25,157,3.1961715,3.247,3.2865093174444926
25,158,3.218599,3.278,3.3152187054176045
25,159,3.2249095,3.291,3.3254070982143973
25,160,3.214302,3.279,3.3164375685317773
25,161,3.1854744,3.238,3.2881434967107093
25,162,3.136988,3.178,3.240823945609974
25,163,3.0696402,3.094,3.175224401817871
25,164,2.985996,2.997,3.0925040196502933
25,165,2.8837566,2.886,2.99418909993691
25,166,2.767754,2.764,2.8821125507234657
25,167,2.6362104,2.6230000000000007,2.758340776805729
25,168,2.4949558,2.476,2.625092291645669
25,169,2.342305,2.33,2.48465543783265
25,170,2.1861088,2.195,2.3393147892821906
25,171,2.0270913,2.045,2.1912959133113112
25,172,1.8671814,1.895,2.042735745915318
25,173,1.7126604,1.755,1.895681063373977
25,174,1.5658505,1.6039999999999999,1.7521111825665323
25,175,1.4344311,1.468,1.6139746946162683
25,176,1.2883886,1.33,1.4832254082217573
25,177,1.1590114,1.199,1.3618410572567594
25,178,1.0422552,1.075,1.2518106509266296
25,179,0.94536525,0.977,1.155082483349078
25,180,0.8714516,0.891,1.0734735786464815
25,181,0.8202706,0.834,1.008551011471514
25,182,0.7899865,0.787,0.9615038594836103
25,183,0.7875188,0.768,0.9330293693068594
25,184,0.8039195,0.766,0.9232569510174684
25,185,0.843259,0.787,0.9317284393829022
25,186,0.8994814,0.842,0.9574434583730718
25,187,0.9724909,0.902,0.9989666217070169
25,188,1.0581847,0.977,1.054581162047584
25,189,1.1543837,1.052,1.1224640611890486
25,190,1.2601459,1.137,1.200852998374241
25,191,1.3719083,1.229,1.28817654524555
25,192,1.4859535,1.3249999999999997,1.383125964668949
25,193,1.6048775,1.419,1.4846582969950104
25,194,1.7247216,1.509,1.591933766760895
25,195,1.847481,1.611,1.7042032190549066
25,196,1.9657203,1.703,1.8206706087099636
25,197,2.0887232,1.814,1.940359632754923
25,198,2.2087622,1.9169999999999998,2.062011811510648
