future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-01 00:00,2.457857,2.445,2.692165368269716,2.4387498
25,12-01 00:15,2.5660229,2.559,2.798297318032438,2.5528288
25,12-01 00:30,2.6793976,2.676,2.902166067411676,2.6662958
25,12-01 00:45,2.7798674,2.792,3.001585369636261,2.7688491
25,12-01 01:00,2.872271,2.902,3.0939572626997784,2.8682973
25,12-01 01:15,2.9493272,3.004,3.1764792729842752,2.9550908
25,12-01 01:30,3.0233068,3.097,3.24636473087981,3.0333626
25,12-01 01:45,3.073204,3.1699999999999995,3.3010537818775,3.0949926
25,12-01 02:00,3.1144123,3.226,3.338396142624736,3.150991
25,12-01 02:15,3.136812,3.265,3.356791022332524,3.1823783
25,12-01 02:30,3.1454566,3.276,3.355274410648613,3.194198
25,12-01 02:45,3.1334603,3.257,3.333549041928523,3.1804016
25,12-01 03:00,3.1019318,3.214,3.2919578064683,3.154565
25,12-01 03:15,3.0458877,3.152,3.231407070151938,3.1002588
25,12-01 03:30,2.9712758,3.0760000000000005,3.153252035836401,3.023687
25,12-01 03:45,2.876276,2.974,3.0591612575574,2.9330225
25,12-01 04:00,2.7689917,2.855,2.950980799756508,2.8212185
25,12-01 04:15,2.6512418,2.722,2.830619398310391,2.689704
25,12-01 04:30,2.506715,2.581,2.699973469153262,2.5361462
25,12-01 04:45,2.3592653,2.434,2.5609047247204533,2.3870704
25,12-01 05:00,2.2064526,2.283,2.415274010317938,2.2247283
25,12-01 05:15,2.0534375,2.132,2.2650238932910565,2.0585725
25,12-01 05:30,1.9048655,1.973,2.112291534937029,1.8984919
25,12-01 05:45,1.7588694,1.816,1.959524694426989,1.7392523
25,12-01 06:00,1.6182759,1.666,1.8095692867233015,1.5900521
25,12-01 06:15,1.4218386,1.518,1.6656983113598944,1.3844978
25,12-01 06:30,1.3098817,1.381,1.5315595915452458,1.252963
25,12-01 06:45,1.2158929,1.259,1.4110326234116424,1.1394593
25,12-01 07:00,1.1362056,1.158,1.3080010511597178,1.0447444
25,12-01 07:15,1.0827905,1.085,1.2260639481024218,0.97594887
25,12-01 07:30,1.0528339,1.036,1.168222873610193,0.9316754
25,12-01 07:45,1.0394602,1.018,1.1365898681040043,0.914897
25,12-01 08:00,1.0404099,1.031,1.132162167764221,0.9189199
25,12-01 08:15,1.0850408,1.078,1.154701876250023,0.9531581
25,12-01 08:30,1.1416502,1.151,1.202744248219817,1.0102384
25,12-01 08:45,1.2250445,1.251,1.2737389602344804,1.0914266
25,12-01 09:00,1.3185956,1.369,1.3643081592525763,1.1863455
25,12-01 09:15,1.4250005,1.495,1.4705868794764645,1.2975482
25,12-01 09:30,1.5419171,1.62,1.588598765459203,1.4215299
25,12-01 09:45,1.6557162,1.749,1.7146152109802006,1.550894
25,12-01 10:00,1.7933526,1.876,1.8454496837973744,1.6877642
25,12-01 10:15,1.9279029,2.001,1.978650255000307,1.8249549
25,12-01 10:30,2.0542965,2.118,2.1125701043961995,1.9634703
25,12-01 10:45,2.1779702,2.231,2.246314836290413,2.0953882
25,12-01 11:00,2.300592,2.3410000000000006,2.379583467640132,2.2241943
25,12-01 11:15,2.4187324,2.452,2.5124341487911277,2.3448365
25,12-01 11:30,2.5431907,2.562,2.645013933340325,2.4700565
25,12-01 11:45,2.6606617,2.676,2.7772934698153287,2.5831218
25,12-01 12:00,2.76844,2.797,2.908842958426554,2.6919744
25,12-01 12:15,2.8663557,2.9239999999999995,3.038676491108079,2.7944229
25,12-01 12:30,2.9437728,3.055,3.1651800788180275,2.9576557
25,12-01 12:45,3.053044,3.184,3.2861265934290067,3.0560126
25,12-01 13:00,3.1566124,3.312,3.3987702478705617,3.1509562
25,12-01 13:15,3.2399714,3.423,3.500005315989547,3.228873
25,12-01 13:30,3.3092687,3.5270000000000006,3.586569108819347,3.2954693
25,12-01 13:45,3.3587239,3.614,3.6552674190025622,3.3466249
25,12-01 14:00,3.3962893,3.682,3.70320108127315,3.3874018
25,12-01 14:15,3.406344,3.724,3.7279742682945054,3.4015253
25,12-01 14:30,3.404408,3.737999999999999,3.727867885278355,3.408116
25,12-01 14:45,3.378804,3.721,3.7019646604041614,3.394167
25,12-01 15:00,3.335223,3.667,3.650216271642459,3.3570042
25,12-01 15:15,3.2687697,3.59,3.573447229100635,3.3000915
25,12-01 15:30,3.1847284,3.485,3.473295506902806,3.2270577
25,12-01 15:45,3.0783536,3.362,3.3520959862347137,3.1308966
25,12-01 16:00,2.953323,3.213,3.2127191738719976,3.0175583
25,12-01 16:15,2.8174927,3.052,3.058383593770353,2.8944716
25,12-01 16:30,2.666401,2.874000000000001,2.892464423295808,2.7494366
25,12-01 16:45,2.5102859,2.698,2.718322248002601,2.5956292
25,12-01 17:00,2.3389754,2.523,2.539173432982374,2.4249353
25,12-01 17:15,2.167365,2.352,2.358017174699189,2.2556448
25,12-01 17:30,1.9979452,2.178,2.1776245679532096,2.0816672
25,12-01 17:45,1.8294097,1.998,2.0005834996616403,1.9064388
25,12-01 18:00,1.6729335,1.825,1.8293818027959452,1.7421622
25,12-01 18:15,1.5215231,1.653,1.6665023834179524,1.5782282
25,12-01 18:30,1.3837137,1.494,1.5145000368198025,1.4326831
25,12-01 18:45,1.2417803,1.342,1.3760315203912974,1.2794905
25,12-01 19:00,1.1378306,1.211,1.2538184607873106,1.1556767
25,12-01 19:15,1.0548046,1.091,1.150535666676199,1.0590675
25,12-01 19:30,0.9898492,0.993,1.0686329718843794,0.9809555
25,12-01 19:45,0.9455144,0.915,1.0101139871863631,0.92218536
25,12-01 20:00,0.93260914,0.872,0.9763069008261048,0.8944193
25,12-01 20:15,0.93383974,0.853,0.9676680582062028,0.8894659
25,12-01 20:30,0.9473115,0.867,0.9836571122657544,0.9044039
25,12-01 20:45,0.99996024,0.909,1.022713000298478,0.9489369
25,12-01 21:00,1.0600752,0.975,1.082344401773605,1.012067
25,12-01 21:15,1.141573,1.065,1.1593295205962553,1.0906248
25,12-01 21:30,1.2294425,1.166,1.250001449861469,1.1791298
25,12-01 21:45,1.3197217,1.275,1.3505805944383258,1.2859824
25,12-01 22:00,1.4204437,1.393,1.4575074262102403,1.3970927
25,12-01 22:15,1.5138199,1.507,1.5677286968308053,1.5084071
25,12-01 22:30,1.625346,1.622,1.6788981831418264,1.630413
25,12-01 22:45,1.7284874,1.73,1.789467414467019,1.7492356
25,12-01 23:00,1.8288037,1.841,1.898659827915927,1.8627251
25,12-01 23:15,1.925437,1.9450000000000005,2.006340151939907,1.9682724
25,12-01 23:30,2.0234752,2.043,2.112806152125517,2.0778968
25,12-01 23:45,2.1194,2.138,2.2185396615878488,2.1762614
25,12-02 00:00,2.226975,2.235,2.3239568392364074,2.2752852
25,12-02 00:15,2.3306022,2.328,2.4291938197384497,2.37166
25,12-02 00:30,2.4328861,2.4230000000000005,2.5339546777817965,2.4637353
25,12-02 00:45,2.5295885,2.526,2.637436245057444,2.5516086
25,12-02 01:00,2.6196456,2.628000000000001,2.738331273659965,2.6368222
25,12-02 01:15,2.7115273,2.734,2.8349001018465017,2.7391572
25,12-02 01:30,2.80259,2.831,2.925093137436113,2.8332584
25,12-02 01:45,2.8790631,2.9239999999999995,3.0067027861767963,2.9169405
25,12-02 02:00,2.9507082,3.0059999999999993,3.0775237193669343,2.9940946
25,12-02 02:15,3.0024967,3.08,3.135503714004345,3.0554378
25,12-02 02:30,3.0491834,3.138,3.178872234117632,3.1058667
25,12-02 02:45,3.07671,3.182,3.2062390965591714,3.1412113
25,12-02 03:00,3.088351,3.207,3.2166599956638477,3.1654425
25,12-02 03:15,3.0842893,3.209,3.2096687708308407,3.1692123
25,12-02 03:30,3.0642073,3.187,3.18527820272077,3.1532946
25,12-02 03:45,3.0257876,3.152,3.1439523109478684,3.1153827
25,12-02 04:00,2.9703279,3.094,3.0865541848053453,3.064188
25,12-02 04:15,2.8946989,3.022,3.014274847392295,2.9904976
25,12-02 04:30,2.8031347,2.934,2.928550608449218,2.8967922
25,12-02 04:45,2.694006,2.834,2.830978467459752,2.7887385
25,12-02 05:00,2.57783,2.72,2.7232407146335684,2.665852
25,12-02 05:15,2.4561727,2.602,2.607049984476596,2.5279434
25,12-02 05:30,2.314654,2.474,2.4841239779305413,2.3738468
25,12-02 05:45,2.174576,2.3470000000000004,2.356194648920752,2.2242904
25,12-02 06:00,2.0333655,2.219,2.225050114836572,2.0656488
25,12-02 06:15,1.8967834,2.085,2.0926000414051527,1.9079815
25,12-02 06:30,1.7659992,1.953,1.9609483486087345,1.755995
25,12-02 06:45,1.6442941,1.819,1.8324523880123391,1.6112665
25,12-02 07:00,1.5300084,1.688,1.7097468426467335,1.4772389
25,12-02 07:15,1.376641,1.567,1.5957143094367217,1.2874361
