future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,01-01 00:00,2.445,2.4387498,2.692165368269716
25,01-01 00:15,2.559,2.5528288,2.798297318032438
25,01-01 00:30,2.676,2.6662958,2.902166067411676
25,01-01 00:45,2.792,2.7688491,3.001585369636261
25,01-01 01:00,2.902,2.8682973,3.0939572626997784
25,01-01 01:15,3.004,2.9550908,3.1764792729842752
25,01-01 01:30,3.097,3.0333626,3.24636473087981
25,01-01 01:45,3.1699999999999995,3.0949926,3.3010537818775
25,01-01 02:00,3.226,3.150991,3.338396142624736
25,01-01 02:15,3.265,3.1823783,3.356791022332524
25,01-01 02:30,3.276,3.194198,3.355274410648613
25,01-01 02:45,3.257,3.1804016,3.333549041928523
25,01-01 03:00,3.214,3.154565,3.2919578064683
25,01-01 03:15,3.152,3.1002588,3.231407070151938
25,01-01 03:30,3.0760000000000005,3.023687,3.153252035836401
25,01-01 03:45,2.974,2.9330225,3.0591612575574
25,01-01 04:00,2.855,2.8212185,2.950980799756508
25,01-01 04:15,2.722,2.689704,2.830619398310391
25,01-01 04:30,2.581,2.5361462,2.699973469153262
25,01-01 04:45,2.434,2.3870704,2.5609047247204533
25,01-01 05:00,2.283,2.2247283,2.415274010317938
25,01-01 05:15,2.132,2.0585725,2.2650238932910565
25,01-01 05:30,1.973,1.8984919,2.112291534937029
25,01-01 05:45,1.816,1.7392523,1.9595246944269893
25,01-01 06:00,1.666,1.5900521,1.8095692867233015
25,01-01 06:15,1.518,1.3844978,1.6656983113598944
25,01-01 06:30,1.381,1.252963,1.5315595915452458
25,01-01 06:45,1.259,1.1394593,1.4110326234116424
25,01-01 07:00,1.158,1.0447444,1.3080010511597178
25,01-01 07:15,1.085,0.97594887,1.2260639481024218
25,01-01 07:30,1.036,0.9316754,1.168222873610193
25,01-01 07:45,1.018,0.914897,1.1365898681040043
25,01-01 08:00,1.031,0.9189199,1.132162167764221
25,01-01 08:15,1.078,0.9531581,1.154701876250023
25,01-01 08:30,1.151,1.0102384,1.202744248219817
25,01-01 08:45,1.251,1.0914266,1.2737389602344804
25,01-01 09:00,1.369,1.1863455,1.3643081592525763
25,01-01 09:15,1.495,1.2975482,1.4705868794764645
25,01-01 09:30,1.62,1.4215299,1.588598765459203
25,01-01 09:45,1.749,1.550894,1.7146152109802006
25,01-01 10:00,1.876,1.6877642,1.8454496837973744
25,01-01 10:15,2.001,1.8249549,1.978650255000307
25,01-01 10:30,2.118,1.9634703,2.1125701043961995
25,01-01 10:45,2.231,2.0953882,2.246314836290413
25,01-01 11:00,2.3410000000000006,2.2241943,2.379583467640132
25,01-01 11:15,2.452,2.3448365,2.5124341487911277
25,01-01 11:30,2.562,2.4700565,2.645013933340325
25,01-01 11:45,2.676,2.5831218,2.7772934698153287
25,01-01 12:00,2.797,2.6919744,2.908842958426554
25,01-01 12:15,2.9239999999999995,2.7944229,3.038676491108079
25,01-01 12:30,3.055,2.9576557,3.1651800788180275
25,01-01 12:45,3.184,3.0560126,3.2861265934290067
25,01-01 13:00,3.312,3.1509562,3.3987702478705617
25,01-01 13:15,3.423,3.228873,3.500005315989547
25,01-01 13:30,3.5270000000000006,3.2954693,3.586569108819347
25,01-01 13:45,3.614,3.3466249,3.6552674190025622
25,01-01 14:00,3.682,3.3874018,3.70320108127315
25,01-01 14:15,3.724,3.4015253,3.7279742682945054
25,01-01 14:30,3.737999999999999,3.408116,3.727867885278355
25,01-01 14:45,3.721,3.394167,3.7019646604041614
25,01-01 15:00,3.667,3.3570042,3.650216271642459
25,01-01 15:15,3.59,3.3000915,3.573447229100635
25,01-01 15:30,3.485,3.2270577,3.473295506902806
25,01-01 15:45,3.362,3.1308966,3.3520959862347137
25,01-01 16:00,3.213,3.0175583,3.2127191738719976
25,01-01 16:15,3.052,2.8944716,3.058383593770353
25,01-01 16:30,2.874000000000001,2.7494366,2.892464423295808
25,01-01 16:45,2.698,2.5956292,2.718322248002601
25,01-01 17:00,2.523,2.4249353,2.539173432982374
25,01-01 17:15,2.352,2.2556448,2.358017174699189
25,01-01 17:30,2.178,2.0816672,2.1776245679532096
25,01-01 17:45,1.998,1.9064388,2.0005834996616403
25,01-01 18:00,1.825,1.7421622,1.8293818027959452
25,01-01 18:15,1.653,1.5782282,1.6665023834179524
25,01-01 18:30,1.494,1.4326831,1.5145000368198025
25,01-01 18:45,1.342,1.2794905,1.3760315203912974
25,01-01 19:00,1.211,1.1556767,1.2538184607873106
25,01-01 19:15,1.091,1.0590675,1.150535666676199
25,01-01 19:30,0.993,0.9809555,1.0686329718843794
25,01-01 19:45,0.915,0.92218536,1.0101139871863631
25,01-01 20:00,0.872,0.8944193,0.9763069008261048
25,01-01 20:15,0.853,0.8894659,0.9676680582062028
