future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,01-01 00:00,2.118,2.0924878,2.189648123513276
25,01-01 00:15,2.232,2.2194698,2.3177484901709007
25,01-01 00:30,2.353,2.3456492,2.4459727936801747
25,01-01 00:45,2.477,2.470249,2.572907090825997
25,01-01 01:00,2.597,2.5898535,2.696514481710466
25,01-01 01:15,2.71,2.7038596,2.814247384439774
25,01-01 01:30,2.809,2.8103137,2.9232182495468377
25,01-01 01:45,2.906,2.9043787,3.020403621636867
25,01-01 02:00,2.99,2.9836924,3.102856829657352
25,01-01 02:15,3.056,3.0446928,3.167908074607044
25,01-01 02:30,3.113,3.0908458,3.213335749726855
25,01-01 02:45,3.1529999999999996,3.114177,3.237498189996739
25,01-01 03:00,3.159,3.1159472,3.239419858643303
25,01-01 03:15,3.144,3.0966654,3.2188297811510016
25,01-01 03:30,3.106,3.0544105,3.1761530392660315
25,01-01 03:45,3.045,2.9925876,3.1124587950625253
25,01-01 04:00,2.959,2.9086294,3.029371051556393
25,01-01 04:15,2.857,2.8083847,2.928951452094872
25,01-01 04:30,2.731,2.6896517,2.813566597552942
25,01-01 04:45,2.5990000000000006,2.5588694,2.6857549869898576
25,01-01 05:00,2.457,2.4173255,2.5481098993403384
25,01-01 05:15,2.306,2.265607,2.403193313828355
25,01-01 05:30,2.152,2.11051,2.2534918512899424
25,01-01 05:45,2.006,1.9548011,2.1014188405329444
25,01-01 06:00,1.847,1.7984375,1.949357697834661
25,01-01 06:15,1.688,1.646734,1.799732540027744
25,01-01 06:30,1.543,1.4971657,1.6550843242720372
25,01-01 06:45,1.401,1.3499243,1.5181266293800744
25,01-01 07:00,1.269,1.2153676,1.3917560491805072
25,01-01 07:15,1.15,1.0934539,1.2789985607848586
25,01-01 07:30,1.039,0.990149,1.182884363829269
25,01-01 07:45,0.952,0.90761226,1.1062578977970308
25,01-01 08:00,0.892,0.8507657,1.0515443374961757
25,01-01 08:15,0.862,0.81749654,1.020505752472122
25,01-01 08:30,0.864,0.8111463,1.0140267301931398
25,01-01 08:45,0.889,0.8306843,1.0319687681969894
25,01-01 09:00,0.939,0.8746435,1.0731246814665316
25,01-01 09:15,1.011,0.93979406,1.1352898189375935
25,01-01 09:30,1.105,1.0265107,1.2154484131694063
25,01-01 09:45,1.209,1.125924,1.31005428895187
25,01-01 10:00,1.326,1.2374448,1.4153690095882745
25,01-01 10:15,1.443,1.355351,1.5278103577501485
25,01-01 10:30,1.5559999999999998,1.4771595,1.6442618771882074
25,01-01 10:45,1.673,1.6015185,1.7623003962605075
25,01-01 11:00,1.784,1.722173,1.8803117986180529
25,01-01 11:15,1.89,1.8433571,1.9974833902624467
25,01-01 11:30,1.98,1.958878,2.113680593066818
25,01-01 11:45,2.082,2.075157,2.229232905885955
25,01-01 12:00,2.179,2.186941,2.344666329165888
25,01-01 12:15,2.283,2.2965074,2.4604248489010616
25,01-01 12:30,2.386,2.4360378,2.5766217267060925
25,01-01 12:45,2.508,2.564495,2.6928533195445983
25,01-01 13:00,2.625999999999999,2.688609,2.8080958854384823
25,01-01 13:15,2.738,2.8091319,2.920691909262114
25,01-01 13:30,2.856,2.9223776,3.0284195776140828
25,01-01 13:45,2.959,3.027297,3.128629060090637
25,01-01 14:00,3.056,3.1190217,3.218423357873903
25,01-01 14:15,3.144,3.196826,3.294859909337717
25,01-01 14:30,3.209,3.2564974,3.3551510709095025
25,01-01 14:45,3.258,3.2954645,3.396845788428956
25,01-01 15:00,3.285,3.316121,3.417979921827775
25,01-01 15:15,3.282,3.3108594,3.417187522850978
25,01-01 15:30,3.256,3.2827017,3.3937692705680167
25,01-01 15:45,3.203,3.2318685,3.347717159872978
25,01-01 16:00,3.123,3.1571476,3.2796966998439068
25,01-01 16:15,3.023,3.0622542,3.19098993850438
25,01-01 16:30,2.9000000000000004,2.9470375,3.0834050202393826
25,01-01 16:45,2.762,2.814637,2.959160841406615
25,01-01 17:00,2.603,2.6682901,2.820758445742987
25,01-01 17:15,2.437,2.5091422,2.670853252895008
25,01-01 17:30,2.274,2.3435297,2.5121431593811465
25,01-01 17:45,2.109,2.1719184,2.3472861942105565
25,01-01 18:00,1.94,1.9976608,2.178857181285952
25,01-01 18:15,1.784,1.8259397,2.009346119175287
25,01-01 18:30,1.62,1.6574762,1.8411927429140973
25,01-01 18:45,1.462,1.552288,1.6768434095762774
25,01-01 19:00,1.307,1.4010487,1.518810078587666
25,01-01 19:15,1.157,1.2576004,1.3697084661734629
25,01-01 19:30,1.019,1.1280262,1.2322543981073175
25,01-01 19:45,0.899,1.0127177,1.1092042839696998
25,01-01 20:00,0.792,0.9196068,1.0032365157292258
25,01-01 20:15,0.711,0.84612364,0.916783371694594
25,01-01 20:30,0.6540000000000001,0.7990219,0.8518352501571678
25,01-01 20:45,0.611,0.774289,0.8097480373745645
25,01-01 21:00,0.614,0.77360815,0.7910878673591768
25,01-01 21:15,0.626,0.7977112,0.795544424234166
25,01-01 21:30,0.667,0.84055394,0.8219343953713822
25,01-01 21:45,0.729,0.9036541,0.868302249748832
25,01-01 22:00,0.804,0.9843332,0.9321089080090216
25,01-01 22:15,0.884,1.0737975,1.010483234915248
25,01-01 22:30,0.98,1.1761262,1.1004997792120963
25,01-01 22:45,1.076,1.2833823,1.1994411385202313
25,01-01 23:00,1.167,1.3931485,1.3050057468927967
25,01-01 23:15,1.267,1.5063251,1.4154314184062446
25,01-01 23:30,1.352,1.6181566,1.5295197087870829
25,01-01 23:45,1.446,1.7314495,1.6465631796115094
25,01-02 00:00,1.526,1.8424248,1.7661937989604888
25,01-02 00:15,1.627,1.9538693,1.8881829052653856
25,01-02 00:30,1.718,2.0663874,2.0122292922516043
25,01-02 00:45,1.822,2.1788113,2.137771352260415
25,01-02 01:00,1.926,2.2526686,2.2638523353393785
25,01-02 01:15,2.038,2.3683155,2.38905642623439
25,01-02 01:30,2.15,2.4805732,2.51152015983094
25,01-02 01:45,2.269,2.5888534,2.6290112599268056
25,01-02 02:00,2.382,2.6905546,2.73905754942485
25,01-02 02:15,2.485,2.7846766,2.839103633348134
25,01-02 02:30,2.59,2.868234,2.9266727610987515
25,01-02 02:45,2.675,2.9392412,2.99951489280124
25,01-02 03:00,2.75,2.9952178,3.0557281260926983
25,01-02 03:15,2.8110000000000004,3.033606,3.0938473705156717
25,01-02 03:30,2.856,3.0566695,3.112899902146029
25,01-02 03:45,2.87,3.058681,3.1124311829579536
25,01-02 04:00,2.8760000000000003,3.0405133,3.092505700853556
25,01-02 04:15,2.858,3.0024836,3.0536870731239394
25,01-02 04:30,2.81,2.944424,2.997000217466159
25,01-02 04:45,2.749,2.868076,2.923877114485949
25,01-02 05:00,2.675,2.7734604,2.836087525210573
25,01-02 05:15,2.57,2.6635978,2.7356573140334817
25,01-02 05:30,2.459,2.5396616,2.624779515728669
25,01-02 05:45,2.334,2.404886,2.50572618215944
25,01-02 06:00,2.2,2.262258,2.380771088536141
25,01-02 06:15,2.066,2.1133883,2.2521335289718327
25,01-02 06:30,1.936,1.9624723,2.121951029787116
25,01-02 06:45,1.801,1.81258,1.9922837493671088
25,01-02 07:00,1.667,1.6656858,1.865146525314064
25,01-02 07:15,1.534,1.5424523,1.7425574490134046
25,01-02 07:30,1.408,1.4099618,1.6265861628116016
25,01-02 07:45,1.2959999999999998,1.2841833,1.5193825810655248
25,01-02 08:00,1.1949999999999998,1.1716579,1.4231685162466587
25,01-02 08:15,1.113,1.0734076,1.3401808004449034
25,01-02 08:30,1.041,0.99470097,1.2725641581670253
25,01-02 08:45,0.998,0.9352806,1.2222234485218793
25,01-02 09:00,0.973,0.9003032,1.1906554677493888
25,01-02 09:15,0.971,0.8864858,1.1787879423054712
25,01-02 09:30,1.01,0.89647317,1.1868556821278673
25,01-02 09:45,1.051,0.92897236,1.214340158139913
25,01-02 10:00,1.122,0.9816292,1.259989444874004
25,01-02 10:15,1.216,1.0522358,1.3219220819694997
25,01-02 10:30,1.315,1.1404254,1.3978035455866102
25,01-02 10:45,1.424,1.2381153,1.485070666116524
25,01-02 11:00,1.536,1.3466306,1.5811701739354411
25,01-02 11:15,1.6449999999999998,1.4596903,1.6837745967224418
25,01-02 11:30,1.749,1.575521,1.7909425884332069
25,01-02 11:45,1.863,1.6933275,1.9012006699355557
25,01-02 12:00,1.967,1.8084421,2.013537426052753
25,01-02 12:15,2.076,1.9237554,2.127316556932697
25,01-02 12:30,2.181,2.034299,2.242128812797038
25,01-02 12:45,2.283,2.144778,2.357612292272404
25,01-02 13:00,2.389,2.2525609,2.473274155001993
25,01-02 13:15,2.501,2.3570232,2.588344145181872
25,01-02 13:30,2.618,2.4998202,2.70168248608626
25,01-02 13:45,2.73,2.6122417,2.8117535216440848
25,01-02 14:00,2.84,2.7196512,2.9166644148688605
25,01-02 14:15,2.948,2.8206763,3.014257789021701
25,01-02 14:30,3.042,2.912908,3.1022401572386458
25,01-02 14:45,3.124,2.9942908,3.178325261420597
25,01-02 15:00,3.196,3.0609732,3.240372999427908
25,01-02 15:15,3.247,3.1122215,3.2865093174444926
25,01-02 15:30,3.278,3.1458473,3.3152187054176045
25,01-02 15:45,3.291,3.1594737,3.3254070982143973
25,01-02 16:00,3.279,3.1547723,3.3164375685317773
25,01-02 16:15,3.238,3.1274953,3.2881434967107093
25,01-02 16:30,3.178,3.0796123,3.240823945609974
25,01-02 16:45,3.094,3.0114608,3.175224401817871
25,01-02 17:00,2.997,2.9240773,3.0925040196502933
25,01-02 17:15,2.886,2.819475,2.99418909993691
25,01-02 17:30,2.764,2.6997163,2.8821125507234657
25,01-02 17:45,2.6230000000000007,2.5655332,2.758340776805729
25,01-02 18:00,2.476,2.4223595,2.625092291645669
25,01-02 18:15,2.33,2.2700272,2.48465543783265
25,01-02 18:30,2.195,2.1138594,2.3393147892821906
25,01-02 18:45,2.045,1.9558201,2.1912959133113112
25,01-02 19:00,1.895,1.7980454,2.042735745915318
25,01-02 19:15,1.755,1.6447968,1.8956810633739771
25,01-02 19:30,1.604,1.4983827,1.7521111825665323
25,01-02 19:45,1.468,1.3964126,1.6139746946162683
25,01-02 20:00,1.33,1.270959,1.4832254082217573
25,01-02 20:15,1.199,1.1560682,1.3618410572567594
25,01-02 20:30,1.075,1.055304,1.2518106509266296
25,01-02 20:45,0.977,0.9697803,1.155082483349078
25,01-02 21:00,0.891,0.9055886,1.0734735786464815
25,01-02 21:15,0.834,0.86007607,1.008551011471514
25,01-02 21:30,0.787,0.83870524,0.9615038594836104
25,01-02 21:45,0.768,0.83745855,0.9330293693068594
25,01-02 22:00,0.766,0.85790235,0.9232569510174684
25,01-02 22:15,0.787,0.8985301,0.9317284393829022
25,01-02 22:30,0.842,0.9562066,0.9574434583730717
25,01-02 22:45,0.902,1.030122,0.998966621707017
25,01-02 23:00,0.977,1.1181104,1.054581162047584
25,01-02 23:15,1.052,1.2129236,1.1224640611890486
25,01-02 23:30,1.137,1.3176029,1.200852998374241
25,01-02 23:45,1.229,1.4250172,1.28817654524555
25,01-03 00:00,1.3249999999999995,1.5326458,1.383125964668949
25,01-03 00:15,1.419,1.641995,1.4846582969950104
25,01-03 00:30,1.509,1.748725,1.591933766760895
25,01-03 00:45,1.611,1.8555585,1.7042032190549066
25,01-03 01:00,1.703,1.9583238,1.8206706087099636
25,01-03 01:15,1.814,2.060502,1.940359632754923
25,01-03 01:30,1.917,2.1627347,2.062011811510648
25,01-03 01:45,2.03,2.2629569,2.1840361695426704
25,01-03 02:00,2.139,2.3419502,2.304519835835656
25,01-03 02:15,2.255,2.4454236,2.421296906977351
25,01-03 02:30,2.372,2.5445147,2.532062255736089
25,01-03 02:45,2.48,2.6382713,2.634509754519517
25,01-03 03:00,2.5849999999999995,2.725041,2.7264719729904217
25,01-03 03:15,2.671,2.8020475,2.806040796035395
25,01-03 03:30,2.754,2.8678536,2.8716546317656357
25,01-03 03:45,2.825,2.9199064,2.9221462537768974
25,01-03 04:00,2.879,2.957832,2.9567536361054847
25,01-03 04:15,2.912,2.9789171,2.975102524228712
25,01-03 04:30,2.928,2.984771,2.9771727289936547
25,01-03 04:45,2.92,2.9719162,2.9632598057795527
25,01-03 05:00,2.896,2.9399412,2.933940521292211
25,01-03 05:15,2.855,2.8894045,2.8900456191484287
25,01-03 05:30,2.795,2.8220127,2.832638469707981
25,01-03 05:45,2.72,2.7371404,2.762994775512669
25,01-03 06:00,2.625999999999999,2.6376045,2.6825775155204195
25,01-03 06:15,2.515,2.5241296,2.5930029345942383
25,01-03 06:30,2.398,2.3998861,2.495997020346651
25,01-03 06:45,2.275,2.2661417,2.3933462250264976
25,01-03 07:00,2.148,2.1262832,2.28684974329315
25,01-03 07:15,2.016,1.9833367,2.1782821702257027
25,01-03 07:30,1.893,1.8399768,2.0693740137374115
25,01-03 07:45,1.768,1.6977931,1.9618134971619663
25,01-03 08:00,1.655,1.5621079,1.857267288724036
25,01-03 08:15,1.54,1.449694,1.7574116548604994
25,01-03 08:30,1.445,1.329796,1.663960898973349
25,01-03 08:45,1.357,1.2200961,1.5786783044190495
25,01-03 09:00,1.281,1.123629,1.5033568737049905
25,01-03 09:15,1.234,1.0426724,1.4397629308465807
25,01-03 09:30,1.196,0.981656,1.38954402526122
25,01-03 09:45,1.177,0.93969166,1.354111634508119
25,01-03 10:00,1.181,0.92118406,1.3345168363069906
25,01-03 10:15,1.204,0.9230437,1.3313414005743769
25,01-03 10:30,1.241,0.9472066,1.3446263238106946
25,01-03 10:45,1.304,0.99153864,1.373854512237518
25,01-03 11:00,1.381,1.0544429,1.4179949693000324
25,01-03 11:15,1.469,1.133055,1.4756043481340404
25,01-03 11:30,1.562,1.2265788,1.5449705546735233
25,01-03 11:45,1.651,1.3279746,1.6242746445403866
25,01-03 12:00,1.751,1.4385428,1.7117435104388457
25,01-03 12:15,1.848,1.5522796,1.8057676788053048
25,01-03 12:30,1.944,1.6669875,1.9049655666753127
25,01-03 12:45,2.041,1.7829633,2.0081863943538103
25,01-03 13:00,2.139,1.8960665,2.114456226358649
25,01-03 13:15,2.226,2.0080671,2.2228826843857976
