future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,01-01 00:00,2.1012251,2.118,2.189648123513276
25,01-01 00:15,2.2307518,2.232,2.3177484901709007
25,01-01 00:30,2.360207,2.353,2.4459727936801747
25,01-01 00:45,2.489298,2.477,2.572907090825997
25,01-01 01:00,2.6107538,2.597,2.696514481710466
25,01-01 01:15,2.7294033,2.71,2.814247384439774
25,01-01 01:30,2.8408532,2.809,2.9232182495468377
25,01-01 01:45,2.937798,2.906,3.020403621636867
25,01-01 02:00,3.0220878,2.99,3.102856829657352
25,01-01 02:15,3.0878997,3.056,3.167908074607044
25,01-01 02:30,3.1334116,3.113,3.213335749726855
25,01-01 02:45,3.159179,3.1529999999999996,3.237498189996739
25,01-01 03:00,3.1617553,3.159,3.239419858643303
25,01-01 03:15,3.1407304,3.144,3.2188297811510016
25,01-01 03:30,3.096177,3.106,3.1761530392660315
25,01-01 03:45,3.0319302,3.045,3.1124587950625253
25,01-01 04:00,2.9433284,2.959,3.029371051556393
25,01-01 04:15,2.840216,2.857,2.928951452094872
25,01-01 04:30,2.7193677,2.731,2.813566597552942
25,01-01 04:45,2.5866957,2.5990000000000006,2.6857549869898576
25,01-01 05:00,2.4445992,2.457,2.5481098993403384
25,01-01 05:15,2.2936034,2.306,2.403193313828355
25,01-01 05:30,2.143923,2.152,2.2534918512899424
25,01-01 05:45,1.9894025,2.006,2.1014188405329444
25,01-01 06:00,1.8427318,1.847,1.9493576978346612
25,01-01 06:15,1.6124157,1.688,1.799732540027744
25,01-01 06:30,1.4596046,1.543,1.6550843242720372
25,01-01 06:45,1.3164276,1.401,1.5181266293800744
25,01-01 07:00,1.187412,1.269,1.3917560491805072
25,01-01 07:15,1.0741929,1.15,1.2789985607848586
25,01-01 07:30,0.9816702,1.039,1.182884363829269
25,01-01 07:45,0.9156179,0.952,1.1062578977970308
25,01-01 08:00,0.8695423,0.892,1.0515443374961757
25,01-01 08:15,0.85478103,0.862,1.020505752472122
25,01-01 08:30,0.86147225,0.864,1.0140267301931398
25,01-01 08:45,0.89352244,0.889,1.0319687681969894
25,01-01 09:00,0.9493068,0.939,1.0731246814665316
25,01-01 09:15,1.0266038,1.011,1.1352898189375935
25,01-01 09:30,1.1186603,1.105,1.2154484131694063
25,01-01 09:45,1.2269585,1.209,1.31005428895187
25,01-01 10:00,1.3455896,1.326,1.4153690095882745
25,01-01 10:15,1.4712359,1.443,1.5278103577501485
25,01-01 10:30,1.6023934,1.5559999999999998,1.6442618771882074
25,01-01 10:45,1.7336254,1.673,1.7623003962605075
25,01-01 11:00,1.863914,1.784,1.880311798618053
25,01-01 11:15,1.9943717,1.89,1.9974833902624467
25,01-01 11:30,2.1245887,1.98,2.113680593066818
25,01-01 11:45,2.2494276,2.082,2.229232905885955
25,01-01 12:00,2.369454,2.179,2.344666329165888
25,01-01 12:15,2.4881675,2.283,2.4604248489010616
25,01-01 12:30,2.5196407,2.386,2.5766217267060925
25,01-01 12:45,2.6408517,2.508,2.6928533195445983
25,01-01 13:00,2.7537706,2.625999999999999,2.8080958854384823
