future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values,Bi_values
25,12-01 00:00,2.4639711,2.42,2.5463791624901733,2.4258633
25,12-01 00:15,2.303349,2.247,2.382226982249651,2.2653103
25,12-01 00:30,2.1469169,2.081,2.220466330511948,2.1080875
25,12-01 00:45,1.9953043,1.92,2.0641708066077062,1.9555649
25,12-01 01:00,1.853283,1.7849999999999997,1.9164719891664213,1.8127068
25,12-01 01:15,1.7240133,1.654,1.780471866250265,1.6815987
25,12-01 01:30,1.6076226,1.5369999999999997,1.659166930829706,1.5640016
25,12-01 01:45,1.506674,1.454,1.5553788022469175,1.4627894
25,12-01 02:00,1.4253764,1.387,1.471684955288498,1.3816965
25,12-01 02:15,1.3656634,1.33,1.4103448034455293,1.3226175
25,12-01 02:30,1.3277738,1.314,1.373220352993029,1.2849306
25,12-01 02:45,1.3159285,1.308,1.3616954715618432,1.2738311
25,12-01 03:00,1.3283541,1.3169999999999995,1.3766018463548133,1.2863823
25,12-01 03:15,1.3681487,1.368,1.41816171054327,1.3264266
25,12-01 03:30,1.4340723,1.444,1.4859566127841335,1.3924289
25,12-01 03:45,1.523516,1.5369999999999997,1.5789280224568736,1.4810954
25,12-01 04:00,1.6369565,1.667,1.695410342531839,1.5943451
25,12-01 04:15,1.7721434,1.805,1.8331912960048409,1.728605
25,12-01 04:30,1.9254841,1.949,1.989590314559684,1.8821952
25,12-01 04:45,2.0935946,2.124,2.1615437038076952,2.0506146
25,12-01 05:00,2.2730057,2.315,2.345686495556772,2.230841
25,12-01 05:15,2.4600873,2.502,2.5384248980398887,2.421126
25,12-01 05:30,2.65009,2.683,2.7359989196846857,2.613961
25,12-01 05:45,2.8414092,2.875,2.934540396478049,2.8070533
25,12-01 06:00,3.028951,3.062,3.1301357479176253,2.9975595
25,12-01 06:15,3.2364035,3.250999999999999,3.318903781139754,3.2333412
25,12-01 06:30,3.3709567,3.436,3.497096128340255,3.3851314
25,12-01 06:45,3.4956996,3.599,3.661221986905192,3.523805
25,12-01 07:00,3.6035411,3.739,3.808190838879527,3.6480207
25,12-01 07:15,3.6959648,3.871,3.935458726808952,3.7545836
25,12-01 07:30,3.7749128,3.975,4.041157761826479,3.84286
25,12-01 07:45,3.833219,4.043,4.124186452622618,3.9132195
25,12-01 08:00,3.8759162,4.079,4.184241208713087,3.963378
25,12-01 08:15,3.903524,4.104,4.221776965085209,3.9940615
25,12-01 08:30,3.9138453,4.102,4.237895895350616,4.005188
25,12-01 08:45,3.9094405,4.079,4.234175540792521,3.9982147
25,12-01 09:00,3.8891869,4.05,4.21245883340273,3.9735487
25,12-01 09:15,3.8550217,4.008,4.174635934376768,3.9320028
25,12-01 09:30,3.8068178,3.952,4.122449908434574,3.8748484
25,12-01 09:45,3.7476285,3.89,4.057354402540216,3.8034682
25,12-01 10:00,3.6721606,3.811,3.98044237733258,3.7192147
25,12-01 10:15,3.5863361,3.724,3.8924524215287626,3.622255
25,12-01 10:30,3.487866,3.643,3.793845742047244,3.5156782
25,12-01 10:45,3.3782768,3.546,3.6849353004228336,3.3991003
25,12-01 11:00,3.259336,3.438,3.5660410453463025,3.2747924
25,12-01 11:15,3.1308234,3.311,3.437642990850596,3.1438594
25,12-01 11:30,2.9950821,3.19,3.300507186863298,3.0066779
25,12-01 11:45,2.8558683,3.054,3.155767375015434,2.866623
25,12-01 12:00,2.712542,2.9,3.0049552230976966,2.7256331
25,12-01 12:15,2.5703073,2.744,2.849982206725453,2.5828714
25,12-01 12:30,2.4052544,2.584,2.693084267430248,2.3953273
25,12-01 12:45,2.2576156,2.417,2.536744637791559,2.2496624
25,12-01 13:00,2.1139123,2.264,2.383610272014928,2.1088486
25,12-01 13:15,1.9753636,2.117,2.2364136947156603,1.973514
25,12-01 13:30,1.8464947,1.977,2.097906037090275,1.8484172
25,12-01 13:45,1.728883,1.861,1.9708005995315427,1.7356225
25,12-01 14:00,1.6227851,1.748,1.8577213061903024,1.6354351
25,12-01 14:15,1.5308051,1.6410000000000002,1.7611481145391132,1.5516616
25,12-01 14:30,1.4567459,1.5720000000000005,1.6833524737721546,1.4871074
25,12-01 14:45,1.4022591,1.513,1.6263198286456857,1.4443696
25,12-01 15:00,1.36744,1.459,1.5916616276281126,1.4198015
25,12-01 15:15,1.3549801,1.444,1.5805247798020114,1.4217829
25,12-01 15:30,1.3645139,1.4419999999999995,1.5935103137458868,1.4433001
25,12-01 15:45,1.3981856,1.478,1.630613913736919,1.4917202
25,12-01 16:00,1.4547127,1.552,1.6911987342693662,1.5623083
25,12-01 16:15,1.532289,1.629,1.774005856460934,1.6521872
25,12-01 16:30,1.6314977,1.726,1.8772012507147673,1.7656056
25,12-01 16:45,1.7503246,1.858,1.9984518476335265,1.8961186
25,12-01 17:00,1.8860577,1.99,2.135018875772438,2.0446198
25,12-01 17:15,2.034214,2.142,2.28385527256948,2.2047868
25,12-01 17:30,2.1934574,2.3,2.44169601559705,2.3741689
25,12-01 17:45,2.3602438,2.463,2.605135036238045,2.5533867
25,12-01 18:00,2.529425,2.623,2.77068875473372,2.7324893
25,12-01 18:15,2.700569,2.796,2.9348522871998157,2.9092827
