Time_Step,Actual_Values,Predicted_Values,Utide_Values,R2_Scores,Utide_R2_Scores
0,1.2455833105147864,1.2330581,1.2721683840752225,,
1,1.0935833105147859,1.0802978,1.1363570103137883,,
2,0.9375833105147865,0.9096062,0.9827833093912348,,
3,0.7365833105147863,0.72318214,0.8132659808445937,,
4,0.5335833105147861,0.5239164,0.6297216211996487,,
5,0.29858331051478626,0.31503567,0.43428060773985794,,
6,0.06758331051478633,0.10012227,0.22940550638825366,,
7,-0.15141668948521345,-0.1170793,0.017978032556645564,,
8,-0.3874166894852137,-0.33270994,-0.1966712468793884,,
9,-0.6344166894852138,-0.5429339,-0.4108027597030409,,
10,-0.8644166894852139,-0.7438683,-0.6203740866490645,,
11,-1.0664166894852138,-0.9316908,-0.8211954718475303,,
12,-1.262416689485214,-1.1026388,-1.009109157153327,,
13,-1.4424166894852135,-1.2532243,-1.1801651126540813,,
14,-1.5874166894852133,-1.3802954,-1.330770431467763,,
15,-1.7244166894852138,-1.4810768,-1.4577993370474651,,
16,-1.8364166894852134,-1.5530306,-1.558662247902182,,
17,-1.9074166894852136,-1.5944014,-1.6313424006499628,,
18,-1.9574166894852136,-1.6038232,-1.6744145145445228,,
19,-1.9554166894852136,-1.5810391,-1.6870602481375485,,
20,-1.9364166894852135,-1.5263231,-1.6690900197352,0.9677510842252589,0.9629365804274347
21,-1.8534166894852133,-1.4412504,-1.6209719578049722,0.9630711063390061,0.9628099724829428
22,-1.7724166894852136,-1.3281113,-1.543859083927858,0.9574332952441971,0.9623735647145574
23,-1.6454166894852138,-1.1897911,-1.4395985593391862,0.9513241841032045,0.9618880307528013
24,-1.5154166894852137,-1.030203,-1.3107044621245663,0.9440970936382383,0.9611042336478334
25,-1.340416689485214,-0.8532032,-1.1602793266037588,0.9365307456767078,0.9603423528751505
26,-1.157416689485214,-0.6631244,-0.9918791706212512,0.9284718318090297,0.9595429971667779
27,-0.9594166894852141,-0.4640226,-0.8093296897414628,0.9202005662966937,0.9587958404618804
28,-0.7364166894852137,-0.2598745,-0.6165144970021796,0.9125660190667955,0.9583301682675028
29,-0.5104166894852136,-0.05388396,-0.41716619646658215,0.9058873852440844,0.9581980151812641
30,-0.2664166894852138,0.15079175,-0.21469454892290535,0.9010996266885322,0.9585568444501555
31,-0.050416689485213516,0.35170287,-0.012081642081990404,0.8976924205923469,0.9592946234965082
32,0.1535833105147861,0.54669356,0.18813776070758115,0.8956515064247167,0.9603970247362357
33,0.34958331051478647,0.7335909,0.38380954252746113,0.8950338976938625,0.9618376326595011
34,0.5245833105147863,0.91063863,0.5730244742142451,0.8954310809415575,0.9634950453651767
35,0.6885833105147864,1.0757189,0.7539461206288062,0.8967259846394992,0.9652764929238182
36,1.0895833105147859,1.2268499,0.924644139025935,0.9041372085529066,0.967235057436393
37,1.2285833105147865,1.3619478,1.0829745998248241,0.9112023208410855,0.9692935751662661
38,1.350583310514786,1.4788754,1.2265394815735993,0.9177612861502686,0.9713510638524158
39,1.4435833105147862,1.5756403,1.3527406569692608,0.9236113893840326,0.9733452927506231
40,1.525583310514786,1.6504786,1.4589229792577032,0.9288477296498013,0.9751910592338568
41,1.5325833105147864,1.7009549,1.542581165868473,0.9329716035093699,0.9767994234723759
42,1.5485833105147864,1.7262335,1.6015906989588296,0.9364223284291433,0.9781268252022597
43,1.5205833105147861,1.7252947,1.6344171092883977,0.9390762358207893,0.9790625502590317
44,1.458583310514786,1.6975513,1.6402622108856812,0.9409255718961808,0.9794993643380404
45,1.379583310514786,1.6429875,1.6191192299828654,0.9421246316793891,0.9794392689463188
46,1.288583310514786,1.5620383,1.5717281853847156,0.942859366806938,0.9789571636990531
47,1.1735833105147857,1.455705,1.4994439897184402,0.943172218694541,0.9780325952975272
48,1.0425833105147861,1.3254268,1.4040477600717152,0.9431668387142373,0.9767066512089941
49,0.8835833105147859,1.1732013,1.2875427114489693,0.9428157913546386,0.9748754714805112
50,0.7125833105147861,1.0012147,1.1519775141354782,0.9422247421299823,0.9725837478590035
51,0.5095833105147859,0.8122153,0.9993319127323297,0.9413062317497394,0.9696090102123155
52,0.3135833105147861,0.60922813,0.8314838498752438,0.9402941017623255,0.9662082568583567
53,0.08658331051478625,0.39562657,0.650258112552117,0.9390815991047512,0.9621211720720874
54,-0.15641668948521378,0.17515048,0.45753796307471956,0.9376694831848102,0.9572634432438327
55,-0.3714166894852138,-0.04818066,0.2554076042909574,0.9363942473056611,0.9522504519801833
56,-0.599416689485214,-0.27012548,0.04628757755859869,0.9352208691957585,0.9470621009746187
57,-0.8054166894852136,-0.48641634,-0.16697193507037889,0.9343426091706466,0.9422061318351864
58,-0.9864166894852138,-0.69262606,-0.38106441523698087,0.9338946025519249,0.9381431146398057
59,-1.1644166894852137,-0.88450474,-0.5922761016224167,0.9338121308810869,0.9349009613935216
60,-1.3414166894852135,-1.0580915,-0.7966039471854388,0.9339961964713421,0.9324153973681438
61,-1.4744166894852135,-1.2096478,-0.9899222576919681,0.9345186410884959,0.9309970646632542
62,-1.5774166894852135,-1.335925,-1.1681702972448855,0.9353252024481106,0.9306049792691855
63,-1.6814166894852138,-1.434239,-1.3275328062049225,0.9362342427533001,0.9308986610692285
64,-1.741416689485214,-1.5024027,-1.4645914377914115,0.9372200733002471,0.9318030613815901
65,-1.7674166894852137,-1.5390136,-1.5764354217134036,0.9382163752283568,0.9331045603652085
66,-1.7784166894852138,-1.5433867,-1.6607313008735909,0.9391086937792773,0.9345576859441711
67,-1.7604166894852138,-1.5155181,-1.7157609174518385,0.9398362533850498,0.9359868145862486
68,-1.6814166894852138,-1.4563484,-1.7404415433602975,0.9404566407884751,0.937159370791285
69,-1.600416689485214,-1.3675361,-1.7343411948286171,0.9408634384553413,0.93798184032434
70,-1.491416689485214,-1.2516222,-1.697696243661139,0.9410496593149699,0.9383524532018562
71,-1.360416689485214,-1.1117373,-1.6314296398161392,0.9410102853186104,0.9382254276222699
72,-1.2204166894852138,-0.951424,-1.537159368082367,0.9407094454850695,0.9376718656570039
73,-1.0384166894852138,-0.7747855,-1.4171811343035616,0.9402759993192324,0.9365350646796735
74,-0.8454166894852138,-0.585865,-1.2744089902832818,0.9397397063197505,0.9348792911302783
75,-0.6414166894852138,-0.38871673,-1.112263278730774,0.9391559240432487,0.9327747289731552
76,-0.42641668948521383,-0.18703756,-0.9345059284914332,0.9386030968472778,0.9302833827719835
77,-0.1864166894852138,0.015723359,-0.7450362944398015,0.9382372796676106,0.9273051550325502
78,0.03958331051478604,0.2167163,-0.5476728169633512,0.9380506255489904,0.9241202804233565
79,0.23958331051478646,0.41346228,-0.34595344065800293,0.9379993485262699,0.9211240447458939
80,0.4135833105147866,0.60389704,-0.14298848552098836,0.9380312915788322,0.9186507166645186
81,0.5835833105147862,0.78625727,0.058607596249359406,0.9381806253285425,0.9167517105671622
82,0.7415833105147861,0.9589482,0.2566932049651714,0.938442495373682,0.9155020256098306
83,0.8975833105147861,1.1203554,0.4494909578749335,0.9388646656269062,0.9148596888254753
84,1.0545833105147864,1.2689297,0.6354172248814399,0.9395127024252639,0.9147511883719458
85,1.1915833105147864,1.4029698,0.8128875052475213,0.9403340188952409,0.9151954748963615
86,1.3205833105147864,1.520629,0.9801415049945001,0.9413400479811376,0.9161138555182513
87,1.4155833105147866,1.6198665,1.135128692618449,0.942409710027664,0.9174830423580119
88,1.5035833105147869,1.6988419,1.2754829572556663,0.9435685499455057,0.9191648686387379
89,1.5775833105147865,1.7555159,1.3985962929083802,0.9448070520399441,0.9210457725870593
90,1.6055833105147856,1.788233,1.5017803968675125,0.9459803940695307,0.9230129536658999
91,1.595583310514786,1.7955799,1.5824862335151246,0.9470001398010038,0.9248994491855153
92,1.5795833105147865,1.7765741,1.638539262241125,0.9479313723836416,0.9266025832990552
93,1.5095833105147858,1.7307177,1.6683450381923555,0.9486338571162307,0.9279118113734912
94,1.4275833105147862,1.6581333,1.6710267825569571,0.949161033269398,0.9287615279088448
