future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
35,0,1.2455833105147864,1.3378168,1.2721683840752225
35,1,1.0935833105147859,1.1915106,1.136357010313788
35,2,0.9375833105147865,1.0199891,0.982783309391235
35,3,0.7365833105147863,0.8511063,0.8132659808445936
35,4,0.5335833105147861,0.66271716,0.6297216211996488
35,5,0.29858331051478626,0.44466162,0.4342806077398579
35,6,0.06758331051478633,0.24234201,0.2294055063882535
35,7,-0.15141668948521345,0.031354483,0.0179780325566456
35,8,-0.3874166894852137,-0.16156103,-0.1966712468793883
35,9,-0.6344166894852138,-0.40072978,-0.410802759703041
35,10,-0.8644166894852139,-0.6035375,-0.6203740866490645
35,11,-1.0664166894852138,-0.79606974,-0.8211954718475303
35,12,-1.262416689485214,-0.9650086,-1.009109157153327
35,13,-1.4424166894852135,-1.1035074,-1.1801651126540813
35,14,-1.5874166894852133,-1.2487175,-1.330770431467763
35,15,-1.7244166894852138,-1.3711385,-1.4577993370474651
35,16,-1.8364166894852134,-1.4440128,-1.558662247902182
35,17,-1.9074166894852136,-1.5138084,-1.6313424006499628
35,18,-1.9574166894852136,-1.5529772,-1.6744145145445228
35,19,-1.9554166894852136,-1.544172,-1.6870602481375483
35,20,-1.9364166894852135,-1.5193411,-1.6690900197352
35,21,-1.8534166894852133,-1.5037042,-1.6209719578049722
35,22,-1.7724166894852136,-1.4225581,-1.543859083927858
35,23,-1.6454166894852138,-1.310135,-1.4395985593391862
35,24,-1.5154166894852137,-1.2021163,-1.3107044621245665
35,25,-1.340416689485214,-1.070233,-1.1602793266037588
35,26,-1.157416689485214,-0.89204806,-0.9918791706212512
35,27,-0.9594166894852141,-0.7375956,-0.8093296897414628
35,28,-0.7364166894852137,-0.55860424,-0.6165144970021798
35,29,-0.5104166894852136,-0.3737355,-0.4171661964665821
35,30,-0.2664166894852138,-0.19381256,-0.2146945489229054
35,31,-0.050416689485213516,0.014735539,-0.0120816420819906
35,32,0.1535833105147861,0.20049705,0.188137760707581
35,33,0.34958331051478647,0.3811363,0.3838095425274613
35,34,0.5245833105147863,0.56223726,0.573024474214245
35,35,0.6885833105147864,0.7295634,0.7539461206288063
35,36,1.0895833105147859,0.88038224,0.9246441390259352
35,37,1.2285833105147865,1.0343128,1.082974599824824
35,38,1.350583310514786,1.1569299,1.226539481573599
35,39,1.4435833105147862,1.2895874,1.352740656969261
