Time_Step,Actual_Values,Predicted_Values,Utide_Values,Step_MSE,Step_MAE,Step_R2_Actual_vs_Predicted,Step_R2_Actual_vs_Utide
0,0.3285833105147867,0.31316796,0.0537140881480574,0.00023763304839896545,0.01541535106311126,,
1,0.4685833105147862,0.43326247,0.1939901123020195,0.0012475619594457023,0.03532084313044781,,
2,0.6075833105147866,0.54285115,0.33184988029062146,0.004190252600269752,0.06473216047892849,,
3,0.7545833105147863,0.6441416,0.46561239197465276,0.012197368232515314,0.11044169607768306,,
4,0.8985833105147862,0.73857194,0.5938987100524905,0.02560363810115581,0.16001136866221666,,
5,1.0555833105147863,0.8263606,0.7154932634596468,0.05254305866932756,0.22922272720942738,,
6,1.1745833105147863,0.9066105,0.8291865366653152,0.07180943312869116,0.2679728216231847,,
7,1.266583310514786,0.97805285,0.9336403334784626,0.08324982402619284,0.28853045597682203,,
8,1.4095833105147861,1.039391,1.0273110308601978,0.13704231655510274,0.3701922697127842,,
9,1.471583310514787,1.0895435,1.1084522717301293,0.14595444600630655,0.3820398487151655,,
10,1.5495833105147863,1.127683,1.175199745425885,0.17799983532409194,0.4219002670348668,,
11,1.6155833105147863,1.1532475,1.2257216087138672,0.2137544242240823,0.46233583489070185,,
12,1.6525833105147858,1.1657888,1.2584030849468504,0.23696892494567393,0.48679454079280093,,
13,1.6485833105147865,1.1649219,1.272026327234025,0.23392837959166907,0.4836614307464149,,
14,1.6455833105147861,1.1502652,1.265908381199823,0.24534001393411356,0.49531809368739355,,
15,1.6345833105147862,1.1214398,1.2399703270855644,0.2633162474329349,0.5131434959472203,,
16,1.5565833105147868,1.0784309,1.1947268206212585,0.22862973625247354,0.4781524194777995,,
17,1.477583310514786,1.0213054,1.1312032794873905,0.20818949342745366,0.4562778686584017,,
18,1.3815833105147866,0.950387,1.05080348977875,0.18593025730674767,0.4311963094771889,,
19,1.2555833105147864,0.86634,0.9551598577380049,0.15151036913896573,0.3892433289588477,,
20,1.1355833105147861,0.76999265,0.8459997988077845,0.13365653138086245,0.3655906609595798,0.16798231173754086,0.27519667073984777
21,1.0015833105147862,0.6624411,0.7250548773789125,0.11501745601294723,0.33914223566661117,0.1473724585530295,0.26415148737356875
22,0.8365833105147864,0.5450135,0.5940263598366597,0.08501296178674782,0.29156982317576663,0.15832360436270498,0.27766271707006573
23,0.6645833105147865,0.4192422,0.45460519353489437,0.06019225892096442,0.24534110727916025,0.20480539943402298,0.3195117307352219
24,0.4975833105147864,0.28677285,0.30853018534133064,0.044441051453283226,0.21081046333918824,0.2785204188378214,0.3831231523094518
25,0.30558331051478604,0.1494293,0.15765892119027866,0.024384073004859137,0.15615400412688474,0.37439443598141375,0.46489137841392925
26,0.13458331051478614,0.009108855,0.004023804810255592,0.015743838889098218,0.12547445512572755,0.4710773914553814,0.546989186605453
27,-0.06841668948521375,-0.13215713,-0.15014908510966152,0.004062844015745713,0.06374044254431964,0.5647283277538313,0.6267586523458144
28,-0.23341668948521385,-0.2723828,-0.3024694307177275,0.0015183574421690498,0.03896610632548561,0.6425924201511646,0.693134779565981
29,-0.4164166894852136,-0.40952566,-0.4504577187984724,4.748625069756133e-05,0.006891026824614843,0.7071492242517003,0.7484588715705366
30,-0.5884166894852139,-0.5416214,-0.5916504355004716,0.0021898003342285333,0.04679530248036157,0.7585965606015821,0.792791649525491
31,-0.7314166894852139,-0.66669816,-0.723711635374877,0.004188488345130906,0.06471853169789088,0.7982852090842756,0.8270833385600311
32,-0.8774166894852138,-0.78292143,-0.8445255821203393,0.008929353413389001,0.09449525603642228,0.8293541840821697,0.8540695167387322
33,-1.0084166894852136,-0.8885515,-0.9522506722062521,0.014367669975000696,0.11986521586765986,0.8536196640275184,0.8752391301504829
34,-1.113416689485214,-0.9820232,-1.0453259180497585,0.017264254458062532,0.13139350995411658,0.872539630872971,0.8917648263043996
35,-1.1804166894852135,-1.0619439,-1.1224349799727935,0.01403580453436473,0.1184728008209679,0.8873114127864783,0.9046075640085726
36,-1.2594166894852137,-1.1270704,-1.182445222174053,0.01751553320944365,0.1323462625442957,0.89913463497978,0.9148930421818756
37,-1.3064166894852138,-1.1764586,-1.224347089337244,0.01688910575477159,0.1299580923019863,0.9086010181849765,0.9230912268260221
38,-1.346416689485214,-1.2094027,-1.2472200369956352,0.01877283868641598,0.1370140090881804,0.9162472282873809,0.9296774205403676
39,-1.3514166894852138,-1.2254256,-1.2502447098227671,0.015873754376289406,0.12599108847965956,0.9224289398423143,0.9349406950961838
40,-1.342416689485214,-1.2244018,-1.2327685810818148,0.013927506675319945,0.118014857858322,0.9274488167498308,0.939143402127593
41,-1.2964166894852136,-1.2063913,-1.19441696862895,0.008104564534147563,0.0900253549515222,0.9315160517477701,0.9424805629359951
42,-1.2024166894852135,-1.1717799,-1.135227122482163,0.0009386146476962478,0.030636818498275042,0.9347296132516291,0.945106295712143
43,-1.1234166894852138,-1.1212091,-1.0557737966956282,4.873254454295258e-06,0.0022075448929286257,0.9372711790667514,0.9471573439438516
44,-1.0014166894852135,-1.0555936,-0.9572530016365579,0.0029351386958647785,0.05417692032466204,0.9391084476817166,0.948714633205527
45,-0.9024166894852136,-0.9760261,-0.8414972895628481,0.005418347937074985,0.07360942831645267,0.9404680966217843,0.9498750463788105
46,-0.7474166894852137,-0.88388234,-0.7109097278215429,0.018622874799121947,0.13646565428385982,0.941142013685915,0.9506950269629604
47,-0.6074166894852139,-0.7805426,-0.5683214392055843,0.029972585072843578,0.17312592259059179,0.9413067292654228,0.951243229788943
48,-0.42341668948521377,-0.6675745,-0.4167950723457346,0.059613048584401675,0.2441578353942418,0.9406659038718539,0.9515659556173889
49,-0.2584166894852139,-0.5466271,-0.2594095699425507,0.08306524319755405,0.28821041479716525,0.9394364611469691,0.9517301967153007
