future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
20,0,1.411,1.80822,2.0427559273410854
20,1,1.514,1.9715272,2.222306107732825
20,2,1.643,2.140588,2.4014633876452263
20,3,1.757,2.3145144,2.5773318744581686
20,4,1.926,2.4893234,2.7476089265533536
20,5,2.052,2.660999,2.9105910357804445
20,6,2.203,2.8308077,3.0650798020327814
20,7,2.361,2.9927776,3.210207288856305
20,8,2.459,3.1480153,3.3452170382950364
20,9,2.586,3.2935033,3.4692468483752394
20,10,2.722,3.4256182,3.581159564841864
20,11,2.8369999999999997,3.5442224,3.6794584273872193
20,12,2.93,3.647086,3.76230606742269
20,13,3.0510000000000006,3.7324715,3.827644742537111
20,14,3.198,3.8000984,3.8733945652612936
20,15,3.291,3.846822,3.8976909708343066
20,16,3.4090000000000003,3.8741322,3.8991156965569833
20,17,3.49,3.8788002,3.876878523969854
20,18,3.549,3.8634121,3.830919073626438
20,19,3.597,3.8262856,3.761916020847266
20,20,3.6440000000000006,3.7745864,3.671211017299193
20,21,3.628,3.69094,3.5606717413245743
20,22,3.622,3.587685,3.4325290569042664
20,23,3.5819999999999994,3.467108,3.2892251567408843
20,24,3.519,3.3328073,3.1333026577345264
20,25,3.4809999999999994,3.1859107,2.9673510113303507
20,26,3.42,3.027109,2.7940099087817134
20,27,3.292,2.8614113,2.6160136524354134
20,28,3.222,2.6892946,2.4362496538973746
20,29,3.101,2.5140145,2.257800832648602
20,30,2.971,2.3402812,2.083946160461252
20,31,2.827,2.1702073,1.91810471283824
20,32,2.701,2.0059404,1.7637233828425054
20,33,2.543,1.8520253,1.6241229259142491
20,34,2.416,1.7091026,1.50232775909508
20,35,2.289,1.5811765,1.4009093042416394
20,36,2.16,1.470222,1.3218695757081906
20,37,2.067,1.3792135,1.266582273869204
20,38,1.972,1.3074756,1.2357953437272826
20,39,1.893,1.2581058,1.2296851831651914
20,40,1.823,1.2526251,1.2479420552558684
20,41,1.786,1.2517631,1.2898613382823343
20,42,1.781,1.272023,1.3544171490903616
20,43,1.767,1.3151566,1.4403029817044173
20,44,1.802,1.3782336,1.5459359717868455
20,45,1.84,1.4593823,1.6694340254624664
20,46,1.908,1.5593636,1.8085849029295
20,47,1.9759999999999998,1.6737374,1.9608306740863937
20,48,2.084,1.8030638,2.123288629720507
20,49,2.198,1.9442095,2.292821156641847
20,50,2.322,2.0935676,2.4661543610484054
20,51,2.446,2.2507102,2.640031749922678
20,52,2.566,2.4119308,2.8113784432251774
20,53,2.729,2.5743787,2.9774460780258782
