future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
25,0,1.614,1.6207192,1.7907617014734416
25,1,1.6199999999999999,1.593602,1.7617143588775876
25,2,1.5659999999999998,1.5561194,1.7295357178384263
25,3,1.508,1.5163766,1.6984410339832838
25,4,1.451,1.4773096,1.6730410437400995
25,5,1.419,1.4499638,1.6576048055688068
25,6,1.3950000000000002,1.4385662,1.655294129849446
25,7,1.419,1.4496181,1.6675070056491634
25,8,1.4710000000000003,1.4798108,1.6934549857131391
25,9,1.5659999999999998,1.529986,1.7300631630434076
25,10,1.643,1.5890435,1.7722276360466966
25,11,1.67,1.6517781,1.8134041443917803
25,12,1.706,1.703585,1.846444393497858
25,13,1.7469999999999999,1.7355385,1.8645541129693533
25,14,1.7590000000000001,1.7384361,1.8622267859657604
25,15,1.7300000000000002,1.709218,1.836012513293292
25,16,1.706,1.6479579,1.785010794952374
25,17,1.607,1.5531882,1.7110229141310038
25,18,1.5000000000000002,1.4366827,1.618354798442115
25,19,1.361,1.3062773,1.5133143826062558
25,20,1.226,1.1737124,1.4034894826703046
25,21,1.083,1.0517262,1.2969165840486758
25,22,0.9750000000000001,0.9514225,1.2012553726578787
25,23,0.894,0.88161695,1.123069936185083
25,24,0.842,0.8475501,1.0672900885556578
25,25,0.796,0.80392635,1.036892119567465
25,26,0.7880000000000001,0.828099,1.032804416050719
25,27,0.797,0.88186526,1.0540154859357391
25,28,0.886,0.9597389,1.0978434213109174
25,29,0.951,1.057809,1.1603173735753602
25,30,1.04,1.1677892,1.2366215600194677
25,31,1.17,1.2813514,1.32155762377561
25,32,1.272,1.3913981,1.4099883993934883
25,33,1.372,1.4926003,1.4972328074275123
25,34,1.454,1.5790764,1.5793865601992358
25,35,1.537,1.6482211,1.653547089538944
25,36,1.612,1.7017773,1.7179253893559665
25,37,1.641,1.7399037,1.7718342429877223
25,38,1.651,1.7664225,1.8155529992787007
25,39,1.673,1.7834176,1.8500837216699528
25,40,1.699,1.7956171,1.8768302845366327
25,41,1.705,1.8046446,1.897247505378284
25,42,1.731,1.811771,1.912517560797112
25,43,1.728,1.8170816,1.923311891994839
25,44,1.724,1.8202382,1.9296863289406416
25,45,1.733,1.8197846,1.931135465384121
25,46,1.729,1.813818,1.9268023967585624
25,47,1.69,1.8005717,1.915807274534865
25,48,1.66,1.7795498,1.8976296112649729
25,49,1.635,1.7513398,1.872461642332215
25,50,1.6,1.6742454,1.8414483473064645
25,51,1.5659999999999998,1.627851,1.8067458541455423
25,52,1.53,1.5813345,1.771361991322722
25,53,1.497,1.5426582,1.7387851518771609
25,54,1.462,1.5140074,1.712452094157181
25,55,1.425,1.5005352,1.695142614338938
25,56,1.4239999999999997,1.5015906,1.688410958916834
25,57,1.426,1.518952,1.6921650118083238
25,58,1.462,1.5459996,1.7044835360342994
25,59,1.536,1.578288,1.7217224049756272
25,60,1.582,1.6067798,1.7389101369212858
25,61,1.597,1.6273788,1.750380941851794
25,62,1.606,1.629783,1.750550077568074
25,63,1.595,1.6093605,1.734710098432823
25,64,1.5760000000000003,1.5627121,1.6997225082483485
25,65,1.538,1.4912258,1.64449788092351
25,66,1.432,1.396731,1.5701946271020035
25,67,1.301,1.2829709,1.4801146085479642
25,68,1.179,1.1593322,1.3793233022252682
25,69,1.046,1.0342671,1.274063820349885
25,70,0.929,0.91540813,1.1710606527020777
25,71,0.8160000000000001,0.8118108,1.0768168722416267
25,72,0.727,0.73172206,0.9969979678971236
25,73,0.664,0.68048805,0.9359705469087348
25,74,0.604,0.66048956,0.8965313710563607
25,75,0.578,0.69476753,0.8798288085116671
25,76,0.584,0.73324275,0.8854513928967438
25,77,0.6340000000000001,0.79570806,0.9116409923227464
25,78,0.7,0.8768514,0.955582415762094
25,79,0.764,0.9705271,1.0137256379777992
25,80,0.859,1.0699024,1.08210748601633
25,81,0.953,1.1697928,1.1566521177727305
25,82,1.059,1.262688,1.2334398555078294
25,83,1.171,1.34518,1.3089393641950513
25,84,1.264,1.4139915,1.3801984896148174
25,85,1.335,1.467725,1.4449858883601916
25,86,1.377,1.5084201,1.5018718866561107
25,87,1.409,1.5369927,1.550236132625259
25,88,1.435,1.557218,1.5901938457667018
25,89,1.4459999999999997,1.5700496,1.6224424274468183
25,90,1.464,1.5807731,1.648044381240067
25,91,1.473,1.5893606,1.668177457670212
25,92,1.482,1.5962555,1.683894358916214
25,93,1.492,1.6025766,1.695938144674532
25,94,1.506,1.605606,1.7046530610065354
25,95,1.509,1.6053401,1.7100137509369369
25,96,1.4899999999999998,1.6018602,1.7117713353243598
25,97,1.485,1.5941616,1.7096876484855936
25,98,1.484,1.5817859,1.7038052693304364
25,99,1.482,1.5665164,1.69468699283559
25,100,1.4780000000000002,1.5357207,1.6835583652454955
25,101,1.467,1.5138984,1.6723022363890954
25,102,1.447,1.4957958,1.663282788582184
25,103,1.441,1.4874865,1.659012764731714
25,104,1.447,1.4904084,1.6617140419140473
25,105,1.487,1.5089818,1.6728501405629863
25,106,1.514,1.5423651,1.6927229508521242
25,107,1.565,1.5874877,1.7202210460806553
25,108,1.643,1.6377968,1.7527835508779397
25,109,1.728,1.6885481,1.7866058075356217
25,110,1.787,1.7297829,1.8170684048633132
25,111,1.804,1.7574914,1.839328593988582
25,112,1.8249999999999997,1.7623563,1.8489814354830447
25,113,1.831,1.7417327,1.84268371879911
25,114,1.801,1.6932831,1.8186396703713552
25,115,1.768,1.6207812,1.7768722844432778
25,116,1.6910000000000003,1.5296456,1.7192425132551965
25,117,1.603,1.4228272,1.6492225422558495
25,118,1.497,1.3128681,1.5714700630758702
25,119,1.403,1.2065415,1.4912800792934455
25,120,1.299,1.1131765,1.4140041586670529
25,121,1.197,1.039508,1.3445228220233951
25,122,1.141,0.9905728,1.2868373541209557
25,123,1.091,0.96850896,1.2438180920292865
25,124,1.052,0.9740647,1.2171143438201344
25,125,1.034,0.962855,1.207203462682794
25,126,1.037,1.0161521,1.21353848057266
25,127,1.07,1.0881407,1.2347476596805422
25,128,1.138,1.1717294,1.268844658396278
25,129,1.213,1.2627028,1.31342140025237
25,130,1.316,1.3530349,1.365812248241064
25,131,1.397,1.4376577,1.4232325315779946
25,132,1.501,1.5113046,1.4829029418411697
25,133,1.559,1.5733498,1.5421720100601746
25,134,1.614,1.6205206,1.5986425280860848
25,135,1.642,1.6541182,1.6502973777665686
25,136,1.668,1.6777222,1.6956098723081845
25,137,1.6760000000000002,1.6919302,1.733617495605535
25,138,1.697,1.701039,1.7639387098262456
25,139,1.714,1.7053969,1.7867208838843809
25,140,1.727,1.7077458,1.802521638472024
25,141,1.7249999999999999,1.7084669,1.812142299729947
25,142,1.724,1.7075332,1.8164459500127776
25,143,1.715,1.7037227,1.8161994135113413
25,144,1.7099999999999997,1.6967392,1.8119756649520788
25,145,1.694,1.6856089,1.8041403187635048
25,146,1.678,1.6701787,1.7929255295522428
25,147,1.668,1.649871,1.7785715183038726
25,148,1.6540000000000001,1.6262681,1.761495870820706
25,149,1.6370000000000002,1.6018257,1.7424392451655213
25,150,1.628,1.5558175,1.722536859882456
25,151,1.601,1.5323594,1.7032789621878552
25,152,1.567,1.515575,1.6863479995009856
25,153,1.5659999999999998,1.5107522,1.6733501900982175
25,154,1.558,1.5153357,1.66548772623198
25,155,1.57,1.5312122,1.6632379765470209
25,156,1.602,1.5548307,1.6661124267254603
25,157,1.638,1.5818005,1.672558371267729
25,158,1.667,1.6068567,1.6800418311307324
25,159,1.709,1.6233844,1.6853156073304276
25,160,1.717,1.6256613,1.684839042371511
25,161,1.705,1.6130244,1.675284032734229
25,162,1.683,1.5787976,1.6540422207548804
25,163,1.6590000000000003,1.5237477,1.6196455230236897
25,164,1.601,1.4487405,1.5720270065317348
25,165,1.516,1.3595337,1.5125784855147284
25,166,1.413,1.2602779,1.4439988047407777
25,167,1.3019999999999998,1.1553309,1.3699646452291647
25,168,1.189,1.0541325,1.294685885556659
25,169,1.079,0.96267396,1.2224240998163949
25,170,0.982,0.88614374,1.1570528818124526
25,171,0.908,0.82997066,1.1017231967670469
25,172,0.8439999999999999,0.7973137,1.0586702771302456
25,173,0.8049999999999999,0.78940684,1.0291672906080067
25,174,0.779,0.80576235,1.0136023057563608
25,175,0.791,0.8686173,1.0116352121547807
25,176,0.8169999999999998,0.9217874,1.0223838699273502
25,177,0.851,0.98809105,1.044594302952162
25,178,0.903,1.0635738,1.076765526022378
25,179,0.9700000000000001,1.1412096,1.1172205056148496
25,180,1.042,1.2177114,1.1641348123803368
25,181,1.124,1.2882117,1.2155483468097714
25,182,1.19,1.3491038,1.2693896803099611
25,183,1.26,1.3996984,1.3235364950648143
25,184,1.308,1.4383944,1.3759215377408924
25,185,1.338,1.4647677,1.4246758202444878
25,186,1.357,1.4830263,1.4682848961635238
25,187,1.362,1.4930626,1.5057246569339475
25,188,1.3660000000000003,1.4990059,1.536543185876345
25,189,1.378,1.500886,1.5608651336423325
25,190,1.3849999999999998,1.5026159,1.579312350831574
25,191,1.391,1.5055207,1.5928546153908258
25,192,1.3950000000000002,1.5083058,1.6026218091114235
25,193,1.3919999999999997,1.5125057,1.609718912327239
25,194,1.3919999999999997,1.5158767,1.615084713054173
25,195,1.391,1.5191718,1.6194238967375914
25,196,1.4069999999999998,1.5224478,1.6232227797402283
25,197,1.4239999999999997,1.5254313,1.6268362437045878
25,198,1.436,1.5274719,1.630613330729965
25,199,1.448,1.5297953,1.635016909031546
25,200,1.465,1.5137104,1.6406923589942166
25,201,1.466,1.5197308,1.648452025632512
25,202,1.489,1.5322366,1.6591637531795156
25,203,1.5069999999999997,1.5537106,1.6735580665181868
25,204,1.556,1.5829123,1.6919930007188977
25,205,1.6,1.6204171,1.7142318952832385
25,206,1.656,1.663352,1.7392931210868563
25,207,1.726,1.7059528,1.7654201315460047
25,208,1.788,1.7432054,1.790197264484788
25,209,1.817,1.7704085,1.8108062706299777
25,210,1.842,1.781984,1.824387497001601
25,211,1.854,1.7762346,1.828445172432047
25,212,1.866,1.7486346,1.8212241344539084
25,213,1.8570000000000002,1.7006851,1.8019886335024144
25,214,1.82,1.6334244,1.7711519950678858
25,215,1.7639999999999998,1.5523342,1.730234982026733
25,216,1.675,1.4633782,1.681664191758918
25,217,1.589,1.3702455,1.628452282771983
25,218,1.496,1.2823913,1.573822603060591
25,219,1.418,1.20453,1.520847485599931
25,220,1.342,1.1428598,1.4721610999283257
25,221,1.263,1.1003445,1.4297868114322896
25,222,1.215,1.0784737,1.3950907936150023
25,223,1.174,1.0770158,1.3688450897426236
25,224,1.156,1.0951025,1.3513611224435291
25,225,1.161,1.1246661,1.3426436983155148
25,226,1.168,1.180294,1.34251790693772
25,227,1.192,1.2450985,1.350695619008912
25,228,1.24,1.3124938,1.3667702975476457
25,229,1.286,1.3795766,1.3901525462364903
25,230,1.337,1.4402404,1.4199779415893994
25,231,1.4,1.4921658,1.4550283317312591
25,232,1.441,1.5321256,1.4937055797513137
25,233,1.48,1.5625112,1.5340834195559032
25,234,1.509,1.5814656,1.574042338409684
25,235,1.5320000000000003,1.5919459,1.6114697022409517
25,236,1.542,1.5970684,1.6444886716773208
25,237,1.538,1.5974427,1.671669765637509
25,238,1.541,1.5964575,1.6921807469718084
25,239,1.535,1.5932373,1.705843434138034
25,240,1.527,1.5888776,1.7130868524552818
25,241,1.52,1.5837562,1.714809520781538
25,242,1.511,1.5778122,1.712183728732547
25,243,1.502,1.5702659,1.7064463590469143
25,244,1.494,1.5609623,1.6987212564754992
25,245,1.481,1.5506994,1.6899073808291687
25,246,1.486,1.5403924,1.6806479135894814
25,247,1.491,1.5298392,1.6713731678526866
25,248,1.498,1.5209857,1.6623904691770517
25,249,1.5100000000000002,1.5161284,1.6539823113885377
25,250,1.514,1.5198686,1.6464732071458177
25,251,1.501,1.5196426,1.6402360279738069
25,252,1.528,1.5255984,1.635627565055527
25,253,1.5390000000000001,1.5397305,1.6328655591020589
25,254,1.563,1.5580622,1.631879516211203
25,255,1.574,1.5806912,1.632179727018502
25,256,1.594,1.6042311,1.6327894787829411
25,257,1.621,1.622557,1.632273825049516
25,258,1.641,1.6332954,1.628876927186393
25,259,1.6439999999999997,1.6305927,1.6207539475831998
25,260,1.6590000000000003,1.6126359,1.6062591423072203
25,261,1.656,1.5801016,1.5842353244075793
25,262,1.639,1.5301371,1.5542456077753442
25,263,1.6099999999999999,1.4657625,1.51669776771889
25,264,1.56,1.389182,1.4728327874533416
25,265,1.491,1.3066823,1.4245774235232231
25,266,1.421,1.2223109,1.3742893809231342
25,267,1.353,1.1394176,1.324446140894345
25,268,1.2799999999999998,1.065173,1.2773393589902633
25,269,1.219,1.0029047,1.23483351357459
25,270,1.162,0.9562025,1.1982309222496297
25,271,1.116,0.9272691,1.1682594395562889
25,272,1.084,0.9169902,1.1451703406199192
25,273,1.072,0.9245785,1.1289089789707203
25,274,1.068,0.94886947,1.1193057611618933
25,275,1.094,1.0106215,1.116233269451922
25,276,1.119,1.0571841,1.1196871665736057
25,277,1.148,1.1105506,1.1297707356930111
25,278,1.181,1.1683744,1.1465898640775414
25,279,1.238,1.2240424,1.1700901883164874
25,280,1.284,1.276817,1.1998847580604537
25,281,1.3290000000000002,1.3218657,1.2351247781832528
25,282,1.386,1.3581773,1.2744567345032056
25,283,1.425,1.3864639,1.3160887866998483
25,284,1.452,1.405648,1.3579627637728768
25,285,1.465,1.4155552,1.3980020161223663
25,286,1.466,1.4212137,1.4343861538535352
