future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
27,0,2.4562,2.445,2.6921653682697158
27,1,2.5723655,2.559,2.798297318032438
27,2,2.6803577,2.676,2.902166067411676
27,3,2.7852452,2.792,3.001585369636261
27,4,2.873201,2.902,3.0939572626997784
27,5,2.9496515,3.004,3.1764792729842752
27,6,3.0257263,3.097,3.24636473087981
27,7,3.0816991,3.1699999999999995,3.3010537818775
27,8,3.1153505,3.226,3.338396142624736
27,9,3.138874,3.265,3.356791022332524
27,10,3.1416154,3.276,3.355274410648613
27,11,3.1290185,3.257,3.333549041928523
27,12,3.0915391,3.214,3.2919578064683
27,13,3.0383575,3.152,3.231407070151938
27,14,2.9589484,3.0760000000000005,3.153252035836401
27,15,2.874577,2.974,3.0591612575574
27,16,2.7529862,2.855,2.950980799756508
27,17,2.6358001,2.722,2.830619398310391
27,18,2.4967117,2.581,2.699973469153262
27,19,2.347138,2.434,2.5609047247204533
27,20,2.186573,2.283,2.415274010317938
27,21,2.021591,2.132,2.2650238932910565
27,22,1.8542721,1.973,2.112291534937029
27,23,1.6912391,1.816,1.959524694426989
27,24,1.5357713,1.666,1.8095692867233015
27,25,1.3933678,1.518,1.6656983113598944
27,26,1.2518084,1.381,1.5315595915452458
27,27,1.111829,1.259,1.4110326234116424
27,28,1.0543019,1.158,1.3080010511597178
27,29,1.0212193,1.085,1.2260639481024218
27,30,1.0022511,1.036,1.168222873610193
27,31,1.0040054,1.018,1.1365898681040043
27,32,1.023772,1.031,1.132162167764221
27,33,1.0727236,1.078,1.154701876250023
27,34,1.1371194,1.151,1.202744248219817
27,35,1.2098383,1.251,1.2737389602344804
27,36,1.3101852,1.369,1.3643081592525763
27,37,1.4079251,1.495,1.4705868794764645
27,38,1.524828,1.6199999999999999,1.588598765459203
27,39,1.6461442,1.749,1.7146152109802006
27,40,1.7761142,1.876,1.8454496837973744
27,41,1.9002502,2.001,1.978650255000307
27,42,2.03743,2.118,2.1125701043961995
27,43,2.1676927,2.231,2.246314836290413
27,44,2.3021169,2.3410000000000006,2.379583467640132
27,45,2.436002,2.452,2.5124341487911277
27,46,2.5633368,2.562,2.645013933340325
27,47,2.6822124,2.676,2.7772934698153287
27,48,2.7960527,2.797,2.908842958426554
27,49,2.902419,2.9239999999999995,3.038676491108079
27,50,2.9994318,3.055,3.1651800788180275
27,51,3.090352,3.184,3.2861265934290067
27,52,3.167816,3.312,3.3987702478705617
27,53,3.2282448,3.423,3.500005315989547
