future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
20,0,2.118,2.136075,2.189648123513276
20,1,2.232,2.2549534,2.3177484901709007
20,2,2.353,2.3774452,2.4459727936801747
20,3,2.477,2.4977086,2.572907090825997
20,4,2.597,2.613648,2.6965144817104654
20,5,2.71,2.722754,2.814247384439774
20,6,2.809,2.8284712,2.9232182495468377
20,7,2.906,2.9187217,3.020403621636867
20,8,2.99,2.9955559,3.102856829657352
20,9,3.056,3.0564098,3.167908074607044
20,10,3.113,3.1011074,3.213335749726855
20,11,3.1529999999999996,3.1236122,3.237498189996739
20,12,3.159,3.128654,3.239419858643303
20,13,3.144,3.1085496,3.2188297811510016
20,14,3.106,3.0678227,3.1761530392660315
20,15,3.045,3.0084941,3.1124587950625253
20,16,2.959,2.931237,3.029371051556393
20,17,2.857,2.8341591,2.928951452094872
20,18,2.731,2.7230036,2.813566597552942
20,19,2.5990000000000006,2.5998185,2.6857549869898576
20,20,2.457,2.4658656,2.5481098993403384
20,21,2.306,2.3327963,2.403193313828355
20,22,2.152,2.1897717,2.2534918512899424
20,23,2.006,2.038885,2.1014188405329444
20,24,1.847,1.885713,1.949357697834661
20,25,1.688,1.7306496,1.799732540027744
20,26,1.543,1.5785042,1.6550843242720372
20,27,1.401,1.4331999,1.5181266293800744
20,28,1.269,1.2977823,1.3917560491805072
20,29,1.15,1.1764477,1.2789985607848586
20,30,1.039,1.0746326,1.182884363829269
20,31,0.952,0.988726,1.1062578977970308
20,32,0.892,0.92772496,1.0515443374961757
20,33,0.862,0.89156556,1.020505752472122
20,34,0.864,0.8789192,1.0140267301931398
20,35,0.889,0.88929975,1.0319687681969894
20,36,0.939,0.92261076,1.0731246814665316
20,37,1.011,0.97757936,1.1352898189375935
20,38,1.105,1.048222,1.2154484131694063
20,39,1.209,1.1361823,1.31005428895187
20,40,1.326,1.290645,1.4153690095882745
20,41,1.443,1.3958461,1.5278103577501485
20,42,1.5559999999999998,1.5058388,1.6442618771882074
20,43,1.673,1.6179731,1.7623003962605075
20,44,1.784,1.7286041,1.8803117986180529
20,45,1.89,1.8387117,1.9974833902624467
20,46,1.98,1.9498017,2.113680593066818
20,47,2.082,2.061581,2.229232905885955
20,48,2.179,2.1720436,2.344666329165888
20,49,2.283,2.2843518,2.4604248489010616
20,50,2.386,2.4041522,2.5766217267060925
20,51,2.508,2.524759,2.6928533195445983
20,52,2.6259999999999994,2.6459835,2.8080958854384823
20,53,2.738,2.767538,2.920691909262114
20,54,2.856,2.8887978,3.0284195776140828
20,55,2.959,3.0038788,3.128629060090637
20,56,3.056,3.1088645,3.2184233578739034
20,57,3.144,3.2013328,3.294859909337717
20,58,3.209,3.2771988,3.3551510709095025
20,59,3.258,3.3335485,3.396845788428956
20,60,3.285,3.3012094,3.417979921827775
20,61,3.282,3.3119926,3.4171875228509774
20,62,3.256,3.3008485,3.3937692705680167
20,63,3.203,3.2672486,3.347717159872978
20,64,3.123,3.2091794,3.2796966998439068
20,65,3.023,3.1299741,3.19098993850438
20,66,2.9000000000000004,3.0290813,3.0834050202393826
20,67,2.762,2.9087374,2.959160841406615
20,68,2.603,2.773484,2.820758445742987
20,69,2.437,2.6260562,2.670853252895008
20,70,2.274,2.4683406,2.5121431593811465
20,71,2.109,2.3043504,2.3472861942105565
20,72,1.94,2.1364028,2.178857181285952
20,73,1.784,1.9681267,2.009346119175287
20,74,1.62,1.7983091,1.8411927429140973
20,75,1.462,1.6376371,1.6768434095762774
20,76,1.307,1.483514,1.518810078587666
20,77,1.157,1.3426135,1.3697084661734629
20,78,1.019,1.2116702,1.2322543981073175
20,79,0.899,1.0963484,1.1092042839696998
20,80,0.792,0.9725599,1.0032365157292258
20,81,0.711,0.8866771,0.916783371694594
20,82,0.6540000000000001,0.8238581,0.8518352501571678
20,83,0.611,0.78716743,0.8097480373745645
20,84,0.614,0.7766031,0.7910878673591768
20,85,0.626,0.7865124,0.795544424234166
20,86,0.667,0.82262135,0.8219343953713822
20,87,0.729,0.88019353,0.868302249748832
20,88,0.804,0.95428616,0.9321089080090216
20,89,0.884,1.0410066,1.010483234915248
20,90,0.98,1.1474651,1.1004997792120963
20,91,1.076,1.258566,1.1994411385202313
20,92,1.167,1.3756034,1.3050057468927967
20,93,1.267,1.496636,1.4154314184062446
20,94,1.352,1.6196691,1.5295197087870829
20,95,1.446,1.7424663,1.6465631796115094
20,96,1.526,1.859862,1.7661937989604888
20,97,1.627,1.9808824,1.8881829052653856
20,98,1.718,2.0970824,2.0122292922516043
20,99,1.822,2.2126684,2.137771352260415
20,100,1.926,2.3064024,2.2638523353393785
20,101,2.038,2.4184835,2.38905642623439
20,102,2.15,2.5301383,2.51152015983094
20,103,2.269,2.636177,2.6290112599268056
20,104,2.382,2.7357216,2.73905754942485
20,105,2.485,2.8252869,2.839103633348134
20,106,2.59,2.9091096,2.9266727610987515
20,107,2.675,2.976826,2.99951489280124
20,108,2.75,3.0300605,3.0557281260926983
20,109,2.8110000000000004,3.068599,3.0938473705156717
20,110,2.856,3.0907862,3.112899902146029
20,111,2.87,3.0940018,3.1124311829579536
20,112,2.8760000000000003,3.0818915,3.092505700853556
20,113,2.858,3.0474381,3.0536870731239394
20,114,2.81,2.9953425,2.997000217466159
20,115,2.749,2.9280546,2.923877114485949
20,116,2.675,2.8455565,2.836087525210573
20,117,2.57,2.7492995,2.7356573140334817
20,118,2.459,2.6394224,2.624779515728669
20,119,2.334,2.5207515,2.50572618215944
20,120,2.2,2.4016144,2.380771088536141
20,121,2.066,2.2771354,2.2521335289718327
20,122,1.936,2.1442294,2.121951029787116
20,123,1.801,2.0054216,1.9922837493671088
20,124,1.667,1.8664935,1.865146525314064
20,125,1.534,1.7268654,1.7425574490134046
20,126,1.408,1.591506,1.6265861628116016
20,127,1.2959999999999998,1.4636263,1.5193825810655248
20,128,1.1949999999999998,1.3459361,1.4231685162466587
20,129,1.113,1.2417028,1.3401808004449034
20,130,1.041,1.1550072,1.2725641581670253
20,131,0.998,1.0832227,1.2222234485218793
20,132,0.9729999999999999,1.0344348,1.1906554677493888
20,133,0.971,1.0086955,1.1787879423054712
20,134,1.01,1.0040754,1.1868556821278673
20,135,1.051,1.0191288,1.214340158139913
20,136,1.122,1.0548908,1.259989444874004
20,137,1.216,1.1107035,1.3219220819694997
20,138,1.315,1.1799408,1.3978035455866102
