future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
23,0,2.445,2.4468102,2.6921653682697158
23,1,2.559,2.5632074,2.798297318032438
23,2,2.676,2.6739979,2.902166067411676
23,3,2.792,2.7709172,3.001585369636261
23,4,2.902,2.8752334,3.0939572626997784
23,5,3.004,2.9596934,3.1764792729842752
23,6,3.097,3.0409715,3.24636473087981
23,7,3.1699999999999995,3.102775,3.3010537818775
23,8,3.226,3.1546912,3.338396142624736
23,9,3.265,3.179508,3.356791022332524
23,10,3.276,3.1924284,3.355274410648613
23,11,3.257,3.1807222,3.333549041928523
23,12,3.214,3.154095,3.2919578064683
23,13,3.152,3.1006172,3.231407070151938
23,14,3.0760000000000005,3.024104,3.153252035836401
23,15,2.974,2.9284904,3.0591612575574
23,16,2.855,2.8132808,2.950980799756508
23,17,2.722,2.6792285,2.830619398310391
23,18,2.581,2.5348284,2.699973469153262
23,19,2.434,2.3783803,2.5609047247204533
23,20,2.283,2.206051,2.415274010317938
23,21,2.132,2.0394244,2.2650238932910565
23,22,1.973,1.8617133,2.112291534937029
23,23,1.816,1.6807961,1.9595246944269893
23,24,1.666,1.5225354,1.8095692867233015
23,25,1.518,1.3656899,1.6656983113598944
23,26,1.381,1.2238551,1.5315595915452458
23,27,1.259,1.1087987,1.4110326234116424
23,28,1.158,1.0056255,1.3080010511597178
23,29,1.085,0.93400043,1.2260639481024218
23,30,1.036,0.88639057,1.168222873610193
23,31,1.018,0.8682605,1.1365898681040043
23,32,1.031,0.8738299,1.132162167764221
23,33,1.078,0.9027576,1.154701876250023
23,34,1.151,0.9576844,1.202744248219817
23,35,1.251,1.0437609,1.2737389602344804
23,36,1.369,1.1394869,1.3643081592525763
23,37,1.495,1.2521338,1.4705868794764645
23,38,1.6199999999999999,1.3754808,1.588598765459203
23,39,1.749,1.518042,1.7146152109802006
23,40,1.876,1.6578736,1.8454496837973744
23,41,2.001,1.805935,1.978650255000307
23,42,2.118,1.9450907,2.1125701043961995
23,43,2.231,2.0815916,2.246314836290413
23,44,2.3410000000000006,2.2200289,2.379583467640132
23,45,2.452,2.3495917,2.5124341487911277
23,46,2.562,2.4500315,2.645013933340325
23,47,2.676,2.5724027,2.7772934698153287
23,48,2.797,2.6959205,2.908842958426554
23,49,2.9239999999999995,2.8117359,3.038676491108079
