future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
27,0,2.42,2.4449754,2.5463791624901733
27,1,2.247,2.2859762,2.382226982249651
27,2,2.081,2.1298177,2.220466330511948
27,3,1.92,1.9783592,2.0641708066077062
27,4,1.7849999999999997,1.838797,1.9164719891664213
27,5,1.654,1.7093381,1.780471866250265
27,6,1.5369999999999997,1.5937012,1.659166930829706
27,7,1.454,1.4944813,1.5553788022469175
27,8,1.387,1.4164346,1.471684955288498
27,9,1.33,1.3587505,1.410344803445529
27,10,1.314,1.3244365,1.373220352993029
27,11,1.308,1.3145363,1.3616954715618432
27,12,1.3169999999999997,1.329317,1.376601846354813
27,13,1.368,1.3692743,1.4181617105432702
27,14,1.444,1.435885,1.4859566127841335
27,15,1.5369999999999997,1.5258651,1.5789280224568736
27,16,1.667,1.6370384,1.695410342531839
27,17,1.805,1.7701786,1.8331912960048409
27,18,1.949,1.9202677,1.989590314559684
27,19,2.124,2.087392,2.1615437038076952
27,20,2.315,2.2634652,2.3456864955567718
27,21,2.502,2.4482374,2.5384248980398887
27,22,2.683,2.637247,2.7359989196846857
27,23,2.875,2.825838,2.934540396478049
27,24,3.062,3.0112524,3.1301357479176253
27,25,3.2509999999999994,3.1915207,3.318903781139754
27,26,3.436,3.3581486,3.497096128340255
27,27,3.599,3.571749,3.661221986905192
27,28,3.7390000000000003,3.6932466,3.808190838879527
27,29,3.871,3.7978,3.935458726808952
27,30,3.975,3.8841605,4.041157761826479
27,31,4.043,3.9497018,4.124186452622618
27,32,4.079,3.995497,4.184241208713087
27,33,4.104,4.0218716,4.221776965085209
27,34,4.102,4.030194,4.237895895350616
27,35,4.079,4.017345,4.234175540792521
27,36,4.05,3.9878404,4.21245883340273
27,37,4.008,3.9408793,4.174635934376768
27,38,3.952,3.878671,4.122449908434574
27,39,3.8899999999999997,3.8034647,4.057354402540216
27,40,3.811,3.7152443,3.98044237733258
27,41,3.724,3.615506,3.8924524215287626
27,42,3.643,3.5060601,3.7938457420472447
27,43,3.546,3.3870904,3.6849353004228336
27,44,3.438,3.2635853,3.5660410453463025
27,45,3.311,3.1332226,3.437642990850596
27,46,3.19,2.9986491,3.3005071868632974
27,47,3.054,2.861768,3.155767375015434
27,48,2.9,2.724579,3.0049552230976966
27,49,2.744,2.5867994,2.8499822067254525
27,50,2.584,2.4522607,2.693084267430248
27,51,2.417,2.3191292,2.5367446377915583
27,52,2.264,2.1951723,2.383610272014928
27,53,2.117,2.0751677,2.2364136947156603
27,54,1.977,1.8870025,2.097906037090275
27,55,1.8610000000000002,1.7862729,1.970800599531543
27,56,1.748,1.6970078,1.8577213061903024
27,57,1.6410000000000002,1.6257024,1.7611481145391132
27,58,1.5720000000000003,1.5721318,1.6833524737721548
27,59,1.513,1.5381052,1.6263198286456857
27,60,1.459,1.5230943,1.5916616276281124
27,61,1.444,1.5319767,1.5805247798020114
27,62,1.4419999999999997,1.5632253,1.5935103137458868
27,63,1.478,1.614416,1.630613913736919
27,64,1.552,1.6870776,1.6911987342693662
27,65,1.629,1.7816277,1.7740058564609342
27,66,1.726,1.8944217,1.8772012507147675
27,67,1.858,2.0255172,1.9984518476335265
27,68,1.99,2.1677206,2.135018875772438
27,69,2.142,2.3260913,2.28385527256948
27,70,2.3,2.4868243,2.44169601559705
27,71,2.463,2.6585631,2.6051350362380457
27,72,2.623,2.8296795,2.77068875473372
27,73,2.796,3.0003595,2.9348522871998157
27,74,2.97,3.15923,3.094158211901967
27,75,3.124,3.315297,3.245248331078083
27,76,3.27,3.4596033,3.3849655690651166
27,77,3.405,3.5864527,3.510466630213276
27,78,3.508,3.698302,3.6193479767447294
27,79,3.5919999999999996,3.7936969,3.709770001018979
27,80,3.648,3.8654237,3.780559129026934
27,81,3.675,3.9027317,3.831266749430934
