future_steps,Time_Step,Predicted_Values,Actual_Values,Utide_Values
25,0,1.6051066,1.62,1.7034690848941287
25,1,1.5504862,1.559,1.641138872521574
25,2,1.5239258,1.523,1.6108912857865745
25,3,1.5326294,1.5339999999999998,1.613283203491734
25,4,1.5724294,1.5600000000000003,1.6482305133222264
25,5,1.6436366,1.6279999999999997,1.7150526232765766
25,6,1.7473311,1.725,1.8124970679060501
25,7,1.8778678,1.8609999999999998,1.9387390351197409
25,8,2.0372303,2.009,2.0913658946517657
25,9,2.2175598,2.177,2.267368814551369
25,10,2.4202034,2.368,2.463168389210592
25,11,2.6393518,2.5840000000000005,2.6746969098750686
25,12,2.8704202,2.82,2.8975473513998526
25,13,3.1111104,3.0559999999999996,3.127181339310021
25,14,3.3567955,3.314,3.359170022269132
25,15,3.6028066,3.556,3.589428310825684
25,16,3.8463356,3.776,3.814398362960621
25,17,4.0822406,3.9910000000000005,4.031144522421635
25,18,4.307513,4.198,4.237338622166067
25,19,4.5178566,4.371,4.431137961438616
25,20,4.7103653,4.551,4.610982952982137
25,21,4.882516,4.704,4.775361555414211
25,22,5.032057,4.857,4.922597752029707
25,23,5.1568346,4.994,5.050718556040539
25,24,5.253962,5.114,5.15743849696669
25,25,5.2283945,5.219,5.240275234283784
25,26,5.2559404,5.268,5.296780488190713
25,27,5.2596674,5.288,5.324843707427566
25,28,5.237778,5.267,5.323007952269791
25,29,5.183754,5.247,5.290732748834298
25,30,5.1070256,5.175,5.228548492855184
25,31,5.006598,5.073,5.138069181030987
25,32,4.884482,4.944,5.02185992699299
25,33,4.7417746,4.815,4.88318607893286
25,34,4.575489,4.652,4.725694901585207
25,35,4.398612,4.481,4.55309337304346
25,36,4.2078133,4.305,4.368883849211657
25,37,4.004309,4.116,4.176203919922806
25,38,3.7913733,3.916,3.9777916030275997
25,39,3.577587,3.7139999999999995,3.7760679530845596
25,40,3.3624191,3.516,3.5733031372988084
25,41,3.1494858,3.3130000000000006,3.371814983711155
25,42,2.9457521,3.133,3.1741443828861904
25,43,2.7506826,2.927,2.983160461515642
25,44,2.5694792,2.7730000000000006,2.802067566081159
25,45,2.4051619,2.608,2.634310602424445
25,46,2.2603426,2.4660000000000006,2.483399221199297
25,47,2.1372385,2.352,2.3526889547496483
25,48,2.0392776,2.2440000000000007,2.245164595948753
25,49,1.9666238,2.18,2.163266836972557
25,50,1.9622408,2.13,2.108789134964314
25,51,1.9564663,2.104,2.082851986694115
25,52,1.9763356,2.112,2.085941863204011
25,53,2.0258725,2.148,2.117987194520561
25,54,2.0996795,2.2250000000000005,2.178437757788974
25,55,2.199662,2.318,2.266317995944203
25,56,2.3255916,2.4340000000000006,2.3802376172445743
25,57,2.4715838,2.5710000000000006,2.51836053262176
25,58,2.639913,2.754,2.678350634449536
25,59,2.8212783,2.931,2.8573249462129477
25,60,3.0179565,3.137,3.051847764205688
25,61,3.2270179,3.3480000000000003,3.2579922632434464
25,62,3.4403486,3.565,3.4714801475700865
25,63,3.6566489,3.7999999999999994,3.687889473952089
25,64,3.8755245,4.008,3.902901005816816
25,65,4.0848675,4.214,4.112539766007801
25,66,4.290991,4.394,4.313365070914368
25,67,4.4846587,4.564,4.502570567657355
25,68,4.6619234,4.717,4.677974209604398
25,69,4.8241606,4.85,4.837902740779282
25,70,4.9689946,4.971,4.98100004688611
25,71,5.0899324,5.083,5.106007556742089
25,72,5.185714,5.18,5.211572998207845
25,73,5.260056,5.269,5.296138664473089
25,74,5.305487,5.329,5.357942766957683
25,75,5.2274814,5.37,5.39514137473294
25,76,5.225019,5.397,5.406029745387593
25,77,5.1985683,5.371,5.389317371510431
25,78,5.148338,5.325,5.344396728025975
25,79,5.0681763,5.245,5.271544996290635
25,80,4.9659114,5.144,5.172011407425477
25,81,4.8450203,5.025,5.047967283593652
25,82,4.70373,4.875,4.902325737561334
25,83,4.542124,4.721,4.738466472727001
25,84,4.3639383,4.539,4.559921485492574
25,85,4.1748347,4.357,4.370085081142636
25,86,3.97498,4.154,4.172004854039161
25,87,3.7663305,3.956,3.968290693850852
25,88,3.552772,3.7460000000000004,3.7611512881047
25,89,3.338393,3.54,3.5525385436465466
25,90,3.127931,3.352,3.3443564190634563
25,91,2.9222746,3.1579999999999995,3.138677438240473
25,92,2.7253187,2.9729999999999994,2.937910439625509
25,93,2.5421336,2.783,2.744876260579294
25,94,2.3749743,2.601,2.5627707443295806
25,95,2.224101,2.44,2.3950210226499107
25,96,2.0933344,2.2910000000000004,2.245064902482949
25,97,1.987396,2.183,2.1160990189760627
25,98,1.9066868,2.075,2.0108457923473604
25,99,1.8527622,2.018,1.9313815369650809
25,100,1.8291459,1.971,1.879050983157945
25,101,1.826805,1.946,1.854471645178839
25,102,1.8507334,1.943,1.8576105328543837
25,103,1.9032905,1.97,1.8879010094662494
25,104,1.9821448,2.0,1.944362487689527
25,105,2.0865161,2.086,2.025690938859691
25,106,2.2141783,2.184,2.130301962882445
25,107,2.3634639,2.309,2.256326204481676
25,108,2.533114,2.4540000000000006,2.401574096692939
25,109,2.7178342,2.613,2.5634983855483005
25,110,2.9150643,2.786,2.739185350170983
25,111,3.1229513,2.976,2.925398482564009
25,112,3.3349748,3.152,3.1186834724199715
25,113,3.547934,3.339,3.315524712546416
25,114,3.7624376,3.524,3.5125265734696383
25,115,3.969566,3.707,3.706582131215901
25,116,4.1710763,3.8760000000000003,3.8949911327216222
25,117,4.358997,4.037,4.075498695859449
25,118,4.532419,4.2,4.246244350514837
25,119,4.6896057,4.339,4.4056331797909865
25,120,4.827149,4.47,4.552161569165835
25,121,4.942957,4.586,4.684243777746574
25,122,5.037254,4.708,4.800088362471345
25,123,5.1064167,4.821,4.897664283031796
25,124,5.1500115,4.913,4.974776881594383
25,125,5.141217,4.953,5.029248312936232
25,126,5.140389,4.973,5.059171518737053
25,127,5.1219544,4.98,5.063187558608563
25,128,5.0819583,4.935,5.040727924486214
25,129,5.0185165,4.88,4.99216865824983
25,130,4.934922,4.785,4.918860666971007
25,131,4.8327284,4.704,4.823026743858118
25,132,4.7139034,4.586,4.70754440056342
25,133,4.5821505,4.453,4.575658030653956
25,134,4.4278035,4.292,4.430678512640859
25,135,4.2712317,4.15,4.275729618791145
25,136,4.1035166,3.97,4.113588354413297
25,137,3.9290736,3.814,3.9466436226145793
25,138,3.7524242,3.6430000000000002,3.7769696855059736
25,139,3.5753417,3.48,3.6064845096002496
25,140,3.4012842,3.338,3.4371444360111747
25,141,3.2301114,3.187,3.2711197983041664
25,142,3.0721745,3.046,3.1109026092606413
25,143,2.9217155,2.901,2.9593153814561024
25,144,2.7851284,2.7570000000000006,2.8194148013529845
25,145,2.667386,2.647,2.6943093803900617
25,146,2.5653794,2.558,2.5869301906165867
25,147,2.4794283,2.4800000000000004,2.499803554999545
25,148,2.4174404,2.4100000000000006,2.434872193797971
25,149,2.3769336,2.396,2.3933977821261934
25,150,2.3886507,2.361,2.3759568166533898
25,151,2.4040148,2.3860000000000006,2.3825187615459344
25,152,2.4431956,2.399,2.412576439015858
25,153,2.5048885,2.443,2.46528825511596
25,154,2.5861344,2.5440000000000005,2.5395925710149645
25,155,2.687613,2.637,2.634265777037471
25,156,2.808244,2.77,2.7479142292476544
25,157,2.9458258,2.905,2.87891106505515
25,158,3.0986474,3.077,3.0253063290929383
25,159,3.262102,3.229,3.184748220820322
25,160,3.4335673,3.4110000000000005,3.3544519973636513
25,161,3.6154623,3.581,3.5312413377607523
25,162,3.7977393,3.7540000000000004,3.711667966467798
25,163,3.9780164,3.9389999999999996,3.892193919304924
25,164,4.1597066,4.106,4.069402678690904
25,165,4.330539,4.265,4.240195600717461
25,166,4.4966445,4.415,4.401931292484068
25,167,4.6490393,4.543,4.552477892731982
25,168,4.784941,4.636,4.690168860360886
25,169,4.9066825,4.74,4.8136766460804
25,170,5.0116234,4.822,4.92183953681587
25,171,5.0935817,4.909,5.013489718970542
25,172,5.1538353,4.971,5.087331587961832
25,173,5.1932583,4.997,5.141907991744078
25,174,5.207011,5.034,5.175671011309747
25,175,5.12378,5.03,5.187147932365779
25,176,5.1001067,5.027,5.175168606772495
25,177,5.0557513,4.99,5.139103530401449
25,178,4.9909525,4.916,5.079056911066897
25,179,4.9013124,4.825,4.995967302935363
25,180,4.7924075,4.725,4.89158824177777
25,181,4.6691055,4.575,4.76834810569695
25,182,4.527927,4.442,4.629115870448677
25,183,4.370364,4.292,4.476920867985153
25,184,4.201309,4.129,4.314684979940674
25,185,4.0229287,3.958,4.145022442955392
25,186,3.83622,3.795,3.9701462124421054
25,187,3.6444032,3.618,3.7918945898627836
25,188,3.451558,3.44,3.6118636048023793
25,189,3.259205,3.279,3.4316060049376684
25,190,3.071921,3.0759999999999996,3.2528425950766056
25,191,2.8911061,2.906,3.077629577900039
25,192,2.7199183,2.732,2.908436664725569
25,193,2.5625818,2.5870000000000006,2.7481123690342493
25,194,2.4216883,2.423,2.599739752161097
25,195,2.295472,2.282,2.466411331629977
25,196,2.1882021,2.214,2.350970022628032
25,197,2.10551,2.095,2.255769687338358
25,198,2.0442946,2.028,2.182502704115388
25,199,2.0092583,2.003,2.132124940651668
25,200,2.0039551,1.976,2.1048850278440057
25,201,2.0050123,1.962,2.1004407365508047
25,202,2.0298738,2.002,2.118026564954759
25,203,2.0776145,2.039,2.1566276854124293
25,204,2.1481836,2.1,2.2151180254408875
25,205,2.240696,2.227,2.2923334019088624
25,206,2.3533769,2.301,2.387070490607395
25,207,2.4859862,2.439,2.4980236992270184
25,208,2.6314588,2.596,2.6236891214849862
25,209,2.7948723,2.7370000000000005,2.762273250799512
25,210,2.966144,2.902,2.911642068675624
25,211,3.1440797,3.0679999999999996,3.0693341795811624
25,212,3.32914,3.244,3.232643143995834
25,213,3.5114388,3.408,3.3987542582642463
25,214,3.6944718,3.566,3.564905047901225
25,215,3.8706057,3.72,3.7285310322747285
25,216,4.0428367,3.8840000000000003,3.8873612251923197
25,217,4.199462,4.006,4.039440610039335
25,218,4.34611,4.162,4.183076227979963
25,219,4.476468,4.309,4.316724631925406
25,220,4.5895276,4.434,4.438855540046509
25,221,4.6857204,4.544,4.547834924067782
25,222,4.761607,4.651,4.641868095238894
25,223,4.8168573,4.724,4.719029776623846
25,224,4.850342,4.782,4.77738683120821
25,225,4.836938,4.814,4.81519552504405
25,226,4.8337774,4.838,4.831134788092949
25,227,4.8151236,4.837,4.824525191295149
25,228,4.778865,4.812,4.795483518918145
25,229,4.7220664,4.762,4.744975106327484
25,230,4.648908,4.686,4.674747890890775
25,231,4.560185,4.611,4.5871582640255415
25,232,4.4570704,4.525,4.484923050349716
25,233,4.343795,4.418,4.370848467763026
25,234,4.2097077,4.302,4.247591605680936
25,235,4.0765944,4.19,4.117501640450881
25,236,3.9332037,4.061,3.9825686744821898
25,237,3.7854652,3.926,3.844482252650149
25,238,3.636974,3.7999999999999994,3.704775575431519
25,239,3.488329,3.669,3.565011467794713
25,240,3.342615,3.523,3.426956919431155
25,241,3.2004182,3.401,3.2926967420830855
25,242,3.0724401,3.275,3.164652575202061
25,243,2.9502203,3.161,3.0454970646155575
25,244,2.8405864,3.0599999999999996,2.937978838803276
25,245,2.7499874,2.987,2.844695595094936
25,246,2.6718855,2.916,2.767864840072676
25,247,2.607913,2.86,2.7091418685751023
25,248,2.5656552,2.813,2.669522557926012
25,249,2.5425441,2.7910000000000004,2.64934757667754
25,250,2.5633438,2.7810000000000006,2.648400085771363
25,251,2.5861082,2.798,2.666067033022246
25,252,2.6296837,2.849,2.7015201188417217
25,253,2.6914017,2.898,2.7538698641524046
25,254,2.767897,2.971,2.8222553611222176
25,255,2.8613653,3.061,2.905850769107044
25,256,2.971554,3.183,3.0037926048322903
25,257,3.0938559,3.295,3.115053397183134
25,258,3.228252,3.448,3.2383019072789567
25,259,3.3715718,3.579,3.3717941040976167
25,260,3.520547,3.72,3.513331425369253
25,261,3.6767144,3.867,3.6603056645562595
25,262,3.833226,4.004,3.8098274742834723
25,263,3.9868188,4.143,3.9589137046994156
25,264,4.1404734,4.285,4.104693358638155
25,265,4.2833486,4.398,4.244586738896074
25,266,4.421909,4.522,4.37641878146112
