future_steps,Time_Step,Actual_Values,Predicted_Values,Utide_Values
27,0,1.62,1.6351346,1.7034690848941287
27,1,1.559,1.5743616,1.641138872521574
27,2,1.523,1.551096,1.6108912857865745
27,3,1.5339999999999998,1.5546066,1.6132832034917342
27,4,1.5600000000000003,1.5931379,1.6482305133222266
27,5,1.6279999999999997,1.6627849,1.7150526232765766
27,6,1.725,1.7620062,1.81249706790605
27,7,1.8609999999999998,1.8912274,1.9387390351197409
27,8,2.009,2.0438612,2.0913658946517657
27,9,2.177,2.2233512,2.267368814551369
27,10,2.368,2.420764,2.463168389210592
27,11,2.5840000000000005,2.6366897,2.6746969098750686
27,12,2.82,2.8638213,2.8975473513998526
27,13,3.0559999999999996,3.1026368,3.127181339310021
27,14,3.314,3.3464165,3.359170022269132
27,15,3.556,3.5887423,3.589428310825684
27,16,3.776,3.8308923,3.814398362960621
27,17,3.9910000000000005,4.0644855,4.031144522421635
27,18,4.198,4.2882185,4.237338622166067
27,19,4.371,4.4957323,4.431137961438616
27,20,4.551,4.685349,4.610982952982137
27,21,4.704,4.856568,4.775361555414211
27,22,4.857,5.0048933,4.922597752029707
27,23,4.994,5.1276774,5.050718556040539
27,24,5.114,5.2188616,5.15743849696669
27,25,5.219,5.2890935,5.240275234283784
27,26,5.268,5.3263483,5.296780488190713
27,27,5.288,5.3193254,5.324843707427566
27,28,5.267,5.3058267,5.323007952269791
27,29,5.247,5.2678437,5.290732748834298
27,30,5.175,5.20228,5.228548492855184
27,31,5.073,5.111745,5.138069181030987
27,32,4.944,4.996126,5.02185992699299
27,33,4.815,4.8602347,4.88318607893286
27,34,4.652,4.7049294,4.725694901585207
27,35,4.481,4.52769,4.55309337304346
27,36,4.305,4.338649,4.368883849211657
27,37,4.116,4.1359997,4.176203919922806
27,38,3.916,3.9260755,3.9777916030276
27,39,3.7139999999999995,3.7077916,3.776067953084559
27,40,3.516,3.4870872,3.5733031372988084
27,41,3.3130000000000006,3.2669237,3.371814983711155
27,42,3.133,3.0514224,3.174144382886191
27,43,2.927,2.8420084,2.983160461515642
