Time_Step,Actual_Values,Predicted_Values,Utide_Values,Step_MSE,Step_MAE,Step_R2_Actual_vs_Predicted,Step_R2_Actual_vs_Utide
0,-0.41041668948521387,-0.4496181,-0.05732864568190386,0.0015367506741595625,0.03920141163478125,,
1,-0.6454166894852138,-0.68918866,-0.2612205842509069,0.0019159853319357847,0.04377196970591779,,
2,-0.8904166894852138,-0.92091745,-0.4658026021839072,0.000930296476265129,0.030500761896469553,,
3,-1.114416689485214,-1.1386669,-0.6675955308423309,0.0005880711681762433,0.02425017872462476,,
4,-1.3094166894852135,-1.3374611,-0.8627677683668217,0.000786489742425234,0.028044424444535032,,
5,-1.491416689485214,-1.5118314,-1.047290620858737,0.0004167605188521873,0.02041471329341138,,
6,-1.6484166894852141,-1.6571666,-1.2171489600944914,7.656093799544881e-05,0.00874991074214182,,
7,-1.7844166894852138,-1.7699339,-1.3685710125362878,0.00020975006219330089,0.014482750505111275,,
8,-1.8844166894852137,-1.8470396,-1.4982390918727009,0.0013970482876679473,0.03737710914005987,,
9,-1.9674166894852136,-1.8859168,-1.603449877313462,0.00664222724131104,0.08149986037602175,,
10,-2.0054166894852137,-1.8861789,-1.682206283653439,0.014217662096190561,0.11923783835758917,,
11,-2.034416689485214,-1.8482828,-1.733239441465222,0.03464581959351128,0.18613387545933513,,
12,-2.002416689485214,-1.7737739,-1.7559743179125091,0.052277521244013345,0.2286427808701017,,
13,-1.9654166894852134,-1.6654458,-1.7504623698840345,0.08998253178124936,0.29997088488926615,,
14,-1.8954166894852136,-1.527769,-1.717307129483317,0.13516484598398212,0.36764771994938594,,
15,-1.7784166894852138,-1.3641815,-1.6576034878198904,0.17159077683584234,0.4142351709305263,,
16,-1.6914166894852136,-1.1794643,-1.5729006296802512,0.2620952079284503,0.5119523492752527,,
17,-1.5334166894852137,-0.9804666,-1.4651854477230049,0.3057537967806648,0.5529500852524256,,
18,-1.372416689485214,-0.770234,-1.3368718009673797,0.36262400505042197,0.602182700723312,,
19,-1.1674166894852138,-0.5538295,-1.1907747529845607,0.37648924997502076,0.6135871983467556,,
20,-0.9724166894852139,-0.33655775,-1.0300498625369214,0.40431659609466003,0.6358589435516812,0.5197370860594077,0.5547047530427784
21,-0.7254166894852139,-0.12203044,-0.8580857741176837,0.36407496969702574,0.6033862524925686,0.5030624847322167,0.600689126057159
22,-0.519416689485214,0.08631821,-0.6783517779569394,0.36691476817250374,0.6057348992525556,0.5130424947256,0.6531367751024876
23,-0.2984166894852138,0.2843354,-0.49421691469670737,0.3396000032008835,0.5827520941196895,0.5479358152517464,0.7059259701569343
24,-0.10941668948521358,0.47035736,-0.30876948897750073,0.336137946665744,0.5797740479408715,0.5891235436394324,0.7529689008142129
25,0.08858331051478617,0.64176023,-0.12467183383546425,0.3060047043223912,0.5531769195496059,0.6344069471321624,0.7930579645746003
26,0.27658331051478613,0.795286,0.05591756154453769,0.26905247984570835,0.5187026892601467,0.6785555105828375,0.8259669117749846
27,0.4465833105147865,0.93038625,0.23133377757792237,0.2340652796590844,0.4838029347359154,0.7181411415003232,0.8525029857391437
28,0.6445833105147862,1.0441805,0.40030398252883,0.15967792377709644,0.39959720191349746,0.75647389269455,0.8738273759592902
29,0.826583310514786,1.1362305,0.5617719781898193,0.09588136260314369,0.30964715823521405,0.790921304638304,0.8907642361192246
30,1.0065833105147861,1.2056233,0.7146838688033521,0.03961690510608621,0.1990399585663296,0.8211598477179511,0.9041261602166494
31,1.1765833105147867,1.2502735,0.8577809040165307,0.005430239031680568,0.07369015559544279,0.8466933738774389,0.9146213792362698
32,1.3225833105147862,1.2699146,0.9894467312909394,0.002773990215259832,0.05266868343959086,0.8671564213174038,0.9229523705473986
33,1.4405833105147865,1.2631998,1.1076468033543816,0.03146490759824749,0.1773835043014076,0.8827283010117457,0.9297094108006136
34,1.5515833105147858,1.2299263,1.20997932546831,0.10346320170629654,0.3216569627822419,0.893780942696319,0.9351434768756206
35,1.5935833105147863,1.1701554,1.2938339503621412,0.17929119032328195,0.4234279045165563,0.9008965162257688,0.9398727614875849
36,1.6075833105147863,1.0838354,1.3566314780476532,0.2743119121194585,0.5237479471267248,0.9046594552258137,0.9440057780711981
37,1.5985833105147864,0.9718397,1.3961003572465627,0.39280752076651615,0.6267435845435645,0.9054086926499547,0.9475805434213287
38,1.5645833105147864,0.8355336,1.410537907432179,0.5315134528042436,0.7290496915877844,0.9033657543558936,0.9506318118455269
39,1.493583310514786,0.6768515,1.399007602627737,0.6670508323360684,0.8167317995131991,0.8988934767275312,0.9531934561636045
40,1.423583310514787,0.49828312,1.3614377488887308,0.8561804462501967,0.9253001925052198,0.891606900980225,0.9552893362760688
41,1.3395833105147863,0.30267447,1.29860821874097,1.0751799387015741,1.0369088381827856,0.8813405480160359,0.9569756572595483
42,1.2165833105147863,0.0936721,1.2120355865050723,1.2609295940452423,1.1229112137855077,0.8685521179622615,0.9582798482498329
43,1.0625833105147864,-0.12473323,1.1037876773713724,1.4097205720383825,1.1873165424765135,0.8536479316204818,0.959209721172929
44,0.8985833105147862,-0.3481417,0.9762714769636384,1.5543232519163344,1.2467250105441594,0.836642760371195,0.9598055372649933
45,0.7245833105147863,-0.57212746,0.8320407703152378,1.681458826086489,1.296710771948197,0.8176984590991291,0.9601113950259968
46,0.5075833105147864,-0.79224086,0.6736615890289716,1.6895428692579362,1.2998241685927894,0.7981076428661938,0.9600234001953203
47,0.2995833105147858,-1.0028268,0.5036566886362415,1.6962721217148815,1.3024101203979035,0.7779555999492728,0.9596334096578181
48,0.0955833105147864,-1.1998668,0.3245291708143362,1.6781909155051098,1.2954500822127843,0.7576572180755081,0.959031998799111
49,-0.13341668948521385,-1.3784735,0.13884520439508669,1.5501665119060941,1.2450568307937169,0.7387154088394579,0.9581271275761405
50,-0.3394166894852136,-1.534616,-0.05065877414234324,1.4285013763168464,1.1951993040145423,0.7213352731152267,0.9571204708223525
51,-0.5274166894852138,-1.6643851,-0.24098453390587868,1.2926971217972922,1.1369683908523105,0.7059489516295161,0.9561791092908692
52,-0.7434166894852137,-1.7641523,-0.42883176158623426,1.0419011629672368,1.020735598951676,0.6943449618411451,0.9551344534057311
53,-0.9154166894852138,-1.8321004,-0.610631459032352,0.8403090093340851,0.9166837019027256,0.6860297119044909,0.9542819245607621
54,-1.080416689485214,-1.8659638,-0.7826571225861287,0.6170842889854755,0.7855471271575472,0.6813959453068761,0.9536214998091669
55,-1.2324166894852138,-1.8648517,-0.9411988462138655,0.39997405919651036,0.6324350236953282,0.6803695873135722,0.9531573280357815
56,-1.356416689485214,-1.8296037,-1.0827707301202942,0.22390592044755675,0.4731869825423738,0.6822459009533284,0.9529412066646589
57,-1.4624166894852135,-1.7610973,-1.204314696774606,0.08921011425003318,0.29868062248835825,0.6863289394398958,0.9529324751161444
58,-1.5344166894852138,-1.6611658,-1.303365538250493,0.016065345501688665,0.12674914398799175,0.691540893668303,0.9531391147406456
59,-1.5744166894852138,-1.5333,-1.378152071649676,0.0016905786878905948,0.041116647332809064,0.6968944894371434,0.9535280100618148
60,-1.5824166894852143,-1.3805813,-1.427624651473531,0.04073754070549009,0.20183542975773627,0.701535411755118,0.9540463561055336
61,-1.5564166894852138,-1.2074692,-1.451415936259423,0.12176433301964512,0.34894746455540426,0.7047997935134391,0.9546318946579737
62,-1.5174166894852137,-1.017983,-1.4497555179451884,0.24943405039990899,0.49943372973789923,0.7061966529893506,0.9552041232345158
63,-1.4224166894852137,-0.8168031,-1.4233663139780286,0.36676782252481027,0.6056135917602992,0.7055841938897813,0.9556965379342334
64,-1.3464166894852139,-0.60836,-1.373369980366646,0.5447276879586423,0.738056696981094,0.7025903582656157,0.9560894158151931
65,-1.2164166894852138,-0.3963597,-1.3012205818967433,0.6724934465100557,0.8200569775997615,0.6975677447492447,0.9562977694784573
66,-1.0924166894852143,-0.1849983,-1.2086728333061891,0.8234081269485015,0.9074183858334046,0.6904442500309598,0.9563514415476323
