Time_Step,Actual_Values,Predicted_Values,Utide_Values,Step_MSE,Step_MAE,Step_R2_Actual_vs_Predicted,Step_R2_Actual_vs_Utide
0,-0.41041668948521387,-0.39478564,-0.05732864568190386,0.00024432962598054745,0.015631046861312503,,
1,-0.6454166894852138,-0.6206811,-0.2612205842509069,0.0006118490386952023,0.02473558244099383,,
2,-0.8904166894852138,-0.841487,-0.4658026021839072,0.002394115447499208,0.04892969903340105,,
3,-1.114416689485214,-1.0510693,-0.6675955308423309,0.004012896867543962,0.06334742984165942,,
4,-1.3094166894852135,-1.2435203,-0.8627677683668217,0.00434233943772267,0.06589642962803577,,
5,-1.491416689485214,-1.4138914,-1.047290620858737,0.006010165134242237,0.07752525481571948,,
6,-1.6484166894852141,-1.558521,-1.2171489600944914,0.008081229174761182,0.08989565715184011,,
7,-1.7844166894852138,-1.674877,-1.3685710125362878,0.01199893315775789,0.10953964194645649,,
8,-1.8844166894852137,-1.7614462,-1.4982390918727009,0.01512173204568615,0.12297045192112677,,
9,-1.9674166894852136,-1.8174539,-1.603449877313462,0.02248884985633151,0.14996282824864138,,
10,-2.0054166894852137,-1.8425976,-1.682206283653439,0.026510054664048693,0.16281908568730108,,
11,-2.034416689485214,-1.837089,-1.733239441465222,0.038938239719300674,0.19732774695744304,,
12,-2.002416689485214,-1.8015764,-1.7559743179125091,0.04033683153638259,0.2008403135239103,,
13,-1.9654166894852134,-1.7372178,-1.7504623698840345,0.05207474049754767,0.22819890555729594,,
14,-1.8954166894852136,-1.6456168,-1.717307129483317,0.06239999987941071,0.24979991969456417,,
15,-1.7784166894852138,-1.5289569,-1.6576034878198904,0.06223019150621723,0.24945979937901264,,
16,-1.6914166894852136,-1.389886,-1.5729006296802512,0.09092074366681509,0.3015306678711389,,
17,-1.5334166894852137,-1.2313821,-1.4651854477230049,0.09122487417108913,0.3020345579086756,,
18,-1.372416689485214,-1.0567973,-1.3368718009673797,0.09961562047705484,0.31561942347874417,,
19,-1.1674166894852138,-0.86954314,-1.1907747529845607,0.08872865436266142,0.2978735543190456,,
20,-0.9724166894852139,-0.673106,-1.0300498625369214,0.08958688002329174,0.2993106747566677,0.8233567355305295,0.5547047530427784
21,-0.7254166894852139,-0.47095433,-0.8580857741176837,0.06475109301800844,0.254462360709808,0.8305044720675675,0.600689126057159
22,-0.519416689485214,-0.26642475,-0.6783517779569394,0.06400492381185025,0.2529919441639402,0.8439853802622606,0.6531367751024876
23,-0.2984166894852138,-0.06269443,-0.49421691469670737,0.05556498345121614,0.2357222591339565,0.8624705311049059,0.7059259701569343
24,-0.10941668948521358,0.1372476,-0.30876948897750073,0.060843275215764034,0.24666429659714442,0.8796885116574751,0.7529689008142129
25,0.08858331051478617,0.33062115,-0.12467183383546425,0.05858231725115945,0.24203784260144,0.8958293274151075,0.7930579645746003
26,0.27658331051478613,0.51482874,0.05591756154453769,0.056760885409367155,0.23824543103565943,0.9099300564240085,0.8259669117749846
27,0.4465833105147865,0.6875279,0.23133377757792237,0.058054292780104946,0.24094458445896838,0.9215002741164107,0.8525029857391437
28,0.6445833105147862,0.84652424,0.40030398252883,0.0407801384304351,0.20194092807163955,0.9323716764395973,0.8738273759592902
29,0.826583310514786,0.9898611,0.5617719781898193,0.02665962710491349,0.16327776059498578,0.9419364152275919,0.8907642361192246
30,1.0065833105147861,1.115709,0.7146838688033521,0.011908404577959664,0.10912563666691555,0.9502997760499724,0.9041261602166494
31,1.1765833105147867,1.2224808,0.8577809040165307,0.002106577147563583,0.04589746341099454,0.957376296385895,0.9146213792362698
32,1.3225833105147862,1.3087208,0.9894467312909394,0.0001921684463514418,0.013862483412125037,0.9630818385900182,0.9229523705473986
33,1.4405833105147865,1.3732053,1.1076468033543816,0.0045397957422574345,0.06737800636897351,0.9675126481084465,0.9297094108006136
34,1.5515833105147858,1.4148159,1.20997932546831,0.018705323837651274,0.13676740780482488,0.9707913379586429,0.9351434768756206
35,1.5935833105147863,1.43274,1.2938339503621412,0.02587057920094443,0.160843337446549,0.9732072055098344,0.9398727614875849
36,1.6075833105147863,1.4263718,1.3566314780476532,0.032837606896630046,0.18121149769435174,0.9749634935525867,0.9440057780711981
37,1.5985833105147864,1.3954127,1.3961003572465627,0.041278303686888895,0.20317062702784794,0.9761826831154558,0.9475805434213287
38,1.5645833105147864,1.3398354,1.410537907432179,0.05051162087608053,0.22474790516505494,0.9769553425811927,0.9506318118455269
39,1.493583310514786,1.2600354,1.399007602627737,0.054544628550649635,0.23354791489253257,0.9774154580889335,0.9531934561636045
40,1.423583310514787,1.1567197,1.3614377488887308,0.07121619483594437,0.26686362591395696,0.9774603686912501,0.9552893362760688
41,1.3395833105147863,1.0310378,1.29860821874097,0.09520032745249277,0.3085455030501867,0.9770459904154748,0.9569756572595483
42,1.2165833105147863,0.884618,1.2120355865050723,0.11020097781228126,0.33196532621989494,0.9763098477152115,0.9582798482498329
43,1.0625833105147864,0.71947193,1.1037876773713724,0.11772541843857946,0.34311137905726685,0.9753551236321407,0.959209721172929
44,0.8985833105147862,0.5380419,0.9762714769636384,0.12999011614657205,0.36054142084727525,0.974137085411456,0.9598055372649933
45,0.7245833105147863,0.34323263,0.8320407703152378,0.14542834024519757,0.3813506788314367,0.9726295296875934,0.9601113950259968
46,0.5075833105147864,0.13819814,0.6736615890289716,0.13644540620323664,0.36938517323146125,0.9711268348710165,0.9600234001953203
47,0.2995833105147858,-0.07350502,0.5036566886362415,0.13919490358385972,0.3730883321465035,0.9695099891231126,0.9596334096578181
48,0.0955833105147864,-0.28810573,0.3245291708143362,0.1472172769274008,0.38368903675685184,0.9677400703258734,0.959031998799111
49,-0.13341668948521385,-0.5016894,0.13884520439508669,0.13562477048886643,0.36827268496165505,0.9660831802510262,0.9581271275761405
50,-0.3394166894852136,-0.7102859,-0.05065877414234324,0.13754397280863176,0.37086921253810184,0.9644122966420227,0.9571204708223525
51,-0.5274166894852138,-0.90995,-0.24098453390587868,0.14633174737034063,0.38253332844386334,0.9626762262643629,0.9561791092908692
52,-0.7434166894852137,-1.096877,-0.42883176158623426,0.12493417617495059,0.3534602893889929,0.9612922675445076,0.9551344534057311
53,-0.9154166894852138,-1.2674816,-0.610631459032352,0.12394967690603015,0.35206487599025005,0.960027319819515,0.9542819245607621
54,-1.080416689485214,-1.4185603,-0.7826571225861287,0.11434107867280462,0.3381435770095369,0.9590087689915522,0.9536214998091669
55,-1.2324166894852138,-1.5472515,-0.9411988462138655,0.09912093457406063,0.3148347734511876,0.9583124035841988,0.9531573280357815
56,-1.356416689485214,-1.6511714,-1.0827707301202942,0.08688036639763498,0.2947547563613435,0.9578837968609786,0.9529412066646589
57,-1.4624166894852135,-1.728513,-1.204314696774606,0.07080724774451821,0.26609631291041635,0.9577474812880873,0.9529324751161444
58,-1.5344166894852138,-1.77803,-1.303365538250493,0.05934746351609212,0.24361334839473003,0.9578040178511396,0.9531391147406456
59,-1.5744166894852138,-1.7990311,-1.378152071649676,0.05045165067032482,0.22461444893489113,0.9579793157978406,0.9535280100618148
60,-1.5824166894852143,-1.7914435,-1.427624651473531,0.04369219377682589,0.20902677765498345,0.9582077877647397,0.9540463561055336
61,-1.5564166894852138,-1.755825,-1.451415936259423,0.03976369134164755,0.19940835323939554,0.9584209564340171,0.9546318946579737
62,-1.5174166894852137,-1.6932344,-1.4497555179451884,0.030911882684665805,0.1758177541793371,0.9586624135140072,0.9552041232345158
63,-1.4224166894852137,-1.6052748,-1.4233663139780286,0.03343708729587476,0.18285810700068716,0.958766547038103,0.9556965379342334
64,-1.3464166894852139,-1.4940065,-1.373369980366646,0.021782756462434372,0.1475898250640415,0.9589130934475276,0.9560894158151931
