time,anomaly,anomaly_cleaned
2019-01-01 00:00:00,5.377,5.377
2019-01-01 00:15:00,5.356,5.356
2019-01-01 00:30:00,5.335,5.335
2019-01-01 00:45:00,5.305,5.305
2019-01-01 01:00:00,5.217,5.217
2019-01-01 01:15:00,5.152,5.152
2019-01-01 01:30:00,5.019,5.019
2019-01-01 01:45:00,4.920,4.92
2019-01-01 02:00:00,4.796,4.796
2019-01-01 02:15:00,4.657,4.657
2019-01-01 02:30:00,4.514,4.514
2019-01-01 02:45:00,4.371,4.371
2019-01-01 03:00:00,4.202,4.202
2019-01-01 03:15:00,4.043,4.043
2019-01-01 03:30:00,3.885,3.885
2019-01-01 03:45:00,3.703,3.703
2019-01-01 04:00:00,3.570,3.57
2019-01-01 04:15:00,3.417,3.417
2019-01-01 04:30:00,3.269,3.269
2019-01-01 04:45:00,3.147,3.147
2019-01-01 05:00:00,3.040,3.04
2019-01-01 05:15:00,2.958,2.958
2019-01-01 05:30:00,2.876,2.876
2019-01-01 05:45:00,2.848,2.848
2019-01-01 06:00:00,2.822,2.822
2019-01-01 06:15:00,2.802,2.802
2019-01-01 06:30:00,2.794,2.794
2019-01-01 06:45:00,2.822,2.822
2019-01-01 07:00:00,2.866,2.866
2019-01-01 07:15:00,2.941,2.941
2019-01-01 07:30:00,3.041,3.041
2019-01-01 07:45:00,3.137,3.137
2019-01-01 08:00:00,3.254,3.254
2019-01-01 08:15:00,3.388,3.388
2019-01-01 08:30:00,3.531,3.531
2019-01-01 08:45:00,3.696,3.696
2019-01-01 09:00:00,3.835,3.835
2019-01-01 09:15:00,3.985,3.985
2019-01-01 09:30:00,4.118,4.118
2019-01-01 09:45:00,4.269,4.269
2019-01-01 10:00:00,4.430,4.43
2019-01-01 10:15:00,4.562,4.562
2019-01-01 10:30:00,4.686,4.686
2019-01-01 10:45:00,4.807,4.807
2019-01-01 11:00:00,4.932,4.932
2019-01-01 11:15:00,5.045,5.045
2019-01-01 11:30:00,5.137,5.137
2019-01-01 11:45:00,5.195,5.195
2019-01-01 12:00:00,5.248,5.248
2019-01-01 12:15:00,5.279,5.279
2019-01-01 12:30:00,5.259,5.259
2019-01-01 12:45:00,5.238,5.238
2019-01-01 13:00:00,5.171,5.171
2019-01-01 13:15:00,5.099,5.099
2019-01-01 13:30:00,5.042,5.042
2019-01-01 13:45:00,4.959,4.959
2019-01-01 14:00:00,4.837,4.837
2019-01-01 14:15:00,4.716,4.716
2019-01-01 14:30:00,4.582,4.582
2019-01-01 14:45:00,4.436,4.436
2019-01-01 15:00:00,4.300,4.3
2019-01-01 15:15:00,4.151,4.151
2019-01-01 15:30:00,3.983,3.983
2019-01-01 15:45:00,3.831,3.831
2019-01-01 16:00:00,3.683,3.683
2019-01-01 16:15:00,3.555,3.555
2019-01-01 16:30:00,3.412,3.412
2019-01-01 16:45:00,3.258,3.258
2019-01-01 17:00:00,3.133,3.133
2019-01-01 17:15:00,3.011,3.011
2019-01-01 17:30:00,2.911,2.911
2019-01-01 17:45:00,2.793,2.793
2019-01-01 18:00:00,2.717,2.717
2019-01-01 18:15:00,2.639,2.639
2019-01-01 18:30:00,2.633,2.633
2019-01-01 18:45:00,2.595,2.595
2019-01-01 19:00:00,2.576,2.576
2019-01-01 19:15:00,2.630,2.63
2019-01-01 19:30:00,2.662,2.662
2019-01-01 19:45:00,2.728,2.728
2019-01-01 20:00:00,2.800,2.8
2019-01-01 20:15:00,2.887,2.887
2019-01-01 20:30:00,2.987,2.987
2019-01-01 20:45:00,3.156,3.156
2019-01-01 21:00:00,3.289,3.289
2019-01-01 21:15:00,3.440,3.44
2019-01-01 21:30:00,3.589,3.589
2019-01-01 21:45:00,3.745,3.745
2019-01-01 22:00:00,3.891,3.891
2019-01-01 22:15:00,4.065,4.065
2019-01-01 22:30:00,4.213,4.213
2019-01-01 22:45:00,4.338,4.338
2019-01-01 23:00:00,4.475,4.475
2019-01-01 23:15:00,4.653M,4.653
2019-01-01 23:30:00,4.762,4.762
2019-01-01 23:45:00,4.836,4.836
2019-01-02 00:00:00,4.932,4.932
2019-01-02 00:15:00,4.986,4.986
2019-01-02 00:30:00,5.039,5.039
2019-01-02 00:45:00,5.070,5.07
2019-01-02 01:00:00,5.088,5.088
2019-01-02 01:15:00,5.070,5.07
2019-01-02 01:30:00,5.015,5.015
2019-01-02 01:45:00,4.954,4.954
2019-01-02 02:00:00,4.827,4.827
2019-01-02 02:15:00,4.695,4.695
2019-01-02 02:30:00,4.554,4.554
2019-01-02 02:45:00,4.445,4.445
2019-01-02 03:00:00,4.306,4.306
2019-01-02 03:15:00,4.147,4.147
2019-01-02 03:30:00,3.957,3.957
2019-01-02 03:45:00,3.758,3.758
2019-01-02 04:00:00,3.577,3.577
2019-01-02 04:15:00,3.398,3.398
2019-01-02 04:30:00,3.242,3.242
2019-01-02 04:45:00,3.018,3.018
2019-01-02 05:00:00,2.841,2.841
2019-01-02 05:15:00,2.678,2.678
2019-01-02 05:30:00,2.487,2.487
2019-01-02 05:45:00,2.354,2.354
2019-01-02 06:00:00,2.186,2.186
2019-01-02 06:15:00,2.080,2.08
2019-01-02 06:30:00,1.974,1.974
2019-01-02 06:45:00,1.899,1.899
2019-01-02 07:00:00,1.847,1.847
2019-01-02 07:15:00,1.810,1.81
2019-01-02 07:30:00,1.791,1.791
2019-01-02 07:45:00,1.804,1.804
2019-01-02 08:00:00,1.841,1.841
2019-01-02 08:15:00,1.947,1.947
2019-01-02 08:30:00,1.985,1.985
2019-01-02 08:45:00,2.112,2.112
2019-01-02 09:00:00,2.254,2.254
2019-01-02 09:15:00,2.406,2.406
2019-01-02 09:30:00,2.596,2.596
2019-01-02 09:45:00,2.769,2.769
2019-01-02 10:00:00,2.958,2.958
2019-01-02 10:15:00,3.154,3.154
2019-01-02 10:30:00,3.360,3.36
2019-01-02 10:45:00,3.548,3.548
